GUID,ID,Categoria,Famiglia e Tipo,Stato
1a50c279-2b2e-44d6-942a-9d0f7adccc26-000a912d,692525,Pavimenti,Pavimento: AR_PAV_GET_120_MS.03_FL-001,1
1a50c279-2b2e-44d6-942a-9d0f7adccc26-000a93c1,693185,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
1a50c279-2b2e-44d6-942a-9d0f7adccc26-000a95fc,693756,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
1a50c279-2b2e-44d6-942a-9d0f7adccc26-000a9656,693846,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
1a50c279-2b2e-44d6-942a-9d0f7adccc26-000a969e,693918,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
1a50c279-2b2e-44d6-942a-9d0f7adccc26-000a96fe,694014,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa3c6,697286,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa461,697441,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa48b,697483,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa4ac,697516,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa56b,697707,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa5b8,697784,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa5e6,697830,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa643,697923,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa685,697989,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa6b8,698040,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa6ed,698093,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa71e,698142,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa740,698176,Pavimenti,Pavimento: AR_PAV_MAI_480_MS.01_FL-001,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa791,698257,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa7cc,698316,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa82c,698412,Muri,Muro di base: AR_MUR_TAM_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa8e2,698594,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aa983,698755,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aaa10,698896,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aaa66,698982,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aab22,699170,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aab44,699204,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aab7b,699259,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aabb1,699313,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aabf7,699383,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aac33,699443,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aac66,699494,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aac94,699540,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aada9,699817,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aae39,699961,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aae77,700023,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aaeb3,700083,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aaf01,700161,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aaf54,700244,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aafa9,700329,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000aaffa,700410,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab0a7,700583,Muri,Muro di base: AR_MUR_DIV_200_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab152,700754,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab189,700809,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab1c6,700870,Muri,Muro di base: AR_MUR_DIV_150_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab214,700948,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab23b,700987,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab27c,701052,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab2a6,701094,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab2e9,701161,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
1c98a3ae-5a3f-4b05-b64f-f1fc3db8eabb-000ab328,701224,Muri,Muro di base: AR_MUR_RIV_20_Generico,1
