Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
23,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,J.002,IfcCovering,,Corretta,1
71,Controsoffitto composto:AR_CON_CPA_85mm_CI.07,J.002,IfcCovering,,Corretta,1
1,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,J.002,IfcCovering,,Corretta,1
18,AR_GEN_MGE_BladesSx:AR_GEN_MGE_BladesSx_100mm,J.002,IfcCovering,,Corretta,1
16,AR_GEN_MGE_BladesDx:AR_GEN_MGE_BladesDx_100mm,J.002,IfcCovering,,Corretta,1
1,Controsoffitto composto:AR_CON_CPA_60mm_CI.01,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione002:AR_GEN_MGE_Circolazione002_CI.02,J.002,IfcCovering,,Corretta,1
5,Controsoffitto composto:AR_CON_CPA_105mm_CI.03,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_IngressoMolo:AR_GEN_MGE_IngressoMolo_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_IngressoMolo00:AR_GEN_MGE_IngressoMolo00_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_IngressoMolo01:AR_GEN_MGE_IngressoMolo01_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_IngressoMolo03:AR_GEN_MGE_IngressoMolo03_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione00:AR_GEN_MGE_Circolazione00_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione003:AR_GEN_MGE_Circolazione003_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione004:AR_GEN_MGE_Circolazione001_CI.02,J.002,IfcCovering,,Corretta,1
2,AR_GEN_MGE_BladesOvest:AR_GEN_MGE_BladesOvest_100mm,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_BladesOvestRettangolare:AR_GEN_MGE_BladesOvestRettangolare_100mm,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione005:AR_GEN_MGE_Circolazione005_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione006:AR_GEN_MGE_Circolazione006_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione007:AR_GEN_MGE_Circolazione007_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione008:AR_GEN_MGE_Circolazione008_CI.02,J.002,IfcCovering,,Corretta,1
2,Controsoffitto composto:AR_CON_CPA_95mm_CI.11,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Molo015:AR_GEN_MGE_Molo015_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Molo016:AR_GEN_MGE_Molo016_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_IngressoMolo02:AR_GEN_MGE_IngressoMolo02_CI.02,J.002,IfcCovering,,Corretta,1
2,Facciata continua:AR_SFC_MON_All_MoloCircolazione,J.002,IfcCurtainWall,,Corretta,1
3,Facciata continua:AR_SFC_MON_All_MoloCircolazione01,J.002,IfcCurtainWall,,Corretta,1
1,Facciata continua:AR_SFC_MON_All_MoloIngressoGate,J.002,IfcCurtainWall,,Corretta,1
10,Facciata continua:AR_SFC_MON_All_MoloPreimbarco01,J.002,IfcCurtainWall,,Corretta,1
2,Facciata continua:AR_SFC_MON_All_MoloPreimbarco,J.002,IfcCurtainWall,,Corretta,1
69,,J.002,IfcDoor,,Corretta,1
440,Rectangular Mullion:AR_MON_RET_Acc_50x50,J.002,IfcMember,,Corretta,1
145,System Panel:AR_PAF_SEM_Vet_Trasparente,J.002,IfcPlate,,Corretta,1
2,System Panel:AR_PAF_SEM_Vet_Opaco,J.002,IfcPlate,,Corretta,1
2,,J.002,IfcRoof,,Corretta,1
15,Pavimento:AR_PAV_RIV_20mm_FL-002,J.002,IfcSlab,,Corretta,1
1,Pavimento:AR_PAV_GET_460mm_PI.01,J.002,IfcSlab,,Corretta,1
2,Pavimento:AR_PAV_GET_1270mm_PI.04,J.002,IfcSlab,,Corretta,1
3,Pavimento:AR_PAV_GET_460mm_PI.02,J.002,IfcSlab,,Corretta,1
2,Pavimento:AR_PAV_GET_460mm_PI.03,J.002,IfcSlab,,Corretta,1
11,Pavimento:AR_PAV_RIV_20mm_FL-006,J.002,IfcSlab,,Corretta,1
2,Tetto di base:AR_TET_PIA_482mm_PE.21,J.002,IfcSlab,,Corretta,1
2,Pavimento:AR_PAV_GET_100mm_PI.11,J.002,IfcSlab,,Corretta,1
4,Pianerottolo monolitico:AR_PIA_RET_Gres_PianerottoloMolo_1300x1500mm,J.002,IfcSlab,,Corretta,1
2,Pavimento:AR_PAV_GET_100mm_PI.12,J.002,IfcSlab,,Corretta,1
8,Pavimento:AR_PAV_RIV_20mm_FL-003,J.002,IfcSlab,,Corretta,1
13,Pavimento:AR_PAV_RIV_20mm_FL-001,J.002,IfcSlab,,Corretta,1
6,Pavimento:AR_PAV_RIV_20mm_FL-007,J.002,IfcSlab,,Corretta,1
1,Pavimento:AR_PAV_RIV_20mm_FL-004,J.002,IfcSlab,,Corretta,1
1,Pavimento:AR_PAV_RIV_20mm_FL-005,J.002,IfcSlab,,Corretta,1
2,Pavimento:AR_PAV_GET_1270mm_PI.05,J.002,IfcSlab,,Corretta,1
1,Scala gettata in opera:AR_SCA_RET_Gres_MoloSopraelevato_h810mm,J.002,IfcStair,,Corretta,1
2,Scala gettata in opera:AR_SCA_RET_Gre_Molo_00mm,J.002,IfcStair,,Corretta,1
1,Rampa monolitica:AR_SCA_RET_Gres_RampaMoloSopraelevato_h810mm,J.002,IfcStairFlight,,Corretta,1
6,Rampa monolitica:AR_RMS_RET_Gres_RampaMolo_1300x2700mm,J.002,IfcStairFlight,,Corretta,1
128,Muro di base:AR_MUR_DIV_200mm_MI.01,J.002,IfcWall,,Corretta,1
36,Muro di base:AR_MUR_RIV_64mm_R.03,J.002,IfcWall,,Corretta,1
121,Muro di base:AR_MUR_RIV_24mm_R.07,J.002,IfcWall,,Corretta,1
18,Muro di base:AR_MUR_RIV_30mm_R.10,J.002,IfcWall,,Corretta,1
35,Muro di base:AR_MUR_DIV_150mm_MI.11,J.002,IfcWall,,Corretta,1
33,Muro di base:AR_MUR_RIV_14mm_R.06,J.002,IfcWall,,Corretta,1
62,Muro di base:AR_MUR_DIV_150mm_MI.23,J.002,IfcWall,,Corretta,1
101,Muro di base:AR_MUR_DIV_100mm_MI.24,J.002,IfcWall,,Corretta,1
48,Muro di base:AR_MUR_RIV_20mm_R.08,J.002,IfcWall,,Corretta,1
46,Muro di base:AR_MUR_DIV_100mm_MI.21,J.002,IfcWall,,Corretta,1
14,IM_DIS_AID_SAN_LavaboTriplo:IM_DIS_AID_SAN_LavaboTriplo_460x2100,J.002,IfcSanitaryTerminal,,Corretta,1
45,IM_DIS_AID_SAN_WC:IM_DIS_AID_SAN_WC,J.002,IfcSanitaryTerminal,,Corretta,1
3,IM_DIS_AID_SAN_LavaboFasciatoio:IM_DIS_AID_SAN_LavaboIntegrato_Fasciatoio_460x1650,J.002,IfcSanitaryTerminal,,Corretta,1
8,IM_DIS_AID_SAN_WCDisabili:IM_DIS_AID_SAN_WCDisabili,J.002,IfcSanitaryTerminal,,Corretta,1
12,IM_DIS_AID_SAN_Orinatoio:IM_DIS_AID_SAN_Orinatoio,J.002,IfcSanitaryTerminal,,Corretta,1
5,IM_DIS_AID_SAN_LavaboSingolo:IM_DIS_AID_SAN_LavaboSingolo_460x700,J.002,IfcSanitaryTerminal,,Corretta,1
3,IM_DIS_AID_SAN_WCBaby:IM_DIS_AID_SAN_WCBaby,J.002,IfcSanitaryTerminal,,Corretta,1
2,IM_DIS_AID_SAN_LavaboDoppio:IM_DIS_AID_SAN_LavaboDoppio_460x1400,J.002,IfcSanitaryTerminal,,Corretta,1
8,IM_DIS_AID_SAN_LavaboDisabili:IM_DIS_AID_SAN_LavaboDisabili_570x660,J.002,IfcSanitaryTerminal,,Corretta,1
3,IM_DIS_AID_SAN_LavaboCleaning:IM_DIS_AID_SAN_LavaboCleaning_500x500,J.002,IfcSanitaryTerminal,,Corretta,1
89,,J.002,IfcOpeningElement,,Corretta,1
8,AR_ ARR_GAT_BancoGate:AR_ARR_GAT_BancoGate_1850x1185,J.002,IfcFurniture,,Corretta,1
8,AR_ARR_ARR_TornelliAccesso:AR_ARR_ARR_TornelliAccesso,J.002,IfcFurniture,,Corretta,1
24,AR_ARR_ARR_BoxWc_Sinistra:AR_ARR_ARR_BoxWc_Sinistra,J.002,IfcFurniture,,Corretta,1
24,AR_ARR_ARR_divisoriobox:AR_ARR_ARR_DivisorioBox,J.002,IfcFurniture,,Corretta,1
40,AR_ARR_ARR_ModuloWc:AR_ARR_ARR_ModuloWc_Pax,J.002,IfcFurniture,,Corretta,1
40,AR_ARR_ARR_GancioAppendino:AR_ARR_ARR_GancioAppendino,J.002,IfcFurniture,,Corretta,1
40,AR_ARR_ARR_PortaRotolo:AR_ARR_ARR_PortaRotolo,J.002,IfcFurniture,,Corretta,1
40,AR_ARR_ARR_Scopino:AR_ARR_ARR_Scopino,J.002,IfcFurniture,,Corretta,1
6,AR_ARR_ARR_BoxWc_Chiuso:AR_ARR_ARR_BoxWC_Chiuso,J.002,IfcFurniture,,Corretta,1
6,AR_ARR_ARR_Divisoriobox_Chiuso:AR_ARR_ARR_Divisoriobox_Chiuso,J.002,IfcFurniture,,Corretta,1
16,AR_ARR_ARR_ManiglioniDisabili:AR_ARR_ARR_ManiglioniDisabili_1000x150,J.002,IfcFurniture,,Corretta,1
10,AR_ARR_ARR_BoxWc_Laterale:AR_ARR_ARR_BoxWC_Laterale,J.002,IfcFurniture,,Corretta,1
10,AR_ARR_ARR_Divisoriobox_Laterale:AR_ARR_ARR_DivisorioBox_Laterale,J.002,IfcFurniture,,Corretta,1
6,AR_ARR_ARR_DivisorioOrinatoio:AR_ARR_ARR_DivisorioOrinatoio,J.002,IfcFurniture,,Corretta,1
8,AR_ARR_ARR_DispenserSapone:AR_ARR_ARR_DispenserSapone,J.002,IfcFurniture,,Corretta,1
8,AR_ARR_ARR_AsciugamaniElettrico:AR_ARR_ARR_AsciugamaniElettrico,J.002,IfcFurniture,,Corretta,1
2,AR_ARR_SED_SeduteAttesa_8:AR_ARR_SED_SedutaAttesa_8,J.002,IfcFurniture,,Corretta,1
51,AR_ ARR_NAS_NastroTenditore00:AR_ARR_NAS_NastroTenditore00_1000,J.002,IfcFurniture,,Corretta,1
1,AR_ARR_SED_SeduteAttesa_4:AR_ARR_SED_SeduteAttesa_4,J.002,IfcFurniture,,Corretta,1
32,AR_ARR_SED_SeduteAttesa_8+8:AR_ARR_SED_SeduteAttesa_8+8,J.002,IfcFurniture,,Corretta,1
22,AR_ARR_SED_SeduteAttesa_6+6:AR_ARR_SED_SeduteAttesa_6+6,J.002,IfcFurniture,,Corretta,1
43,AR_ARR_SED_SeduteAttesa_5+5:AR_ARR_SED_SeduteAttesa_5+5,J.002,IfcFurniture,,Corretta,1
5,AR_ARR_SED_SeduteAttesa_3+3:AR_ARR_SED_SeduteAttesa_3+3,J.002,IfcFurniture,,Corretta,1
4,AR_ARR_SED_SeduteAttesa_5:AR_ARR_SED_SeduteAttesa_5,J.002,IfcFurniture,,Corretta,1
58,AR_ ARR_NAS_NastroTenditore01:AR_ARR_NAS_NastroTenditore00_1200,J.002,IfcFurniture,,Corretta,1
19,AR_ARR_BAR_BarrieraVetro:AR_ARR_BAR_BarrieraVetro,J.002,IfcSystemFurnitureElement,,Corretta,1
2,AR_ARR_BAR_BarrieraVetroSingolo:AR_ARR_BAR_BarrieraVetroSingolo_1000,J.002,IfcSystemFurnitureElement,,Corretta,1
24,,,IfcDistributionPort,,Corretta,1
1,,,IfcOpeningElement,951938,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,954100,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,954645,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,954787,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958836,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958888,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958899,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958911,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958921,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958929,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959038,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959049,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959095,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959721,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959722,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959723,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959724,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959731,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959732,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959733,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959734,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959741,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959742,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959743,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959744,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959753,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959754,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959763,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959764,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959771,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959772,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959773,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,959774,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206231,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1212346,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1215788,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1215789,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1215790,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1229653,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1229747,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1310478,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1310472,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1310469,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1310466,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1458201,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1386610,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1382443,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1382453,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1458356,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206354,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206350,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206659,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206978,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1207014,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206870,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1207150,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206382,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206378,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1207393,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1207545,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1210004,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1209858,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1210777,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1212160,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1218706,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1211204,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1208594,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1208731,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1208426,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1218143,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1218147,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1218151,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1218155,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1214285,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1214481,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1300438,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1300478,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1300533,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1219112,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1219029,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1295959,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1383158,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1383196,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,950767,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958074,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,957786,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,958779,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1339905,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1206422,Da compilare IDE_GEN_I_Wbs0,0
