Nome Materiale,ID Elemento,Verifica,Stato
Poche,454389,Codice non trovato nel database,0
Mle,601758,Corretto,1
Render Material 255-255-255,612844,Codice non trovato nel database,0
Render Material 0-255-255,612889,Codice non trovato nel database,0
Render Material 0-165-0,612935,Codice non trovato nel database,0
Render Material 255-255-127,612994,Codice non trovato nel database,0
Render Material 82-124-165,613349,Codice non trovato nel database,0
Render Material 127-191-255,613403,Codice non trovato nel database,0
Render Material 0-0-0,613426,Codice non trovato nel database,0
Render Material 165-165-0,613957,Codice non trovato nel database,0
Materiale per il rendering 255-255-255,662777,Codice non trovato nel database,0
Materiale per il rendering 0-255-0,662779,Codice non trovato nel database,0
Materiale per il rendering 255-0-255,662781,Codice non trovato nel database,0
Materiale per il rendering 255-255-0,662784,Codice non trovato nel database,0
Materiale per il rendering 0-255-255,662786,Codice non trovato nel database,0
Materiale per il rendering 128-128-128,662791,Codice non trovato nel database,0
Materiale per il rendering 255-127-0,662796,Codice non trovato nel database,0
Materiale per il rendering 0-255-191,662798,Codice non trovato nel database,0
Materiale per il rendering 0-63-255,662804,Codice non trovato nel database,0
Materiale per il rendering 255-0-191,662806,Codice non trovato nel database,0
Materiale per il rendering 255-0-0,662809,Codice non trovato nel database,0
Materiale per il rendering 255-191-0,662811,Codice non trovato nel database,0
Materiale per il rendering 127-223-255,662828,Codice non trovato nel database,0
Materiale per il rendering 127-191-255,662885,Codice non trovato nel database,0
Materiale per il rendering 255-0-63,662888,Codice non trovato nel database,0
Materiale per il rendering 0-165-0,662890,Codice non trovato nel database,0
Materiale per il rendering 153-153-153,662898,Codice non trovato nel database,0
Materiale per il rendering 255-223-127,662902,Codice non trovato nel database,0
Materiale per il rendering 165-0-0,662910,Codice non trovato nel database,0
Materiale per il rendering 0-0-0,662912,Codice non trovato nel database,0
Materiale per il rendering 101-101-101,663585,Codice non trovato nel database,0
Materiale per il rendering 192-192-192,663604,Codice non trovato nel database,0
Materiale per il rendering 38-0-0,663607,Codice non trovato nel database,0
Materiale per il rendering 102-102-102,663620,Codice non trovato nel database,0
Materiale per il rendering 0-127-127,663625,Codice non trovato nel database,0
Materiale per il rendering 82-124-165,663628,Codice non trovato nel database,0
Materiale per il rendering 0-0-255,663646,Codice non trovato nel database,0
Materiale per il rendering 0-31-127,663650,Codice non trovato nel database,0
Materiale per il rendering 204-204-204,663656,Codice non trovato nel database,0
Materiale per il rendering 82-145-165,663682,Codice non trovato nel database,0
Materiale per il rendering 165-82-165,665032,Codice non trovato nel database,0
Materiale per il rendering 255-127-127,665392,Codice non trovato nel database,0
Materiale per il rendering 165-82-82,672210,Codice non trovato nel database,0
Materiale per il rendering 63-127-0,672225,Codice non trovato nel database,0
Materiale per il rendering 127-0-0,672228,Codice non trovato nel database,0
Materiale per il rendering 0-95-127,672289,Codice non trovato nel database,0
Materiale per il rendering 165-165-0,672326,Codice non trovato nel database,0
Materiale per il rendering 66-38-76,672339,Codice non trovato nel database,0
Materiale per il rendering 124-0-165,672416,Codice non trovato nel database,0
Materiale per il rendering 63-63-127,672431,Codice non trovato nel database,0
Materiale per il rendering 63-95-127,672434,Codice non trovato nel database,0
Materiale per il rendering 66-76-38,672445,Codice non trovato nel database,0
Materiale per il rendering 0-38-38,672448,Codice non trovato nel database,0
Materiale per il rendering 127-127-255,672467,Codice non trovato nel database,0
Materiale per il rendering 127-79-63,672572,Codice non trovato nel database,0
Materiale per il rendering 57-76-38,672597,Codice non trovato nel database,0
Materiale per il rendering 165-0-165,695546,Codice non trovato nel database,0
Materiale per il rendering 57-0-76,695548,Codice non trovato nel database,0
Default,701750,Codice non trovato nel database,0
Muro di default,701751,Codice non trovato nel database,0
Vetro,701753,Codice non trovato nel database,0
Default - Arredi,711886,Codice non trovato nel database,0
"Vetro, vetrata trasparente",730951,Codice non trovato nel database,0
Alluminio 7075,730958,Codice non trovato nel database,0
Acciaio inossidabile,858030,Codice non trovato nel database,0
Melaminica bianco,858044,Codice non trovato nel database,0
REC_Gres,858046,Numero campi errato,0
REC_Gres,858046,Codice non trovato nel database,0
Gre_FL-001,898155,Numero campi errato,0
Gre_FL-001,898155,Numero campi errato,0
AB_Hose Red,898156,Numero campi errato,0
AB_Hose Red,898156,Codice non trovato nel database,0
Nuovo materiale di default,898160,Codice non trovato nel database,0
ADR_ARE_SedutaPiede,917687,Numero campi errato,0
ADR_ARE_SedutaPiede,917687,Codice non trovato nel database,0
Pes,952816,Corretto,1
Mim,952822,Corretto,1
Col,952832,Corretto,1
Mad,952934,Corretto,1
Mac,956155,Corretto,1
Lin,957155,Corretto,1
ALL.04-Strato di malta cementizia,969772,Codice non trovato nel database,0
Vet,984753,Corretto,1
Vet_opaco,1042460,Numero campi errato,0
Vet_opaco,1042460,Numero campi errato,0
Fase-Esistente,1160043,Codice non trovato nel database,0
Fase-Temporaneo,1160044,Codice non trovato nel database,0
Fase-Demo,1160046,Codice non trovato nel database,0
Fase-Nuova,1160053,Codice non trovato nel database,0
Sva,1206230,Codice non trovato nel database,0
Cce,1206308,Codice non trovato nel database,0
Gre_FL-006,1213856,Numero campi errato,0
Gre_FL-006,1213856,Numero campi errato,0
Ttg_FL-007,1213857,Numero campi errato,0
Ttg_FL-007,1213857,Codice non trovato nel database,0
Sva1,1213861,Codice non trovato nel database,0
Cin,1213862,Corretto,1
Gre_FL-002,1213865,Numero campi errato,0
Gre_FL-002,1213865,Numero campi errato,0
Por_FL-003,1213866,Numero campi errato,0
Por_FL-003,1213866,Numero campi errato,0
Pie_FL-004,1213867,Numero campi errato,0
Pie_FL-004,1213867,Numero campi errato,0
Pie_FL-005,1213868,Numero campi errato,0
Pie_FL-005,1213868,Numero campi errato,0
Oal_parete_100mm,1218119,Numero campi errato,0
Oal_parete_100mm,1218119,Codice non trovato nel database,0
Oal_parete_25mm,1231665,Numero campi errato,0
Oal_parete_25mm,1231665,Codice non trovato nel database,0
Mdf,1231669,Codice non trovato nel database,0
Int,1246735,Corretto,1
Pit,1246736,Corretto,1
Hpl_R.03,1246740,Numero campi errato,0
Hpl_R.03,1246740,Codice non trovato nel database,0
Gre_grande,1246743,Numero campi errato,0
Gre_grande,1246743,Numero campi errato,0
Col_giunti connessi,1246744,Numero campi errato,0
Col_giunti connessi,1246744,Numero campi errato,0
Gre_piccolo,1246745,Numero campi errato,0
Gre_piccolo,1246745,Numero campi errato,0
Met_CI.01,1262447,Numero campi errato,0
Met_CI.01,1262447,Numero campi errato,0
Pet,1262448,Codice non trovato nel database,0
Tes_CI.01,1262449,Numero campi errato,0
Tes_CI.01,1262449,Numero campi errato,0
Tes_CI.01 nero,1262450,Numero campi errato,0
Tes_CI.01 nero,1262450,Numero campi errato,0
Pom,1283502,Codice non trovato nel database,0
Fge_standard,1283833,Numero campi errato,0
Fge_standard,1283833,Numero campi errato,0
Lap,1314449,Codice non trovato nel database,0
Sra,1314450,Codice non trovato nel database,0
Ite_V,1314451,Numero campi errato,0
Ite_V,1314451,Numero campi errato,0
Ite_R_1,1314452,Numero campi errato,0
Ite_R_1,1314452,Numero campi errato,0
Ite_R_2,1314453,Numero campi errato,0
Ite_R_2,1314453,Numero campi errato,0
Mac_PE.21,1314454,Numero campi errato,0
Mac_PE.21,1314454,Numero campi errato,0
Mle_pendenze,1314455,Numero campi errato,0
Mle_pendenze,1314455,Numero campi errato,0
Bva,1314456,Corretto,1
Iso_acustico,1314457,Numero campi errato,0
Iso_acustico,1314457,Numero campi errato,0
Lgr,1314458,Codice non trovato nel database,0
Oal,1314552,Codice non trovato nel database,0
Oal_parete_50mm con iso,1314570,Numero campi errato,0
Oal_parete_50mm con iso,1314570,Codice non trovato nel database,0
Cpp,1331568,Codice non trovato nel database,0
Cal,1331571,Corretto,1
Acz,1351989,Codice non trovato nel database,0
Plm_1,1355749,Numero campi errato,0
Plm_1,1355749,Codice non trovato nel database,0
Plm_2,1355750,Numero campi errato,0
Plm_2,1355750,Codice non trovato nel database,0
Render Material 255-255-0,1375654,Codice non trovato nel database,0
Render Material 101-101-101,1375657,Codice non trovato nel database,0
Render Material 255-0-0,1375662,Codice non trovato nel database,0
Render Material 192-192-192,1375666,Codice non trovato nel database,0
Render Material 128-128-128,1375668,Codice non trovato nel database,0
Render Material 153-153-153,1375671,Codice non trovato nel database,0
Render Material 255-127-0,1375673,Codice non trovato nel database,0
Render Material 38-0-0,1375681,Codice non trovato nel database,0
Render Material 127-223-255,1375692,Codice non trovato nel database,0
Render Material 102-102-102,1375703,Codice non trovato nel database,0
Render Material 0-255-0,1375712,Codice non trovato nel database,0
Render Material 82-145-165,1375714,Codice non trovato nel database,0
Render Material 255-0-255,1375718,Codice non trovato nel database,0
Render Material 0-127-127,1375735,Codice non trovato nel database,0
Render Material 0-255-191,1375739,Codice non trovato nel database,0
Render Material 0-31-127,1375756,Codice non trovato nel database,0
Render Material 0-0-255,1375758,Codice non trovato nel database,0
