Nome Materiale,ID Elemento,Verifica,Stato
Poche,454389,Codice non trovato nel database,0
Mle,601758,Corretto,1
Render Material 255-255-255,612844,Codice non trovato nel database,0
Render Material 0-255-255,612889,Codice non trovato nel database,0
Render Material 0-165-0,612935,Codice non trovato nel database,0
Render Material 255-255-127,612994,Codice non trovato nel database,0
Render Material 82-124-165,613349,Codice non trovato nel database,0
Render Material 127-191-255,613403,Codice non trovato nel database,0
Render Material 0-0-0,613426,Codice non trovato nel database,0
Render Material 165-165-0,613957,Codice non trovato nel database,0
Default,701750,Codice non trovato nel database,0
Muro di default,701751,Codice non trovato nel database,0
Vetro,701753,Codice non trovato nel database,0
Default - Arredi,711886,Codice non trovato nel database,0
Porta - Pannello,716568,Codice non trovato nel database,0
Porta - Telaio,716572,Codice non trovato nel database,0
"Vetro, vetrata trasparente",730951,Codice non trovato nel database,0
Alluminio 7075,730958,Codice non trovato nel database,0
Acciaio inossidabile,858030,Codice non trovato nel database,0
Melaminica bianco,858044,Codice non trovato nel database,0
REC_Gres,858046,Numero campi errato,0
REC_Gres,858046,Codice non trovato nel database,0
Gre_FL-001,898155,Numero campi errato,0
Gre_FL-001,898155,Numero campi errato,0
AB_Hose Red,898156,Numero campi errato,0
AB_Hose Red,898156,Codice non trovato nel database,0
Nuovo materiale di default,898160,Codice non trovato nel database,0
ADR_ARE_SedutaPiede,917687,Numero campi errato,0
ADR_ARE_SedutaPiede,917687,Codice non trovato nel database,0
Pes,952816,Corretto,1
Mim,952822,Corretto,1
Mri,952824,Corretto,1
Col,952832,Corretto,1
Mad,952934,Corretto,1
Mac,956155,Corretto,1
Lin,957155,Corretto,1
ALL.04-Strato di malta cementizia,969772,Codice non trovato nel database,0
Vet,984753,Corretto,1
Spq,1026730,Codice non trovato nel database,0
Vet_opaco,1042460,Numero campi errato,0
Vet_opaco,1042460,Numero campi errato,0
Fase-Esistente,1160043,Codice non trovato nel database,0
Fase-Temporaneo,1160044,Codice non trovato nel database,0
Fase-Demo,1160046,Codice non trovato nel database,0
Fase-Nuova,1160053,Codice non trovato nel database,0
