Categoria,ID Elemento,Verifica,Offset Rilevato,Stato
Porte,717145,Oggetto conforme.,0.0,1
Porte,719244,Oggetto conforme.,0.0,1
Porte,722202,Oggetto conforme.,0.0,1
Porte,722978,Oggetto conforme.,0.0,1
Porte,724328,Oggetto conforme.,0.0,1
Porte,725068,Oggetto conforme.,0.0,1
Porte,725069,Oggetto conforme.,0.0,1
Porte,725072,Oggetto conforme.,0.0,1
Porte,725079,Oggetto conforme.,0.0,1
Porte,726772,Oggetto conforme.,0.0,1
Porte,726847,Oggetto conforme.,0.0,1
Porte,728817,Oggetto conforme.,0.0,1
Porte,744606,Oggetto conforme.,0.0,1
Porte,744726,Oggetto conforme.,0.0,1
Porte,744913,Oggetto conforme.,0.0,1
Porte,744916,Oggetto conforme.,0.0,1
Porte,744949,Oggetto conforme.,0.0,1
Porte,744952,Oggetto conforme.,0.0,1
Porte,745131,Oggetto conforme.,0.0,1
Porte,745134,Oggetto conforme.,0.0,1
Porte,746632,Oggetto conforme.,0.0,1
Porte,746729,Oggetto conforme.,0.0,1
Porte,746957,Oggetto conforme.,0.0,1
Porte,749063,Oggetto conforme.,0.0,1
Porte,750667,Oggetto conforme.,0.0,1
Porte,750798,Oggetto conforme.,0.0,1
Porte,833895,Oggetto conforme.,0.0,1
Porte,834050,Oggetto conforme.,0.0,1
Porte,834400,Oggetto conforme.,0.0,1
Porte,834598,Oggetto conforme.,0.0,1
Porte,835019,Oggetto conforme.,0.0,1
Porte,835646,Oggetto conforme.,0.81000000000000005,1
Porte,835750,Oggetto conforme.,0.81000000000000005,1
Porte,835840,Oggetto conforme.,0.81000000000000005,1
Porte,836504,Oggetto conforme.,0.81000000000000005,1
Porte,836557,Oggetto conforme.,0.81000000000000005,1
Porte,839840,Oggetto conforme.,0.0,1
Arredi,861651,Oggetto conforme.,0.0,1
Arredi,861708,Oggetto conforme.,0.0,1
Arredi,861787,Oggetto conforme.,0.0,1
Arredi,861841,Oggetto conforme.,0.0,1
Arredi,862563,Oggetto conforme.,0.0,1
Arredi,862607,Oggetto conforme.,0.0,1
Arredi,862642,Oggetto conforme.,0.0,1
Arredi,862727,Oggetto conforme.,0.0,1
Arredi,899691,Oggetto conforme.,0.0,1
Arredi,916819,Oggetto conforme.,0.0,1
Arredi,916870,Oggetto conforme.,0.0,1
Arredi,917046,Oggetto conforme.,0.0,1
Arredi,917298,Oggetto conforme.,0.0,1
Arredi,917421,Oggetto conforme.,0.0,1
Arredi,917443,Oggetto conforme.,0.0,1
Arredi,917592,Oggetto conforme.,0.0,1
Arredi,921778,Oggetto conforme.,0.0,1
Arredi,924028,Oggetto conforme.,0.0,1
Arredi,924152,Oggetto conforme.,0.0,1
Arredi,935513,Oggetto conforme.,0.0,1
Arredi,935619,Oggetto conforme.,0.0,1
Arredi,936336,Oggetto conforme.,0.0,1
Arredi,938836,Oggetto conforme.,0.0,1
Arredi,938837,Oggetto conforme.,0.0,1
Arredi,938844,Oggetto conforme.,0.0,1
Arredi,938845,Oggetto conforme.,0.0,1
Arredi,939607,Oggetto conforme.,0.0,1
Arredi,939626,Oggetto conforme.,0.0,1
Arredi,939776,Oggetto conforme.,0.0,1
Arredi,940136,Oggetto conforme.,0.0,1
Arredi,940454,Oggetto conforme.,0.0,1
Arredi,941851,Oggetto conforme.,0.0,1
Arredi,942906,Oggetto conforme.,0.0,1
Arredi,943471,Oggetto conforme.,0.0,1
Arredi,943472,Oggetto conforme.,0.0,1
Arredi,943473,Oggetto conforme.,0.0,1
Arredi,943474,Oggetto conforme.,0.0,1
Arredi,943475,Oggetto conforme.,0.0,1
Arredi,943476,Oggetto conforme.,0.0,1
Arredi,943477,Oggetto conforme.,0.0,1
Arredi,943478,Oggetto conforme.,0.0,1
Arredi,943479,Oggetto conforme.,0.0,1
Arredi,943480,Oggetto conforme.,0.0,1
Arredi,943481,Oggetto conforme.,0.0,1
Arredi,943482,Oggetto conforme.,0.0,1
Arredi,943483,Oggetto conforme.,0.0,1
Arredi,943484,Oggetto conforme.,0.0,1
Arredi,943486,Oggetto conforme.,0.0,1
Arredi,943487,Oggetto conforme.,0.0,1
Arredi,945010,Oggetto conforme.,0.0,1
Porte,947954,Oggetto conforme.,0.0,1
Porte,948074,Oggetto conforme.,0.0,1
Porte,948951,Oggetto conforme.,0.0,1
Porte,949041,Oggetto conforme.,0.0,1
Porte,957507,Oggetto conforme.,0.81000000000000005,1
Porte,1026475,Oggetto conforme.,0.0,1
Porte,1090784,Oggetto conforme.,0.0,1
Modelli generici,1110545,Oggetto conforme.,0.01,1
Modelli generici,1128952,Oggetto conforme.,0.01,1
Modelli generici,1128996,Oggetto conforme.,0.01,1
Modelli generici,1129858,Oggetto conforme.,0.01,1
Modelli generici,1140351,Oggetto conforme.,0.01,1
Modelli generici,1140480,Oggetto conforme.,0.01,1
Modelli generici,1140481,Oggetto conforme.,0.01,1
Modelli generici,1140482,Oggetto conforme.,0.01,1
Modelli generici,1140483,Oggetto conforme.,0.01,1
Modelli generici,1140530,Oggetto conforme.,0.01,1
Modelli generici,1140531,Oggetto conforme.,0.01,1
Modelli generici,1140532,Oggetto conforme.,0.01,1
Modelli generici,1140533,Oggetto conforme.,0.01,1
Modelli generici,1140539,Oggetto conforme.,0.01,1
Modelli generici,1140540,Oggetto conforme.,0.01,1
Modelli generici,1140541,Oggetto conforme.,0.01,1
Modelli generici,1140542,Oggetto conforme.,0.01,1
Modelli generici,1140600,Oggetto conforme.,0.01,1
Modelli generici,1140601,Oggetto conforme.,0.01,1
Modelli generici,1140602,Oggetto conforme.,0.01,1
Modelli generici,1140603,Oggetto conforme.,0.01,1
Modelli generici,1140604,Oggetto conforme.,0.01,1
Modelli generici,1140605,Oggetto conforme.,0.01,1
Modelli generici,1140606,Oggetto conforme.,0.01,1
Modelli generici,1140607,Oggetto conforme.,0.01,1
Modelli generici,1140608,Oggetto conforme.,0.01,1
Modelli generici,1140609,Oggetto conforme.,0.01,1
Modelli generici,1140610,Oggetto conforme.,0.01,1
Modelli generici,1140611,Oggetto conforme.,0.01,1
Modelli generici,1140612,Oggetto conforme.,0.01,1
Modelli generici,1140613,Oggetto conforme.,0.01,1
Modelli generici,1140614,Oggetto conforme.,0.01,1
Modelli generici,1140615,Oggetto conforme.,0.01,1
Modelli generici,1140616,Oggetto conforme.,0.01,1
Modelli generici,1140818,Oggetto conforme.,0.01,1
Modelli generici,1140819,Oggetto conforme.,0.01,1
Modelli generici,1140834,Oggetto conforme.,0.01,1
Modelli generici,1140835,Oggetto conforme.,0.01,1
Arredi,1161292,Oggetto conforme.,0.0,1
Arredi,1164138,Oggetto conforme.,0.0,1
Arredi,1164439,Oggetto conforme.,0.0,1
Arredi,1165957,Oggetto conforme.,0.0,1
Arredi,1166220,Oggetto conforme.,0.0,1
Arredi,1166678,Oggetto conforme.,0.0,1
Arredi,1168036,Oggetto conforme.,0.0,1
Arredi,1168540,Oggetto conforme.,0.0,1
Arredi,1169386,Oggetto conforme.,0.0,1
Arredi,1180656,Oggetto conforme.,0.0,1
Arredi,1180691,Oggetto conforme.,0.0,1
Arredi,1181097,Oggetto conforme.,0.0,1
Arredi,1181098,Oggetto conforme.,0.0,1
Arredi,1181099,Oggetto conforme.,0.0,1
Arredi,1181100,Oggetto conforme.,0.0,1
Arredi,1181101,Oggetto conforme.,0.0,1
Arredi,1181102,Oggetto conforme.,0.0,1
Arredi,1181103,Oggetto conforme.,0.0,1
Arredi,1181104,Oggetto conforme.,0.0,1
Arredi,1181105,Oggetto conforme.,0.0,1
Arredi,1181106,Oggetto conforme.,0.0,1
Arredi,1181107,Oggetto conforme.,0.0,1
Arredi,1181312,Oggetto conforme.,0.0,1
Arredi,1181359,Oggetto conforme.,0.0,1
Porte,1190511,Oggetto conforme.,0.0,1
