Nome Elemento,ID Elemento,Verifica,Stato
Pavimento: AR_PAV_GET_120_MS.03_FL-001,692525,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_200_Generico,693185,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,693756,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,693846,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,693918,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,694014,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_150_Generico,697286,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,697441,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,697483,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,697516,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,697707,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,697784,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,697830,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,697923,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,697989,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,698040,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,698093,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,698142,Room Bounding Disattivato,0
Pavimento: AR_PAV_MAI_480_MS.01_FL-001,698176,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,698257,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,698316,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_150_Generico,698412,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,698594,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,698755,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,698896,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,698982,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699170,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699204,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699259,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699313,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699383,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699443,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699494,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699540,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,699817,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_150_Generico,699961,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,700023,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,700083,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,700161,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,700244,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,700329,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_150_Generico,700410,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,700583,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,700754,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,700809,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,700870,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,700948,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,700987,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,701052,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,701094,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,701161,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,701224,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,701344,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,701464,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,722885,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,723166,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,723254,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,723933,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,724028,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,724029,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_150_Generico,724094,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,724158,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,724221,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_200_Generico,724305,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_150_Generico,725018,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725019,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725020,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725021,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,725022,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725023,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725024,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725025,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725026,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725027,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725028,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725029,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,725030,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725031,Room Bounding Attivato,1
Muro di base: AR_MUR_TAM_150_Generico,725032,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725033,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725034,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,725035,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725036,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725037,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725038,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725039,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725040,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725041,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725042,Room Bounding Disattivato,0
