Categoria,ID Elemento,Verifica,Offset Rilevato,Stato
Porte,727906,Oggetto conforme.,0.0,1
Porte,727995,Oggetto conforme.,0.0,1
Porte,728033,Oggetto conforme.,0.0,1
Porte,728057,Oggetto conforme.,0.0,1
Porte,728145,Oggetto conforme.,0.0,1
Porte,728169,Oggetto conforme.,0.0,1
Porte,728216,Oggetto conforme.,0.0,1
Porte,728254,Oggetto conforme.,0.0,1
Porte,728283,Oggetto conforme.,0.0,1
Porte,728339,Oggetto conforme.,0.0,1
Porte,728369,Oggetto conforme.,0.0,1
Porte,728449,Oggetto conforme.,0.0,1
Porte,728489,Oggetto conforme.,0.0,1
Porte,728543,Oggetto conforme.,0.0,1
Porte,728607,Oggetto conforme.,0.0,1
Porte,728637,Oggetto conforme.,0.0,1
Porte,728693,Oggetto conforme.,0.0,1
Porte,728734,Oggetto conforme.,0.0,1
Porte,728752,Oggetto conforme.,0.0,1
Porte,728801,Oggetto conforme.,0.0,1
Porte,728819,Oggetto conforme.,0.0,1
Porte,728851,Oggetto conforme.,0.0,1
Porte,728879,Oggetto conforme.,0.0,1
Porte,728929,Oggetto conforme.,0.0,1
Porte,729047,Oggetto conforme.,0.0,1
Porte,729116,Oggetto conforme.,0.0,1
Porte,729220,Oggetto conforme.,0.0,1
Porte,729349,Oggetto conforme.,0.0,1
Porte,729460,Oggetto conforme.,0.0,1
Porte,729511,Oggetto conforme.,0.0,1
Porte,734167,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734170,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734171,Oggetto conforme.,0.29999999999999999,1
Porte,734234,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734237,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734238,Oggetto conforme.,0.29999999999999999,1
Porte,734316,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734319,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734320,Oggetto conforme.,0.29999999999999999,1
Porte,734481,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734484,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734485,Oggetto conforme.,0.29999999999999999,1
Porte,734528,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734531,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734532,Oggetto conforme.,0.29999999999999999,1
Porte,734574,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734577,Oggetto conforme.,0.29999999999999999,1
Arredi fissi,734578,Oggetto conforme.,0.29999999999999999,1
Porte,734719,Oggetto conforme.,0.0,1
Porte,734751,Oggetto conforme.,0.0,1
Porte,734767,Oggetto conforme.,0.0,1
Porte,734811,Oggetto conforme.,0.0,1
Porte,734877,Oggetto conforme.,0.0,1
Porte,734903,Oggetto conforme.,0.0,1
Porte,734941,Oggetto conforme.,0.0,1
Porte,734997,Oggetto conforme.,0.0,1
Porte,735027,Oggetto conforme.,0.0,1
Porte,735049,Oggetto conforme.,0.0,1
Porte,735077,Oggetto conforme.,0.0,1
Porte,735115,Oggetto conforme.,0.0,1
Porte,736089,Oggetto conforme.,0.0,1
Porte,736127,Oggetto conforme.,0.0,1
Porte,736172,Oggetto conforme.,0.0,1
Porte,736334,Oggetto conforme.,0.0,1
Porte,736539,Oggetto conforme.,0.0,1
Porte,736625,Oggetto conforme.,0.0,1
Porte,736849,Oggetto conforme.,0.0,1
Porte,737047,Oggetto conforme.,0.0,1
Porte,737208,Oggetto conforme.,0.0,1
Porte,737261,Oggetto conforme.,0.0,1
Porte,737288,Oggetto conforme.,0.0,1
Porte,737325,Oggetto conforme.,0.0,1
Porte,737613,Oggetto conforme.,0.0,1
Porte,737683,Oggetto conforme.,0.0,1
Porte,737719,Oggetto conforme.,0.0,1
Porte,737743,Oggetto conforme.,0.0,1
Porte,737785,Oggetto conforme.,0.0,1
Porte,737817,Oggetto conforme.,0.0,1
Porte,748244,Oggetto conforme.,0.0,1
Porte,750518,Oggetto conforme.,0.0,1
Porte,750741,Oggetto conforme.,0.0,1
Porte,755577,Oggetto conforme.,0.0,1
Porte,755613,Oggetto conforme.,0.0,1
Porte,755895,Oggetto conforme.,0.0,1
Porte,755955,Oggetto conforme.,0.0,1
Porte,756025,Oggetto conforme.,0.0,1
Porte,765975,Oggetto conforme.,0.0,1
Porte,766365,Oggetto conforme.,0.0,1
Porte,767451,Oggetto conforme.,0.0,1
Porte,767548,Oggetto conforme.,0.0,1
Porte,767610,Oggetto conforme.,0.0,1
Porte,767688,Oggetto conforme.,0.0,1
Porte,768450,Oggetto conforme.,0.0,1
Porte,768504,Oggetto conforme.,0.0,1
Porte,769072,Oggetto conforme.,0.0,1
Porte,770033,Oggetto conforme.,0.0,1
Porte,770066,Oggetto conforme.,0.0,1
Porte,770248,Oggetto conforme.,0.0,1
Porte,839235,Oggetto conforme.,0.0,1
Porte,851934,Oggetto conforme.,0.0,1
Porte,853046,Oggetto conforme.,0.0,1
Porte,853081,Oggetto conforme.,0.0,1
Porte,853628,Oggetto conforme.,0.0,1
Porte,853678,Oggetto conforme.,0.0,1
Porte,879440,Oggetto conforme.,0.0,1
Porte,879471,Oggetto conforme.,0.0,1
Porte,879537,Oggetto conforme.,0.0,1
Porte,879755,Oggetto conforme.,0.0,1
Porte,879809,Oggetto conforme.,0.0,1
Porte,879901,Oggetto conforme.,0.0,1
Porte,880128,Oggetto conforme.,0.0,1
Porte,880328,Oggetto conforme.,0.0,1
Porte,880394,Oggetto conforme.,0.0,1
Porte,880462,Oggetto conforme.,0.0,1
Porte,880516,Oggetto conforme.,0.0,1
Porte,880558,Oggetto conforme.,0.0,1
Porte,880614,Oggetto conforme.,0.0,1
Porte,880717,Oggetto conforme.,0.0,1
Porte,881175,Oggetto conforme.,0.0,1
Porte,930237,Oggetto conforme.,0.0,1
Porte,1010124,Oggetto conforme.,0.0,1
Porte,1035158,Oggetto conforme.,0.0,1
Porte,1035261,Oggetto conforme.,0.0,1
Porte,1035321,Oggetto conforme.,0.0,1
Porte,1035437,Oggetto conforme.,0.0,1
Porte,1050118,Oggetto conforme.,0.0,1
Porte,1050837,Oggetto conforme.,0.0,1
Porte,1050975,Oggetto conforme.,0.0,1
Porte,1051091,Oggetto conforme.,0.0,1
Porte,1051225,Oggetto conforme.,0.0,1
Porte,1054030,Oggetto conforme.,0.0,1
Porte,1054157,Oggetto conforme.,0.0,1
Porte,1054253,Oggetto conforme.,0.0,1
Porte,1054487,Oggetto conforme.,0.0,1
Porte,1055556,Oggetto conforme.,0.0,1
Arredi fissi,1104120,Oggetto conforme.,0.0,1
Arredi fissi,1116763,Oggetto conforme.,0.0,1
Supporti,1124551,Oggetto conforme.,11.460000000000001,1
Supporti,1124552,Oggetto conforme.,11.460000000000001,1
Supporti,1124553,Oggetto conforme.,11.460000000000001,1
Supporti,1124554,Oggetto conforme.,11.460000000000001,1
Supporti,1124555,Oggetto conforme.,11.460000000000001,1
Supporti,1124556,Oggetto conforme.,11.460000000000001,1
Supporti,1124557,Oggetto conforme.,11.460000000000001,1
Supporti,1124558,Oggetto conforme.,11.460000000000001,1
Supporti,1124559,Oggetto conforme.,11.460000000000001,1
Supporti,1124560,Oggetto conforme.,11.460000000000001,1
Supporti,1124561,Oggetto conforme.,11.460000000000001,1
Supporti,1124562,Oggetto conforme.,11.460000000000001,1
Supporti,1124563,Oggetto conforme.,11.460000000000001,1
Supporti,1124564,Oggetto conforme.,11.460000000000001,1
Supporti,1124565,Oggetto conforme.,11.460000000000001,1
Supporti,1124566,Oggetto conforme.,11.460000000000001,1
Supporti,1124567,Oggetto conforme.,11.460000000000001,1
Supporti,1124568,Oggetto conforme.,11.460000000000001,1
Supporti,1124569,Oggetto conforme.,11.460000000000001,1
Supporti,1124570,Oggetto conforme.,11.460000000000001,1
Supporti,1124571,Oggetto conforme.,11.460000000000001,1
Supporti,1124572,Oggetto conforme.,11.460000000000001,1
Supporti,1124573,Oggetto conforme.,11.460000000000001,1
Supporti,1124574,Oggetto conforme.,11.460000000000001,1
Supporti,1124575,Oggetto conforme.,11.460000000000001,1
Supporti,1124576,Oggetto conforme.,11.460000000000001,1
Supporti,1124577,Oggetto conforme.,11.460000000000001,1
Supporti,1124578,Oggetto conforme.,11.460000000000001,1
Supporti,1125053,Oggetto conforme.,11.460000000000001,1
Supporti,1125054,Oggetto conforme.,11.460000000000001,1
Supporti,1125055,Oggetto conforme.,11.460000000000001,1
Supporti,1125056,Oggetto conforme.,11.460000000000001,1
Supporti,1125057,Oggetto conforme.,11.460000000000001,1
Supporti,1125058,Oggetto conforme.,11.460000000000001,1
Supporti,1125059,Oggetto conforme.,11.460000000000001,1
Porte,1156760,Oggetto conforme.,0.0,1
Porte,1162017,Oggetto conforme.,0.0,1
Porte,1185243,Oggetto conforme.,0.0,1
Supporti,1185402,Oggetto conforme.,11.460000000000001,1
Supporti,1185403,Oggetto conforme.,11.460000000000001,1
Supporti,1185404,Oggetto conforme.,11.460000000000001,1
Supporti,1185405,Oggetto conforme.,11.460000000000001,1
Supporti,1185406,Oggetto conforme.,11.460000000000001,1
Supporti,1185407,Oggetto conforme.,11.460000000000001,1
Supporti,1185408,Oggetto conforme.,11.460000000000001,1
Supporti,1185409,Oggetto conforme.,11.460000000000001,1
Supporti,1185434,Oggetto conforme.,11.460000000000001,1
Supporti,1185435,Oggetto conforme.,11.460000000000001,1
Supporti,1185436,Oggetto conforme.,11.460000000000001,1
Supporti,1185437,Oggetto conforme.,11.460000000000001,1
Supporti,1185438,Oggetto conforme.,11.460000000000001,1
Supporti,1185439,Oggetto conforme.,11.460000000000001,1
Supporti,1185440,Oggetto conforme.,11.460000000000001,1
Supporti,1185441,Oggetto conforme.,11.460000000000001,1
Supporti,1185442,Oggetto conforme.,11.460000000000001,1
Supporti,1185443,Oggetto conforme.,11.460000000000001,1
Supporti,1185444,Oggetto conforme.,11.460000000000001,1
Supporti,1185445,Oggetto conforme.,11.460000000000001,1
Supporti,1185446,Oggetto conforme.,11.460000000000001,1
Supporti,1185447,Oggetto conforme.,11.460000000000001,1
Supporti,1185448,Oggetto conforme.,11.460000000000001,1
Supporti,1185449,Oggetto conforme.,11.460000000000001,1
Supporti,1185450,Oggetto conforme.,11.460000000000001,1
Supporti,1185451,Oggetto conforme.,11.460000000000001,1
Supporti,1185452,Oggetto conforme.,11.460000000000001,1
Supporti,1185453,Oggetto conforme.,11.460000000000001,1
Supporti,1185454,Oggetto conforme.,11.460000000000001,1
Supporti,1185455,Oggetto conforme.,11.460000000000001,1
Supporti,1185456,Oggetto conforme.,11.460000000000001,1
Supporti,1185457,Oggetto conforme.,11.460000000000001,1
Supporti,1185458,Oggetto conforme.,11.460000000000001,1
Supporti,1185478,Oggetto conforme.,11.460000000000001,1
Supporti,1185479,Oggetto conforme.,11.460000000000001,1
Supporti,1185480,Oggetto conforme.,11.460000000000001,1
Supporti,1185481,Oggetto conforme.,11.460000000000001,1
Supporti,1185482,Oggetto conforme.,11.460000000000001,1
Supporti,1185483,Oggetto conforme.,11.460000000000001,1
Supporti,1185484,Oggetto conforme.,11.460000000000001,1
Supporti,1185485,Oggetto conforme.,11.460000000000001,1
Supporti,1185486,Oggetto conforme.,11.460000000000001,1
Supporti,1185487,Oggetto conforme.,11.460000000000001,1
Supporti,1185488,Oggetto conforme.,11.460000000000001,1
Supporti,1185489,Oggetto conforme.,11.460000000000001,1
Supporti,1185490,Oggetto conforme.,11.460000000000001,1
Supporti,1185491,Oggetto conforme.,11.460000000000001,1
Supporti,1185492,Oggetto conforme.,11.460000000000001,1
Supporti,1185493,Oggetto conforme.,11.460000000000001,1
Supporti,1185494,Oggetto conforme.,11.460000000000001,1
Supporti,1185495,Oggetto conforme.,11.460000000000001,1
Supporti,1185496,Oggetto conforme.,11.460000000000001,1
Supporti,1185497,Oggetto conforme.,11.460000000000001,1
Supporti,1185498,Oggetto conforme.,11.460000000000001,1
Supporti,1185499,Oggetto conforme.,11.460000000000001,1
Supporti,1185500,Oggetto conforme.,11.460000000000001,1
Supporti,1185501,Oggetto conforme.,11.460000000000001,1
Porte,1185752,Oggetto conforme.,0.0,1
Porte,1186112,Oggetto conforme.,0.0,1
Porte,1186299,Oggetto conforme.,0.0,1
Porte,1186367,Oggetto conforme.,0.0,1
Porte,1251814,Oggetto conforme.,0.0,1
Porte,1264865,Oggetto conforme.,0.0,1
Porte,1265071,Oggetto conforme.,0.0,1
