Nome Parametro,GUID Parametro,Stato
RDESffRoomID,5164ec70-7d83-4a3a-bd69-2ed5746b78df,0
SR View Calculation Settings,9d8b5628-4234-4222-bff5-96debc68ec8a,0
SR Document GUID,1a43bb43-c87f-4723-9b36-17c30e158c82,0
Decimal Color,57530dd5-86bb-49ed-ab82-fe989b9f8f6c,0
Browser Organization Level 02,8b527f45-50a5-4e65-a901-c3cdb93d38b8,1
Browser Organization Level 01,af407b79-8266-4951-b3cd-1bb0f67a37ad,1
XXX_TBS_I_Zona,7dbd4545-5c25-4b27-b323-6e34ca1535de,1
XXX_TBS_I_Fase,740585e8-ed9f-4306-8972-9e0bfcb8edd8,1
XXX_TBS_I_SistemaArgomento,126b7b3d-90ae-4894-a7d0-d7948369dc10,1
XXX_TBS_I_Tipo,b0fde7d3-7116-48e1-b6d6-8545797a7d98,1
XXX_TBS_I_CodiceEnac,78811dce-3f39-4568-ac21-4668472bb993,1
XXX_TBS_I_DrawnBy01,b362b3eb-dbcb-44cc-8540-9ea88602886e,1
XXX_TBS_I_DrawnBy03,3383aace-33b1-46fb-bc25-2a9a805655f5,1
XXX_TBS_I_CheckedBy01,392e3eca-bff0-4de4-b9c5-92e7e926eecc,1
XXX_TBS_I_CheckedBy02,531c16e1-6c80-450c-8ff2-59e48e0fd2f7,1
XXX_TBS_I_CheckedBy03,30bdb28e-2d3c-4b09-97f8-ca3df2825cb3,1
XXX_TBS_I_ApprovedBy01,1cc0c69c-0bdb-4178-b6c2-7d8b0a24ba60,1
XXX_TBS_I_ApprovedBy02,6dd614ac-8bac-4f44-b267-6eb9049660ef,1
XXX_TBS_I_ApprovedBy03,0e70b637-9f49-44b9-bdb9-14040b040652,1
XXX_TBS_I_DrawnBy02,d3b9e4f6-031f-4cab-ac1d-296e883769c2,1
XXX_TBS_I_Progressivo,85d34c7d-1f10-4282-b7af-df18d0ace306,1
XXX_TBS_I_ProgressivoTipo,e2d2601f-ce7e-44ce-ac23-68205d59d7e6,1
PRO_TE_Codice elemento tecnico HOST,14194d7f-4c10-44ec-98f9-11593378f3a7,0
Product data url,0101d8bc-35b7-4410-a3e2-10d7ab0e8c40,0
Uniclass 1.4 Code,d3cc2fa7-d482-46f4-aebf-e164bbba1736,0
Uniclass 1.4 Description,712fed06-f073-48be-9633-b87507fb9653,0
Uniclass 2015 Code,c189487e-9036-4e7a-a5d2-a2569e1bb03f,0
Uniclass 2015 Name,c5f27551-675e-4876-b965-3ea73bac896d,0
Uniclass 2.0 Code,2213bfac-92e9-4112-ade2-80b4bff9e551,0
Uniclass 2.0 Description,863437e3-03e8-4b56-8d08-7dd678a93e3b,0
Uniformat II Code,e83ad4bb-6370-4cba-8a06-6807a79f2c8a,0
Uniformat II Description,2f002dae-0e0e-4d2b-8294-8a3b4035dd41,0
UNSPSC Code,85779580-ff27-40bb-b54b-49f66ba18233,0
Weight Net (Kg),93dc3529-ecbd-4f36-ba1d-33df81c3e06b,0
Nominal width,34e35d8b-4d6b-422a-b48e-fd26b356d044,0
BIMobject category,28e46436-9f65-4f81-a151-8936f18c1313,0
Brand url,42ccd0c5-f4ce-4263-8362-20a14ecaa76b,0
COBIe Type Category,0947cdfd-7198-40e8-9286-6fff119b0d17,0
Design country,cc71c19d-4e95-42c0-a7b6-25e76ac3429f,0
EAN code,a45a0050-2a39-4b29-bb1f-1b1430c9954d,0
Edition number,0ea9a83f-e4b8-4a03-b9c6-f14000c40a16,0
Nominal height,a186e6e2-4dd7-4d22-93bb-a21a4f4bf84f,0
IFC Classification,9f479213-7548-4240-a976-228704bacee8,0
Installation instructions,a8a5e712-3947-4243-a7c4-12482fd7fb73,0
Youtube clip,e8d3a46e-7d27-4199-80d7-1a91054364f4,0
Manufacturer country,4234eb45-eebc-4ffa-9e49-f2f2ca9c1b8f,0
Manufacturer name,3077e960-a896-405f-bb06-2b705de55327,0
Masterformat 2014 Code,12e7daa5-f0aa-4548-8985-757af7487f9b,0
Masterformat 2014 Description,49a7661d-49ac-4caf-a33b-2fd88a4160ce,0
Material main,8832e9f9-079e-4277-9201-53ef57298a6b,0
Material secondary,e5acfff5-4753-4163-923a-68acfab3f46c,0
NBS Reference Code,15a4a052-e177-4426-a087-763deb9888fb,0
NBS Reference Description,76f2cd5e-c6a8-4474-9b21-234d33c06f9d,0
OmniClass Code,ab516ad9-9852-4cd9-a9a9-52a33e5c273f,0
OmniClass Description,0ab7925f-77d7-4291-822b-6e9e76d6a03f,0
Product certification,dd8090bd-838c-4eda-ac7d-a449d0e8776f,0
Product family,268ab0e1-7098-4277-b26b-f94f5e9956b0,0
Product group,a5f2d543-a86c-460e-afd2-6764c5f3f6dc,0
Product Guid,665571c9-a858-4b27-8769-de7efd2e473a,0
Product url,76e21a60-4915-47cd-8839-89bbd3384f1b,0
Date of publishing,e2bcabd7-8af1-4c70-bbe8-1342f776d33b,0
QR code,3e52b35a-8984-44ad-9fe7-c255175b20bc,0
Region Africa,b1c8d75e-6254-4473-bade-e1695108d534,0
Region Antarctica,813a073b-a752-43bf-9c2c-9bfd4eb21824,0
Region Asia,cefa142a-f251-4acd-9b88-8bc463486b7b,0
Region Europe,b9dc4ab8-a9eb-4e06-877f-dab351f1b185,0
Region Middle East,ca66bebf-9b7f-4ecb-82ed-ac3654b2a7dc,0
Region North America,a7e1209e-4cc7-4c92-89b8-cae19a577d9d,0
Region Oceania,70da0726-8eda-4390-9693-f4d87c618d0a,0
Region South America,25642c20-abea-48fe-92c8-bf7f53fd7cac,0
Product SKU,19411ce6-0bc3-42e0-9a32-655fc5ddeb5e,0
Technical description,98aca222-fedf-46b0-b939-e890af9ef9ea,0
Livello di appartenenza,Parametro non condiviso,0
Manufacturer Address,00000000-0000-0000-0000-000000000003,0
Manufacturer Phone,00000000-0000-0000-0000-000000000004,0
Manufacturer Phone - Toll Free,1876075b-66a1-4892-a1b2-417fcdbd9ae7,0
Manufacturer Fax,00000000-0000-0000-0000-000000000005,0
UTI_TE_Nome,3e3e3667-f0c4-4353-90c3-b56fd3879404,0
UTI_TE_Funzione,49e6a1b0-6f23-4f24-9409-4a233cda89f8,0
UTI_TE_Piano,743c06ce-9ec6-4f5a-adda-3bce6ca68065,0
UTI_TE_Numero,c0ee7eff-23e2-4819-bb95-17a271daa478,0
_Sottodisciplina,9132427e-415c-4298-a062-7665a9d87ade,0
_Gruppo strutturale,642088b0-36e2-405f-8c79-cef32271b402,0
_Zona,5ea03def-f9fb-425d-acf7-2a5198a8a7ce,0
MC Version Saved,8ec36484-f749-433d-a800-e96c39707968,0
NameOverride,Parametro non condiviso,0
Manufacturer,Parametro non condiviso,0
ModelLabel,Parametro non condiviso,0
ModelReference,Parametro non condiviso,0
VIS_TE_Argomento della vista,5810bb5b-4e7e-472c-b38a-2019202b965b,0
VIS_TE_Sottoargomento della vista,f277e03d-349e-4b8d-9192-1909810868cf,0
