Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
49,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,J.002,IfcCovering,,Corretta,1
47,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,J.002,IfcCovering,,Corretta,1
136,Controsoffitto composto:AR_CON_CPA_85mm_CI.07,J.002,IfcCovering,,Corretta,1
3,Controsoffitto composto:AR_CON_CPA_60mm_CI.01,J.002,IfcCovering,,Corretta,1
2,Controsoffitto composto:AR_CON_CPA_95mm_CI.11,J.002,IfcCovering,,Corretta,1
4,Controsoffitto composto:AR_CON_CPA_50mm_CI.12,J.002,IfcCovering,,Corretta,1
30,Controsoffitto composto:AR_CON_CSO_20mm_CI.06,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione009:AR_GEN_MGE_Circolazione009_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione010:AR_GEN_MGE_Circolazione010_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione011:AR_GEN_MGE_Circolazione011_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione012:AR_GEN_MGE_Circolazione012_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione013:AR_GEN_MGE_Circolazione013_CI.02,J.002,IfcCovering,,Corretta,1
1,Controsoffitto composto:AR_CON_CPA_67mm_CI.09,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_Circolazione014:AR_GEN_MGE_Circolazione014_CI.02,J.002,IfcCovering,,Corretta,1
4,Controsoffitto composto:AR_CON_CPA_131mm_CI.08,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoP2.017:AR_GEN_MGE_AvancorpoP2.017_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoP1.020:AR_GEN_MGE_AvancorpoP1.020_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoP1.021:AR_GEN_MGE_AvancorpoP1.021_C I.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoP1.018:AR_GEN_MGE_AvancorpoP1.018_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoP1.023:AR_GEN_MGE_AvancorpoP1.023_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoPT.017:AR_GEN_MGE_AvancorpoPT.017_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoP1.015:AR_GEN_MGE_AvancorpoP1.017_CI.02,J.002,IfcCovering,,Corretta,1
1,AR_GEN_MGE_AvancorpoP1.024:AR_GEN_MGE_AvancorpoP1.024_CI.02,J.002,IfcCovering,,Corretta,1
