Quantità,Modello,Type Name,ID,Livello,IFC Element,Verifica,Stato
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,763931,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870460,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870468,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870476,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870496,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,870504,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870523,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870531,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870595,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870607,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870621,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870629,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870638,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870715,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870723,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870806,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,870818,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,872546,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,872554,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,872562,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,872570,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,872590,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,873337,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,873795,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,873803,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_60mm_CI.13,881567,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,882969,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,882978,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,882995,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,883217,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,883235,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,1194631,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_85mm_CI.07,1194664,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,1194697,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1194876,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,1195169,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1195203,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1195355,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_85mm_CI.07,1200930,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_105mm_CI.04,1201063,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_85mm_CI.07,1201100,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_85mm_CI.07,1201321,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1201389,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1201411,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1204599,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1204607,,,Corretta,1
1,9nnn_J.002_028_PE_AR_M3_02_00,Controsoffitto composto:AR_CON_CPA_83mm_CI.05,1204615,,,Corretta,1
