Categoria,Id Elemento,Nome Elemento,Pin Attivo,Copy-Monitor,Stato
Griglie,658877,01,Pinnato,Non Monitorato,0
Griglie,659059,02,Pinnato,Non Monitorato,0
Griglie,659066,03,Pinnato,Non Monitorato,0
Griglie,659079,04,Pinnato,Non Monitorato,0
Griglie,659090,05,Pinnato,Non Monitorato,0
Griglie,659101,06,Pinnato,Non Monitorato,0
Griglie,659110,07,Pinnato,Non Monitorato,0
Griglie,659121,08,Pinnato,Non Monitorato,0
Griglie,659132,09,Pinnato,Non Monitorato,0
Griglie,659143,10,Pinnato,Non Monitorato,0
Griglie,659154,11,Pinnato,Non Monitorato,0
Griglie,659163,12,Pinnato,Non Monitorato,0
Griglie,659172,13,Pinnato,Non Monitorato,0
Griglie,659181,14,Pinnato,Non Monitorato,0
Griglie,659190,15,Non Pinnato,Non Monitorato,0
Griglie,659199,16,Pinnato,Non Monitorato,0
Griglie,659212,17,Pinnato,Non Monitorato,0
Griglie,659225,18,Pinnato,Non Monitorato,0
Griglie,659234,19,Pinnato,Non Monitorato,0
Griglie,659247,20,Pinnato,Non Monitorato,0
Griglie,659256,21,Non Pinnato,Non Monitorato,0
Griglie,659263,22,Pinnato,Non Monitorato,0
Griglie,659279,23,Pinnato,Non Monitorato,0
Griglie,659288,24,Pinnato,Non Monitorato,0
Griglie,659299,25,Pinnato,Non Monitorato,0
Griglie,659308,26,Pinnato,Non Monitorato,0
Griglie,659319,27,Pinnato,Non Monitorato,0
Griglie,659326,28,Pinnato,Non Monitorato,0
Griglie,659574,A,Non Pinnato,Non Monitorato,0
Griglie,659653,B,Pinnato,Non Monitorato,0
Griglie,659694,C,Pinnato,Non Monitorato,0
Griglie,659703,D,Pinnato,Non Monitorato,0
Griglie,659710,E,Pinnato,Non Monitorato,0
Griglie,659717,G,Pinnato,Non Monitorato,0
Griglie,659726,H,Pinnato,Non Monitorato,0
Griglie,659733,J,Pinnato,Non Monitorato,0
Griglie,659740,K,Pinnato,Non Monitorato,0
Griglie,659747,L,Pinnato,Non Monitorato,0
Griglie,659779,M,Pinnato,Non Monitorato,0
Griglie,674776,I,Pinnato,Non Monitorato,0
Griglie,674864,F,Pinnato,Non Monitorato,0
Griglie,1108961,15',Pinnato,Non Monitorato,0
Griglie,1108968,15'',Pinnato,Non Monitorato,0
Griglie,1109156,18',Non Pinnato,Non Monitorato,0
Griglie,1109320,21',Non Pinnato,Non Monitorato,0
Griglie,1109503,A',Pinnato,Non Monitorato,0
Griglie,1109647,B',Pinnato,Non Monitorato,0
Griglie,1109763,E',Pinnato,Non Monitorato,0
Griglie,1220682,13',Non Pinnato,Non Monitorato,0
Griglie,1220761,12',Non Pinnato,Non Monitorato,0
Livelli,311,AR_LIV_PE_P00_+0.00m,Non Pinnato,Non Monitorato,0
Livelli,638329,AR_LIV_PE_P01_+5.20m,Non Pinnato,Non Monitorato,0
Livelli,638415,AR_LIV_PE_P02_+10.40m,Non Pinnato,Non Monitorato,0
Livelli,661130,ST_LIV_PE_P01_+5.08m,Non Pinnato,Non Monitorato,0
Livelli,661520,ST_LIV_PE_P00_-0.48m,Non Pinnato,Non Monitorato,0
Livelli,661624,ST_LIV_PE_P02_+10.28m,Non Pinnato,Non Monitorato,0
Livelli,661743,AR_LIV_PE_PC2_+15.73m,Non Pinnato,Non Monitorato,0
Livelli,661744,ST_LIV_PE_PC2_+15.48m,Non Pinnato,Non Monitorato,0
Livelli,670266,AR_LIV_PE_PC1_+12.83m,Non Pinnato,Non Monitorato,0
Livelli,675252,ST_LIV_PE_PC1_+12.50m,Non Pinnato,Non Monitorato,0
Livelli,763524,ST_LIV_PE_PC3_+20.32m,Non Pinnato,Non Monitorato,0
