Nome Locale,ID Elemento,Verifica,Stato
WC PASSEGGERI,747203,Locale Posizionato,1
AREE A DISPOSIZIONE,747239,Locale Posizionato,1
AREE A DISPOSIZIONE,747242,Locale Posizionato,1
AREE A DISPOSIZIONE,747245,Locale Posizionato,1
AREE A DISPOSIZIONE,747248,Locale Posizionato,1
AREE A DISPOSIZIONE,747251,Locale Posizionato,1
WC PASSEGGERI,747260,Locale Posizionato,1
WC PASSEGGERI,747263,Locale Posizionato,1
WC PASSEGGERI,747266,Locale Posizionato,1
WC PASSEGGERI,747269,Locale Posizionato,1
WC PASSEGGERI,747272,Locale Posizionato,1
AREA STAFF,747275,Locale Posizionato,1
AREA STAFF,747278,Locale Posizionato,1
AREA STAFF,747281,Locale Posizionato,1
WC STAFF,747284,Locale Posizionato,1
WC STAFF,747287,Locale Posizionato,1
WC STAFF,747290,Locale Posizionato,1
WC STAFF,747293,Locale Posizionato,1
AREA STAFF,747296,Locale Posizionato,1
AREA STAFF,747306,Locale Posizionato,1
SECURITY/CONTROLLO PASSAPORTI,748038,Locale Posizionato,1
IMPIANTI,748179,Locale Posizionato,1
IMPIANTI,748182,Locale Posizionato,1
IMPIANTI,748185,Locale Posizionato,1
IMPIANTI,748188,Locale Posizionato,1
IMPIANTI,748191,Locale Posizionato,1
IMPIANTI,748194,Locale Posizionato,1
IMPIANTI,748197,Locale Posizionato,1
IMPIANTI,748200,Locale Posizionato,1
AREE A DISPOSIZIONE,748228,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,749230,Locale Posizionato,1
IMPIANTI,749233,Locale Posizionato,1
ENTI DI STATO,749239,Locale Posizionato,1
ENTI DI STATO,749242,Locale Posizionato,1
ENTI DI STATO,749245,Locale Posizionato,1
ENTI DI STATO,749248,Locale Posizionato,1
ENTI DI STATO,749251,Locale Posizionato,1
ENTI DI STATO,749254,Locale Posizionato,1
WC STAFF,749257,Locale Posizionato,1
ENTI DI STATO,749260,Locale Posizionato,1
ENTI DI STATO,749263,Locale Posizionato,1
ENTI DI STATO,749266,Locale Posizionato,1
ENTI DI STATO,749269,Locale Posizionato,1
WC STAFF,749272,Locale Posizionato,1
IMPIANTI,749275,Locale Posizionato,1
ENTI DI STATO,749278,Locale Posizionato,1
ENTI DI STATO,749281,Locale Posizionato,1
SECURITY/CONTROLLO PASSAPORTI,749287,Locale Posizionato,1
AREA STAFF,749293,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,749491,Locale Posizionato,1
IMPIANTI,749679,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,749844,Locale Posizionato,1
CIRCOLAZIONE SALA IMBARCHI,750324,Locale Posizionato,1
ENTI DI STATO,750390,Locale Posizionato,1
AREA STAFF,752152,Locale Posizionato,1
AREA STAFF,752155,Locale Posizionato,1
AREA STAFF,752195,Locale Posizionato,1
SERVIZI AL PASSEGGERO,753473,Locale Posizionato,1
WC STAFF,753493,Locale Posizionato,1
WC STAFF,753496,Locale Posizionato,1
