Categoria,Id Elemento,Livello Base,Livello Superiore,Verifica,Stato
Muri,680542,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,680655,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,680909,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,681665,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,681742,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,681807,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,681912,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,682223,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,682517,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,682690,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,683012,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,683256,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,0.0,Elemento vincolato correttamente tra livelli.,1
Muri,683520,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,683813,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,683925,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,684149,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,684355,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,684460,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,684541,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,684639,AR_LIV_PE_P00_+0.00m,Non collegata,0.0,Elemento senza vincolo superiore.,0
Muri,684801,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,684879,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
Muri,684933,ST_LIV_PE_P00_-0.48m,Fino al livello: ST_LIV_PE_P01_+5.08m,-0.78000000000000003,Elemento vincolato correttamente tra livelli.,1
