Nome Locale,ID Elemento,Verifica,Stato
Retail,809622,Locale non racchiuso,0
Retail,809718,Locale non racchiuso,0
Circolazione,1591876,Locale non racchiuso,0
WC dis,1591888,Locale non racchiuso,0
Servizi al passeggero,777469,Locale Posizionato,1
F&B,809060,Locale Posizionato,1
F&B,809063,Locale Posizionato,1
Retail,809065,Locale Posizionato,1
L.T.,809067,Locale Posizionato,1
Locale Pulitori,809374,Locale Posizionato,1
Retail,809620,Locale Posizionato,1
L.T.,809714,Locale Posizionato,1
WC D,811711,Locale Posizionato,1
WC dis,811713,Locale Posizionato,1
WC dis,811715,Locale Posizionato,1
L.T.,811717,Locale Posizionato,1
WC passeggeri,812612,Locale Posizionato,1
Deposito,812696,Locale Posizionato,1
F&B,813566,Locale Posizionato,1
Circolazione,815496,Locale Posizionato,1
Area sedute gate,815770,Locale Posizionato,1
Servizi al passeggero,815913,Locale Posizionato,1
Magazzino DOAMAN,818989,Locale Posizionato,1
Circolazione,823472,Locale Posizionato,1
Circolazione,823474,Locale Posizionato,1
L.T.,890078,Locale Posizionato,1
L.T.,890185,Locale Posizionato,1
Enti di stato,1026472,Locale Posizionato,1
F&B,1026962,Locale Posizionato,1
WC U,1026997,Locale Posizionato,1
Area Orientation,1028247,Locale Posizionato,1
Cleaning,1029664,Locale Posizionato,1
Area desk,1063796,Locale Posizionato,1
Accodamento,1063798,Locale Posizionato,1
Area preimbarco,1063892,Locale Posizionato,1
Area preimbarco,1066356,Locale Posizionato,1
Area desk,1066358,Locale Posizionato,1
Area sedute gate,1066456,Locale Posizionato,1
Area preimbarco,1070801,Locale Posizionato,1
Area desk,1070803,Locale Posizionato,1
Accodamento,1070805,Locale Posizionato,1
Area desk,1070807,Locale Posizionato,1
Area preimbarco,1070809,Locale Posizionato,1
Accodamento,1070811,Locale Posizionato,1
Area preimbarco,1072862,Locale Posizionato,1
Area desk,1072864,Locale Posizionato,1
Accodamento,1072866,Locale Posizionato,1
Area sedute gate,1092325,Locale Posizionato,1
Area sedute gate,1092328,Locale Posizionato,1
Area sedute gate,1092331,Locale Posizionato,1
Accodamento,1104607,Locale Posizionato,1
L.T.,1109317,Locale Posizionato,1
Retail,1556087,Locale Posizionato,1
L.T.,1755374,Locale Posizionato,1
L.T.,1755378,Locale Posizionato,1
Area Stoccaggio Rifiuti,1831209,Locale Posizionato,1
Deposito Tendiflex DOA OP,1835225,Locale Posizionato,1
Locale Appoggio Facilitatori,1836491,Locale Posizionato,1
Circolazione,1837018,Locale Posizionato,1
DPI Security,1839281,Locale Posizionato,1
WC staff,1839865,Locale Posizionato,1
Deposito,1843297,Locale Posizionato,1
Circolazione,1908690,Locale Posizionato,1
Circolazione,2027792,Locale Posizionato,1
