Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
AR_MUR_DIV_200mm_MI.01,IfcWall,Non trovato,1ZOP8M2kfEaQClLh_RARXu,Non trovato,1225148,Non presente in IFC,0
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,1ZOP8M2kfEaQClLh_RASYH,1ZOP8M2kfEaQClLh_RASYH,1229141,1229141,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,1ZOP8M2kfEaQClLh_RASfQ,1ZOP8M2kfEaQClLh_RASfQ,1229726,1229726,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,2QNaXvZkjEV8ol7Y5RubP$,2QNaXvZkjEV8ol7Y5RubP$,1347785,1347785,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,2QNaXvZkjEV8ol7Y5RubUP,2QNaXvZkjEV8ol7Y5RubUP,1347887,1347887,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,0f$RJNoZjBceNKf5QhW8X4,0f$RJNoZjBceNKf5QhW8X4,1349265,1349265,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,0f$RJNoZjBceNKf5QhW8WP,0f$RJNoZjBceNKf5QhW8WP,1349324,1349324,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,0f$RJNoZjBceNKf5QhW8S$,0f$RJNoZjBceNKf5QhW8S$,1350122,1350122,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,0f$RJNoZjBceNKf5QhW8I2,0f$RJNoZjBceNKf5QhW8I2,1350231,1350231,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3bWp4$LF53tuRYJQtZWsA9,3bWp4$LF53tuRYJQtZWsA9,1357697,1357697,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3bWp4$LF53tuRYJQtZWsA0,3bWp4$LF53tuRYJQtZWsA0,1357704,1357704,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3bWp4$LF53tuRYJQtZWsBb,3bWp4$LF53tuRYJQtZWsBb,1357805,1357805,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3bWp4$LF53tuRYJQtZWsBy,3bWp4$LF53tuRYJQtZWsBy,1357812,1357812,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3rWypEKaP7LA8LEPwBe0_i,3rWypEKaP7LA8LEPwBe0_i,1365509,1365509,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3rWypEKaP7LA8LEPwBe0_Q,3rWypEKaP7LA8LEPwBe0_Q,1365555,1365555,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3rWypEKaP7LA8LEPwBe0$O,3rWypEKaP7LA8LEPwBe0$O,1365617,1365617,Corretto,1
Controsoffitto composto - AR_CON_CPA_83mm_CI.05,IfcCovering,3rWypEKaP7LA8LEPwBe0$H,3rWypEKaP7LA8LEPwBe0$H,1365624,1365624,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_1800x2400,IfcDoor,1TOhZ8mD9BHQ8v0B7B1Jpl,1TOhZ8mD9BHQ8v0B7B1Jpl,744606,744606,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_1800x2400,IfcDoor,1TOhZ8mD9BHQ8v0B7B1Jrd,1TOhZ8mD9BHQ8v0B7B1Jrd,744726,744726,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_1800x2400,IfcDoor,1TOhZ8mD9BHQ8v0B7B1JsW,1TOhZ8mD9BHQ8v0B7B1JsW,744913,744913,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_1800x2400,IfcDoor,1TOhZ8mD9BHQ8v0B7B1Jsb,1TOhZ8mD9BHQ8v0B7B1Jsb,744916,744916,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_2400x2400,IfcDoor,1TOhZ8mD9BHQ8v0B7B1Js4,1TOhZ8mD9BHQ8v0B7B1Js4,744949,744949,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_2400x2400,IfcDoor,1TOhZ8mD9BHQ8v0B7B1Js9,1TOhZ8mD9BHQ8v0B7B1Js9,744952,744952,Corretto,1
AR_POR_BAT_Acc_1A_ManiglioneAntipanico - AR_POR_BAT_Acc_1A_ManiglioneAntipanico_900x2400,IfcDoor,0$0w2UsGv72PQi9sIgJjLo,0$0w2UsGv72PQi9sIgJjLo,1235457,1235457,Corretto,1
AR_POR_BAT_Acc_1A_ManiglioneAntipanico - AR_POR_BAT_Acc_1A_ManiglioneAntipanico_900x2400,IfcDoor,1CJGCbbZHBfAI3QybJEM4e,1CJGCbbZHBfAI3QybJEM4e,1335843,1335843,Corretto,1
AR_POR_BAT_Acc_1A_ManiglioneAntipanico - AR_POR_BAT_Acc_1A_ManiglioneAntipanico_900x2400,IfcDoor,1CJGCbbZHBfAI3QybJEMTJ,1CJGCbbZHBfAI3QybJEMTJ,1336408,1336408,Corretto,1
AR_POR_BAT_Acc_1A_ManiglioneAntipanico - AR_POR_BAT_Acc_1A_ManiglioneAntipanico_900x2400,IfcDoor,2jBGOXJJD1oBnnpXf3oytC,2jBGOXJJD1oBnnpXf3oytC,1344514,1344514,Corretto,1
AR_POR_BAT_Acc_1A_ManiglioneAntipanico - AR_POR_BAT_Acc_1A_ManiglioneAntipanico_900x2400,IfcDoor,1ja2Pmn4b03gmyIPK0nEgf,1ja2Pmn4b03gmyIPK0nEgf,1347276,1347276,Corretto,1
AR_POR_BAT_Acc_1A_ManiglioneAntipanico - AR_POR_BAT_Acc_1A_ManiglioneAntipanico_900x2400,IfcDoor,2QNaXvZkjEV8ol7Y5RubQ6,2QNaXvZkjEV8ol7Y5RubQ6,1347632,1347632,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_2400x2400,IfcDoor,0bimpmfWH11xmHto5bDD8x,0bimpmfWH11xmHto5bDD8x,1385887,1385887,Corretto,1
AR_ POR_BAT_Vet_2A_Simmetrica - AR_POR_BAT_Vet_2A_Simmetrica_2400x2400,IfcDoor,0bimpmfWH11xmHto5bDD84,0bimpmfWH11xmHto5bDD84,1385888,1385888,Corretto,1
AR_POR_BAT_Acc_1A_EI60 - AR_POR_BAT_Acc_1A_EI30_900X2200,IfcDoor,0d_OrCna5EEw8xwgL5sfT_,0d_OrCna5EEw8xwgL5sfT_,1408407,1408407,Corretto,1
AR_POR_BAT_Acc_1A_EI60 - AR_POR_BAT_Acc_1A_EI30_900X2200,IfcDoor,0d_OrCna5EEw8xwgL5sfKN,0d_OrCna5EEw8xwgL5sfKN,1409022,1409022,Corretto,1
AR_POR_BAT_Acc_1A_EI60 - AR_POR_BAT_Acc_1A_EI30_900X2200,IfcDoor,0d_OrCna5EEw8xwgL5scYZ,0d_OrCna5EEw8xwgL5scYZ,1409610,1409610,Corretto,1
Tetto di base - AR_TET_PIA_256mm_PE.22,IfcRoof,1FSNUyqHL1QeSgMwbaW2vf,1FSNUyqHL1QeSgMwbaW2vf,1340440,1340440,Corretto,1
Tetto di base - AR_TET_PIA_468mm_PE.21,IfcRoof,1FSNUyqHL1QeSgMwbaW2uV,1FSNUyqHL1QeSgMwbaW2uV,1340526,1340526,Corretto,1
Tetto di base - AR_TET_PIA_468mm_PE.21,IfcRoof,1In5XHS_T9IQFPf9k2D28U,1In5XHS_T9IQFPf9k2D28U,1340700,1340700,Corretto,1
Tetto di base - AR_TET_PIA_253mm_PE.22,IfcRoof,1In5XHS_T9IQFPf9k2D2AN,1In5XHS_T9IQFPf9k2D2AN,1340821,1340821,Corretto,1
Tetto di base - AR_TET_PIA_468mm_PE.21,IfcRoof,1In5XHS_T9IQFPf9k2D2BP,1In5XHS_T9IQFPf9k2D2BP,1340891,1340891,Corretto,1
Tetto di base - AR_TET_PIA_256mm_PE.22,IfcRoof,1In5XHS_T9IQFPf9k2D24p,1In5XHS_T9IQFPf9k2D24p,1340977,1340977,Corretto,1
Tetto di base - AR_TET_PIA_468mm_PE.21,IfcRoof,1In5XHS_T9IQFPf9k2D25a,1In5XHS_T9IQFPf9k2D25a,1341030,1341030,Corretto,1
Tetto di base - AR_TET_PIA_256mm_PE.22,IfcRoof,0oGP3liFb4VhaRdOY2CIXa,0oGP3liFb4VhaRdOY2CIXa,1341197,1341197,Corretto,1
Tetto di base - AR_TET_PIA_468mm_PE.21,IfcRoof,0oGP3liFb4VhaRdOY2CIWj,0oGP3liFb4VhaRdOY2CIWj,1341252,1341252,Corretto,1
Tetto di base - AR_TET_PIA_482mm_PE.21,IfcRoof,0oGP3liFb4VhaRdOY2CIYV,0oGP3liFb4VhaRdOY2CIYV,1341430,1341430,Corretto,1
Tetto di base - AR_TET_PIA_482mm_PE.21,IfcRoof,0oGP3liFb4VhaRdOY2CITJ,0oGP3liFb4VhaRdOY2CITJ,1341498,1341498,Corretto,1
Tetto di base - AR_TET_PIA_256mm_PE.22,IfcRoof,15momzA1H1hxNTpsq38xyg,15momzA1H1hxNTpsq38xyg,1383875,1383875,Corretto,1
Pavimento - AR_PAV_RIV_20mm_FL-002,IfcSlab,3lObzx4jz3X86hmKu9t0hd,3lObzx4jz3X86hmKu9t0hd,1206369,1206369,Corretto,1
Pavimento - AR_PAV_RIV_20mm_FL-002,IfcSlab,3lObzx4jz3X86hmKu9t0j_,3lObzx4jz3X86hmKu9t0j_,1206776,1206776,Corretto,1
Scala gettata in opera - Scala,IfcSlab,3lObzx4jz3X86hmKu9tF_7,3lObzx4jz3X86hmKu9tF_7,1219841,1219841,Corretto,1
Pavimento - AR_PAV_RIV_20mm_FL-002,IfcSlab,3lObzx4jz3X86hmKu9tC2_,3lObzx4jz3X86hmKu9tC2_,1221176,1221176,Corretto,1
