Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,AR_ASM_ASC_Ascensore01:AR_ASM_ASC_Ascensore01:4261116,IfcTransportElement,4261116,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_SCM_ScalaMobile:AR_ASM_SCM_ScalaMobile:4261120,IfcTransportElement,4261120,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Montacarichi02:AR_ASM_ASC_Montacarichi02:4261122,IfcTransportElement,4261122,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Montacarichi02:AR_ASM_ASC_Montacarichi02:4261123,IfcTransportElement,4261123,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Ascensore05:AR_ASM_ASC_Ascensore05:4261124,IfcTransportElement,4261124,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Ascensore03:AR_ASM_ASC_Ascensore03:4282767,IfcTransportElement,4282767,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Ascensore03:AR_ASM_ASC_Ascensore03:4282768,IfcTransportElement,4282768,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Ascensore04:AR_ASM_ASC_Ascensore04:4282769,IfcTransportElement,4282769,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Ascensore04:AR_ASM_ASC_Ascensore04:4282770,IfcTransportElement,4282770,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Montacarichi03:AR_ASM_ASC_Montacarichi03:4282771,IfcTransportElement,4282771,,Da compilare COM_GEN_T_ArticoloEPU,0
1,AR_ASM_ASC_Montacarichi03:AR_ASM_ASC_Montacarichi03:4289348,IfcTransportElement,4289348,,Da compilare COM_GEN_T_ArticoloEPU,0
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671375,,4671375,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671389,,4671389,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671399,,4671399,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671409,,4671409,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671418,,4671418,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671427,,4671427,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671435,,4671435,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671440,,4671440,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671443,,4671443,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671446,,4671446,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_01:4671450,,4671450,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_01:4671464,,4671464,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_01:4671478,,4671478,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671577,,4671577,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671582,,4671582,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671585,,4671585,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671594,,4671594,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671602,,4671602,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671611,,4671611,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671620,,4671620,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671623,,4671623,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671632,,4671632,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671638,,4671638,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671644,,4671644,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_BarrieraVetrata - 160cm_00:4671653,,4671653,ND,Corretta,1
1,Facciata continua:AR_SFC_MON_All_BarrieraVetrata_1600:4677219,,4677219,ND,Corretta,1
