Nome Parametro,GUID Parametro,Stato
RDESffRoomID,5164ec70-7d83-4a3a-bd69-2ed5746b78df,0
SR View Calculation Settings,9d8b5628-4234-4222-bff5-96debc68ec8a,0
SR Document GUID,1a43bb43-c87f-4723-9b36-17c30e158c82,0
Decimal Color,57530dd5-86bb-49ed-ab82-fe989b9f8f6c,0
Browser Organization Level 02,8b527f45-50a5-4e65-a901-c3cdb93d38b8,1
Browser Organization Level 01,af407b79-8266-4951-b3cd-1bb0f67a37ad,1
XXX_TBS_I_Zona,7dbd4545-5c25-4b27-b323-6e34ca1535de,1
XXX_TBS_I_Fase,740585e8-ed9f-4306-8972-9e0bfcb8edd8,1
XXX_TBS_I_SistemaArgomento,126b7b3d-90ae-4894-a7d0-d7948369dc10,1
XXX_TBS_I_Tipo,b0fde7d3-7116-48e1-b6d6-8545797a7d98,1
XXX_TBS_I_Progressivo,0498ef09-ffa2-402a-bc4d-20ee83775734,0
XXX_TBS_I_ProgressivoTipo,f07d69bd-e4e7-4e2a-ab42-f656382b0ccd,0
XXX_TBS_I_CodiceEnac,78811dce-3f39-4568-ac21-4668472bb993,1
XXX_TBS_I_DrawnBy01,b362b3eb-dbcb-44cc-8540-9ea88602886e,1
XXX_TBS_I_DrawnBy03,3383aace-33b1-46fb-bc25-2a9a805655f5,1
XXX_TBS_I_CheckedBy01,392e3eca-bff0-4de4-b9c5-92e7e926eecc,1
XXX_TBS_I_CheckedBy02,531c16e1-6c80-450c-8ff2-59e48e0fd2f7,1
XXX_TBS_I_CheckedBy03,30bdb28e-2d3c-4b09-97f8-ca3df2825cb3,1
XXX_TBS_I_ApprovedBy01,1cc0c69c-0bdb-4178-b6c2-7d8b0a24ba60,1
XXX_TBS_I_ApprovedBy02,6dd614ac-8bac-4f44-b267-6eb9049660ef,1
XXX_TBS_I_ApprovedBy03,0e70b637-9f49-44b9-bdb9-14040b040652,1
XXX_TBS_I_DrawnBy02,d3b9e4f6-031f-4cab-ac1d-296e883769c2,1
IfcObjectType,94ff86d3-bebc-4dac-a5c9-67e80de0f83f,0
IfcPredefinedType,Parametro non condiviso,0
SiteName,c80accfb-a252-477e-8ac5-77e8e9348e31,0
SiteDescription,f62eaae5-1da7-47c4-a54d-854b3a8ed245,0
IfcDescription,a5d57ace-5d40-4f93-93ae-090e47997cfa,0
