Tipo Verifica,Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Vincoli Livelli,Muri,FA_SFC_MON_All_60x325_MoloP1NordCopertina95,723499,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC1_+12.83m,-1.72,0.56999999999999995,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x325_MoloP1SudCopertina95,730389,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC1_+12.83m,-1.72,0.56999999999999995,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x325_MoloP1Ovest,736052,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC1_+12.83m,-1.72,0.56999999999999995,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x250_MoloPT,753780,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.20000000000000001,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x250_MoloPT,755271,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.20000000000000001,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x250_MoloPT,756704,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.20000000000000001,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x250_AvancorpoP1,759412,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC2_+15.73m,-1.72,0.46999999999999997,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_PannelloSandwichGrecato,762662,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC2_+15.73m,-1.6000000000000001,0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_PannelloSandwichGrecato,763002,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC2_+15.73m,-1.6000000000000001,0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x250_AvancorpoP1,763773,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC2_+15.73m,-1.72,0.46999999999999997,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_PannelloSandwichGrecato,764932,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC2_+15.73m,-1.6000000000000001,0.46999999999999997,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_PannelloSandwichGrecato,766097,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC2_+15.73m,-1.6000000000000001,0.46999999999999997,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_SFC_MON_All_60x250_AvancorpoP1,766340,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_PC2_+15.73m,-1.72,0.46999999999999997,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_PannelloSandwichGrecato,768975,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-1.6000000000000001,1.3,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_PannelloSandwichGrecato,769155,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-1.6000000000000001,1.3,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_PannelloSandwichGrecato,769387,AR_LIV_PE_P01_+5.20m,Fino al livello: AR_LIV_PE_P02_+10.40m,-1.6000000000000001,0.51000000000000001,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_BloccoLeca,769743,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.20000000000000001,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_BloccoLeca EI60,769917,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.20000000000000001,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_BloccoLeca,770320,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.20000000000000001,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_BloccoLeca,770669,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.20000000000000001,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_200mm_BloccoLeca,771122,AR_LIV_PE_P00_+0.00m,Fino al livello: AR_LIV_PE_P01_+5.20m,-0.13,-0.25,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_350mm_DoppioPannelloSandwichOrizzontale,775248,AR_LIV_PE_PC2_+15.73m,Fino al livello: AR_LIV_PE_PC3_+20.17m,0.0,0.34999999999999998,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_350mm_DoppioPannelloSandwichOrizzontale,775439,AR_LIV_PE_PC2_+15.73m,Fino al livello: AR_LIV_PE_PC3_+20.17m,0.0,0.34999999999999998,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,FA_MUR_TAM_350mm_DoppioPannelloSandwichOrizzontale,775626,AR_LIV_PE_PC2_+15.73m,Fino al livello: AR_LIV_PE_PC3_+20.17m,0.0,0.34999999999999998,Correttamente vincolato tra livelli.,1
