Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
Controsoffitto composto - FA_TET_CSO_65mm_LamieraStirata,IfcCovering,16M560uwf5FwtWJT6KU7qc,16M560uwf5FwtWJT6KU7qc,859843,859843,Corretto,1
Controsoffitto composto - FA_TET_CSO_65mm_LamieraStirata,IfcCovering,2TVStY8JX40edZum6XhrQC,2TVStY8JX40edZum6XhrQC,1483986,1483986,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOsvd8,3XKePYvc1AAuoOxJVOsvd8,1503515,1503515,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOsvep,3XKePYvc1AAuoOxJVOsvep,1503968,1503968,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOsvoJ,3XKePYvc1AAuoOxJVOsvoJ,1504320,1504320,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOsvqG,3XKePYvc1AAuoOxJVOsvqG,1504707,1504707,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOsvxF,3XKePYvc1AAuoOxJVOsvxF,1504796,1504796,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOscJs,3XKePYvc1AAuoOxJVOscJs,1510437,1510437,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOscJk,3XKePYvc1AAuoOxJVOscJk,1510461,1510461,Corretto,1
Controsoffitto composto - FA_TET_CPA_100mm_IsolamentoIntradossoSolaio,IfcCovering,3XKePYvc1AAuoOxJVOscHB,3XKePYvc1AAuoOxJVOscHB,1510552,1510552,Corretto,1
