GUID,ID,Tipo,Livello,Famiglia,Stato
46585180-e3aa-453f-ade0-4dd1947563e5-000d1ec3,859843,Controsoffitto composto: CI.GX-65mm-Generic,AR_LIV_PE_P00_+0.00m,Tipi di controsoffitto,1
f3b72c29-733a-4e9e-bb99-bc566288ec70-000e307b,929915,FA_PAF_CHI_All_ColMoloInferiore: FA_PAF_CHI_All_ColMoloInferiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloInferiore,1
f3b72c29-733a-4e9e-bb99-bc566288ec70-000e30af,929967,FA_PAF_CHI_All_ColMoloInferiore: FA_PAF_CHI_All_ColMoloInferiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloInferiore,1
4800d2ad-271a-4847-a2bf-bf0e26f7d323-000f5917,1005847,FA_PAF_CHI_All_ColMoloInferiore: FA_PAF_CHI_All_ColMoloInferiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloInferiore,1
bf32ab96-9844-4830-86be-903882254082-000f85af,1017263,FA_PAF_CHI_All_ColMoloInferiore: FA_PAF_CHI_All_ColMoloInferiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloInferiore,1
bf32ab96-9844-4830-86be-903882254082-000f85d6,1017302,FA_PAF_CHI_All_ColMoloInferiore: FA_PAF_CHI_All_ColMoloInferiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloInferiore,1
f3b72c29-733a-4e9e-bb99-bc566288ec70-000e307a,929914,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
f3b72c29-733a-4e9e-bb99-bc566288ec70-000e307d,929917,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
8b109dfe-4223-4799-ab42-012ee5f45a4d-000e3a16,932374,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
8b109dfe-4223-4799-ab42-012ee5f45a4d-000e3a18,932376,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
4800d2ad-271a-4847-a2bf-bf0e26f7d323-000f5916,1005846,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
4800d2ad-271a-4847-a2bf-bf0e26f7d323-000f591b,1005851,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
bf32ab96-9844-4830-86be-903882254082-000f85ae,1017262,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
bf32ab96-9844-4830-86be-903882254082-000f85b1,1017265,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
bf32ab96-9844-4830-86be-903882254082-000f85d5,1017301,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
bf32ab96-9844-4830-86be-903882254082-000f85d8,1017304,FA_PAF_CHI_All_ColMoloLaterale: FA_PAF_CHI_All_ColMoloLaterale,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloLaterale,1
1c2a8359-0e82-495a-bce7-a9214d32bba1-000b1bbd,727997,FA_PAF_CHI_All_ColMoloSuperiore: FA_PAF_CHI_All_ColMoloSuperiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloSuperiore,1
7cfdf551-de67-49d3-8bfc-e4acb5519e2f-000b26a2,730786,FA_PAF_CHI_All_ColMoloSuperiore: FA_PAF_CHI_All_ColMoloSuperiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloSuperiore,1
7cfdf551-de67-49d3-8bfc-e4acb5519e2f-000b26c9,730825,FA_PAF_CHI_All_ColMoloSuperiore: FA_PAF_CHI_All_ColMoloSuperiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloSuperiore,1
c214cbb7-3a41-4dcb-a6e1-94ea82925683-000e6ca2,945314,FA_PAF_CHI_All_ColMoloSuperiore: FA_PAF_CHI_All_ColMoloSuperiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloSuperiore,1
4800d2ad-271a-4847-a2bf-bf0e26f7d323-000f5a0e,1006094,FA_PAF_CHI_All_ColMoloSuperiore: FA_PAF_CHI_All_ColMoloSuperiore,AR_LIV_PE_P01_+5.20m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_ColMoloSuperiore,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8075,753781,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8077,753783,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b807d,753789,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8080,753792,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8083,753795,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8086,753798,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8089,753801,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b808c,753804,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b808f,753807,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
