Nome Elemento,Ifc Class,GUID,ID Elemento,Presenza Nativo,Presenza IFC,Stato
Pilastro in calcestruzzo - Rettangolare - 30x30 cm,IfcColumn,1llCpaqgzErRKEJVy_gUhA,137390,✅,❌,0
Pilastro in calcestruzzo - Rettangolare - 30x45 cm,IfcColumn,08sxCpWEb65uke0xgmBoQI,137715,❌,✅,0
Pavimento - Latero Cementizio - 30 cm,IfcSlab,1llCpaqgzErRKEJVy_gUM2,137190,✅,✅,1
Muro di base - Generico - 30 cm,IfcWallStandardCase,1llCpaqgzErRKEJVy_gUMe,137164,✅,✅,1
Generico - 30 cm,IfcWall,1llCpaqgzErRKEJVy_gUMe,137120,❌,✅,0
Generico - 30 cm,IfcWall,1llCpaqgzErRKEJVy_gUMe,137164,✅,❌,0
Latero Cementizio - 30 cm,IfcSlab,1llCpaqgzErRKEJVy_gUMe,137190,✅,✅,1
Pilastro in calcestruzzo - Rettangolare-30x30 cm,IfcColumn,1llCpaqgzErRKEJVy_gUMe,137390,✅,❌,0
Default,IfcDuctSegment,1llCpaqgzErRKEJVy_gUMe,137584,❌,✅,0
Generico - 30 cm,IfcWall,1llCpaqgzErRKEJVy_gUMe,137933,❌,✅,0
