Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Verifica Nome Famiglia,Verifica Nome Tipo,Stato
Muri,Muro di base,AR_MUR_POR_300,137110,Nomenclatura corretta,,1
Muri,Muro di base,AR_MUR_POR_300,137136,Nomenclatura corretta,,1
Muri,Muro di base,AR_MUR_POR_300,137180,Nomenclatura corretta,,1
Pavimenti,Pavimento,AR_PAV_GAL_300_Pavimento,137210,Nomenclatura corretta,,1
Pilastri strutturali,AR_COL_PIL_All,AR_COL_PIL_All_500x500_Caratteristica,137358,Nomenclatura corretta,Nomenclatura corretta,1
Pilastri strutturali,AR_COL_PIL_All,AR_COL_PIL_All_500x500_Caratteristica,137464,Nomenclatura corretta,Nomenclatura corretta,1
Porte,AR_POR_BAT_All_2A_Descrizione,AR_POR_BAT_All_2A_Descrizione,137638,Nomenclatura corretta,Dimensione non presente,0
Finestre,AR_FIN_ROT_All_1A,AR_FIN_ROT_All_1A,137683,Nomenclatura corretta,Dimensione non presente,0
Arredi,AR_ARR_SED_Descrizione,AR_ARR_SED_Descrizione,137744,Nomenclatura corretta,Dimensione non presente,0
Condotto,Condotto ovale,IM_CND_OVA_Acc,137852,Nomenclatura corretta,,1
Sistema di condotti,Sistema di condotti,Aria di mandata,137853,Nome famiglia troppo corto,,0
Condotto,Condotto ovale,IM_CND_OVA_Acc,137868,Nomenclatura corretta,,1
Sistema di condotti,Sistema di condotti,Aria di mandata,137869,Nome famiglia troppo corto,,0
Tubazioni,Tubazione,PI_TUB_All_Descrizione,137889,Nomenclatura corretta,,1
Sistema di tubazioni,Sistema di tubazioni,Mandata sistema idronico,137891,Nome famiglia troppo corto,,0
Passerelle,Passerella con raccordi,IE_PAS_Acc,137910,Nomenclatura corretta,,1
Scale,Scala gettata in opera,AR_SCA_ASS_Acc_100,137971,Nomenclatura corretta,,1
Ringhiere,Ringhiera,AR_RIN_RAL_Met_300,138071,Nomenclatura corretta,,1
Ringhiere,Ringhiera,AR_RIN_RAL_Met_300,138075,Nomenclatura corretta,,1
Telaio strutturale,AR_TRA_CLS_All,HE200A,138343,Nomenclatura corretta,Nome famiglia non presente nel tipo,0
Tetti,Vetrata inclinata,AR_TEV_TVP_All_1200X2500,138463,Nomenclatura corretta,,1
Pannelli di facciata continua,Pannello sistema,Vetrato,138491,Nome famiglia troppo corto,,0
Tetti,Tetto di base,AR_TET_PIA_500_Descrizione,138501,Nomenclatura corretta,,1
Scale,Scala gettata in opera,AR_SCA_ASS_Acc_100,138753,Nomenclatura corretta,,1
Pianerottoli,Pianerottolo monolitico,Spessore 30 cm,138899,Nome famiglia troppo corto,,0
Ringhiere,Ringhiera,AR_RIN_RAL_Met_300,138916,Nomenclatura corretta,,1
Ringhiere,Ringhiera,AR_RIN_RAL_Met_300,138920,Nomenclatura corretta,,1
Tubi protettivi,Tubo protettivo senza raccordi,IM_TRS_TRS_Acc,139051,Nomenclatura corretta,,1
Pavimenti,Pavimento,AR_PAV_GAL_300_Pavimento,139192,Nomenclatura corretta,,1
Pavimenti,Pavimento,AR_PAV_GAL_300_Pavimento,139222,Nomenclatura corretta,,1
Attrezzatura meccanica,IM_DIS_AME_VID,IM_DIS_AME_VID,140178,Codice sottoclasse o subdisciplina non conforme,,0
Attrezzatura meccanica,IM_DIS_AME_VID,IM_DIS_AME_VID,140225,Codice sottoclasse o subdisciplina non conforme,,0
