Raggruppamento,Descrizione
pGI e Allegati,Verifica tramite note e commenti del pGI e suoi allegati.
Elaborati Progettuali,Verifica della congruenza dei modelli informativi rispetto agli elaborati 2D costituenti il pacchetto progettuale.
Clash Detection,Verifica delle interferenze geometriche dei modelli (LC1 e LC2).
Point Cloud,
ACDat,Controlli relativi all'ambiente ACDat.
Collegamenti Modello Nativo,Controlli relativi a collegamenti quali modelli NATIVO; elaborati DWG; elaborati PDF; ecc.
Georeferenziazione e Orientamento,Controlli relativi al sistema di coordinate adottato e al coordinamento e posizionamento geografico dei modelli informativi tra loro.
Griglie e Livelli,Controlli relativi al numero posizionamento e utilizzo di griglie e livelli.
Integrità e Pulizia File,Controlli relativi all'integrità e pulizia del file consegnato.
Verifica Informativa,Controlli relativi al contenuto informativo strutturato.
Verifica LOIN Geometrico,Verifica a campione dell'adeguatezza del LOIN geometrico nei modelli informativi
Naming Convention,Controlli relativi alla nomenclatura di file oggetti elementi e parametri.
Regole Modellazione,Controlli relativi alle modalità di modellazione.
Specifiche Impianti,Controlli relativi alle modalità di modellazione MEP.
Unità di misura,Controlli relativi all'impostazione dell'unità di misura.
