Raggruppamento,UR01,AR01,AR02,FA01,ST01,ST02,ST03,ST04,IE01,IM01,Percentuale,Stato
pGI e Allegati,-,65 %,65 %,65 %,65 %,65 %,65 %,65 %,65 %,65 %,65 %,0
Elaborati Progettuali,-,-,-,-,-,-,-,-,-,-,-,2
Clash Detection,-,30 %,30 %,30 %,10 %,10 %,10 %,10 %,0 %,0 %,14.44 %,0
Point Cloud,-,-,-,-,-,-,-,-,-,-,-,2
ACDat,23.75 %,51.88 %,69.17 %,26.88 %,51.88 %,51.88 %,51.88 %,51.88 %,48.75 %,23.75 %,45.17 %,0
Collegamenti Modello Nativo,-,-,-,-,-,-,-,-,-,-,-,2
Georeferenziazione e Orientamento,-,100 %,100 %,-,100 %,100 %,100 %,100 %,-,-,100 %,1
Griglie e Livelli,88.71 %,43.22 %,61.75 %,92.6 %,43.22 %,62.64 %,43.45 %,43.45 %,0 %,50 %,52.9 %,0
Integrità e Pulizia File,69.4 %,41.01 %,35.06 %,79.28 %,73.64 %,73.4 %,73.64 %,73.29 %,41.08 %,53.13 %,61.29 %,0
Verifica Informativa,100 %,98.03 %,96.43 %,80 %,99.79 %,98.7 %,99.67 %,98.86 %,73.68 %,73.93 %,91.91 %,1
Verifica LOIN Geometrico,-,-,-,-,-,-,-,-,-,-,-,2
Naming Convention,0 %,60 %,59.76 %,66.49 %,33.33 %,60.09 %,0 %,29.17 %,0 %,0 %,30.88 %,0
Regole Modellazione,100 %,79.75 %,87.17 %,100 %,77.17 %,46.22 %,80.04 %,59.77 %,100 %,0 %,73.01 %,0
Specifiche Impianti,-,-,-,-,-,-,-,-,0 %,0 %,0 %,0
Unità di misura,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,1
