Raggruppamento,UR01,AR01,AR02,AR03,AR04,FA01,IE01,IM01,IM02,ST01,ST02,ST03,ST04,%,Stato
pGI e Allegati,-,100%,100%,100%,100%,100%,80%,80%,80%,100%,100%,100%,100%,95%,1
Elaborati Progettuali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Clash Detection,-,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,0
ACDat,66.67%,66.67%,66.67%,66.67%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,1
Collegamenti Modello Nativo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Georeferenziazione e Orientamento,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Griglie e Livelli,100%,100%,100%,97.46%,100%,100%,92.86%,92.86%,85.72%,100%,100%,100%,100%,98%,1
Integrità e Pulizia File,97.33%,88.8%,78.84%,84.79%,73.47%,78.9%,70.62%,71.03%,59.65%,92.35%,91.61%,93.06%,78.38%,81%,0
Verifica Informativa,-,66.53%,65.67%,63.66%,64.95%,94.46%,73.03%,85.37%,79.15%,94.44%,91.03%,93.99%,54.64%,77%,0
Verifica LOIN Geometrico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Naming Convention,-,-,74.74%,62.96%,79.87%,99.75%,-,16.47%,49.34%,100%,100%,100%,81.18%,76%,0
Regole Modellazione,-,87.99%,90.27%,94.84%,96.97%,94.83%,81.16%,77.2%,96.34%,82.16%,95.82%,90.48%,99.68%,91%,1
Specifiche Impianti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Unità di misura,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
