Raggruppamento,UR01,AR01,AR02,AR03,AR04,AR05,FA01,IE01,IM01,IM02,ST01,ST02,ST03,ST04,%,Stato
pGI e Allegati,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Elaborati Progettuali,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Clash Detection,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0
ACDat,100%,66.67%,66.67%,66.67%,100%,100%,100%,66.67%,100%,100%,66.67%,66.67%,66.67%,66.67%,81%,0
Collegamenti Modello Nativo,-,100%,100%,100%,100%,-,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Georeferenziazione e Orientamento,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Griglie e Livelli,100%,100%,100%,97.46%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
Integrità e Pulizia File,79.89%,93.59%,94.49%,94.61%,94.29%,81.8%,80.38%,79.84%,72.34%,86.18%,92.46%,91.76%,90.99%,92.06%,87%,0
Verifica Informativa,-,59.71%,65.41%,65.27%,64.97%,66.62%,66.67%,48.51%,56.63%,71.15%,57.01%,65.72%,66.35%,32.8%,61%,0
Verifica LOIN Geometrico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Naming Convention,-,100%,99.76%,99.42%,100%,-,100%,47.76%,36.93%,49.6%,100%,91.76%,-,-,83%,0
Regole Modellazione,-,96.3%,92.5%,95.25%,98.2%,99.79%,99.32%,89.1%,43.17%,91.95%,96.82%,100%,93.68%,99.57%,92%,1
Specifiche Impianti,-,-,-,-,-,-,-,50%,100%,0%,-,-,-,-,50%,0
Unità di misura,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1
