Nome Materiale,ID Elemento,Verifica,Stato
Default,18435,Codice non trovato nel database,0
Default Floor,18436,Codice non trovato nel database,0
Default Roof,18437,Codice non trovato nel database,0
Default Wall,18438,Codice non trovato nel database,0
Glass,18439,Codice non trovato nel database,0
Earth,18935,Codice non trovato nel database,0
"Concrete, Cast-in-Place gray",18939,Codice non trovato nel database,0
"Brick, Common",18941,Codice non trovato nel database,0
Concrete Masonry Units,18942,Codice non trovato nel database,0
Metal Stud Layer,18946,Codice non trovato nel database,0
Aluminum,18953,Codice non trovato nel database,0
"Plywood, Sheathing",18957,Codice non trovato nel database,0
"Softwood, Lumber",18960,Codice non trovato nel database,0
Air,18974,Codice non trovato nel database,0
Air Infiltration Barrier,18976,Codice non trovato nel database,0
Vapor Retarder,18982,Codice non trovato nel database,0
"Glass, Clear Glazing",18984,Codice non trovato nel database,0
Gypsum Wall Board,18986,Codice non trovato nel database,0
Phase - Demo,22806,Codice non trovato nel database,0
Phase - Exist,22807,Codice non trovato nel database,0
Phase - Temporary,22808,Codice non trovato nel database,0
Carpet (1),24145,Codice non trovato nel database,0
Vinyl Composition Tile,24184,Codice non trovato nel database,0
"Roofing, EPDM Membrane",24244,Codice non trovato nel database,0
Asphalt Shingle,24245,Codice non trovato nel database,0
Acoustic Ceiling Tile 24 x 48,27489,Codice non trovato nel database,0
Phase - New,29224,Codice non trovato nel database,0
"Tile, Porcelain, 4in",56778,Codice non trovato nel database,0
Poche,78544,Codice non trovato nel database,0
Default Floor Area Face,79117,Codice non trovato nel database,0
Default Light Source,379617,Codice non trovato nel database,0
Default Form,470193,Codice non trovato nel database,0
Default Mass Floor,517141,Codice non trovato nel database,0
Default Mass Opening,517144,Codice non trovato nel database,0
Default Mass Shade,517145,Codice non trovato nel database,0
"Steel, Carbon",552017,Codice non trovato nel database,0
"Iron, Ductile",552019,Codice non trovato nel database,0
Stainless Steel,552020,Codice non trovato nel database,0
Polyvinyl Chloride - Rigid,552565,Codice non trovato nel database,0
Copper,552569,Codice non trovato nel database,0
System-Zones,837761,Codice non trovato nel database,0
Analytical Spaces,838270,Codice non trovato nel database,0
Analytical Surface - Exterior Walls,838272,Codice non trovato nel database,0
Analytical Surface - Roofs,838274,Codice non trovato nel database,0
Analytical Surface - Slabs on Grade,838276,Codice non trovato nel database,0
Analytical Surface - Interior Walls,838278,Codice non trovato nel database,0
Analytical Surface - Interior Floors,838280,Codice non trovato nel database,0
Analytical Surface - Ceilings,838282,Codice non trovato nel database,0
Analytical Surface - Air Surfaces,838284,Codice non trovato nel database,0
Analytical Surface - Underground Walls,838286,Codice non trovato nel database,0
Analytical Surface - Operable Windows,838288,Codice non trovato nel database,0
Analytical Surface - Operable Skylights,838290,Codice non trovato nel database,0
Analytical Surface - Sliding Doors,838292,Codice non trovato nel database,0
Analytical Surface - Air Openings,838294,Codice non trovato nel database,0
Analytical Surface - Shades,838296,Codice non trovato nel database,0
Fase - Demolizione,840798,Codice non trovato nel database,0
Fase - Esistente,840799,Codice non trovato nel database,0
Fase - Temporaneo,840800,Codice non trovato nel database,0
Muro di default,850138,Codice non trovato nel database,0
Tetto di default,850139,Codice non trovato nel database,0
Vetro,850140,Codice non trovato nel database,0
"Mattone, Comune",850409,Codice non trovato nel database,0
Muratura in blocchi di calcestruzzo,850410,Codice non trovato nel database,0
Rivestimento pilastro in metallo,850411,Codice non trovato nel database,0
"Compensato, rivestimento",850412,Codice non trovato nel database,0
Aria,850413,Codice non trovato nel database,0
Barriera alle infiltrazioni d'aria,850414,Codice non trovato nel database,0
Resistente al vapore,850415,Codice non trovato nel database,0
Pannello in gesso,850416,Codice non trovato nel database,0
Terra,850442,Codice non trovato nel database,0
"Calcestruzzo, gettato in opera",850443,Codice non trovato nel database,0
Pavimento di default,850445,Codice non trovato nel database,0
"Copertura, membrana EPDM",850447,Codice non trovato nel database,0
Piastrelle di ceramica,850448,Codice non trovato nel database,0
"Bitume, Asfalto",850449,Codice non trovato nel database,0
Pannello di controsoffittatura 600 x 600,850509,Codice non trovato nel database,0
Fase - Nuova,850543,Codice non trovato nel database,0
Porta - Maniglia,850660,Codice non trovato nel database,0
Superficie del pavimento di default,850876,Codice non trovato nel database,0
Sorgente d'illuminazione di default,851495,Codice non trovato nel database,0
Forma di default,851753,Codice non trovato nel database,0
