Categoria,Famiglia,Id Elemento,Stato
Dispositivi di sicurezza,E_AI_Centrale,932844,1
Dispositivi di sicurezza,E_AI_Contatto magnetico,932845,1
Dispositivi di sicurezza,E_CA_Centrale,932846,1
Dispositivi di sicurezza,E_CA_Badge,932847,1
Dispositivi chiamata infermiera,E_CH_Pulsante,932848,1
Dispositivi chiamata infermiera,E_CH_Pulsante,932849,1
Dispositivi di comunicazione,E_CIT_Videocitofono interno,932851,1
Dispositivi di comunicazione,E_CIT_Videocitofono esterno,932852,1
Raccordi passerella,E_FM_Setto REI,932854,1
Apparecchi elettrici,E_DP_Pozzetto con Picchetto di Terra,932858,1
Dispositivi di comunicazione,E_OR_Orologio Digitale Monofacciale - Bifacciale,932862,1
Apparecchi elettrici,E_OR_Orologio Monofacciale - Bifacciale,932863,1
Attrezzatura elettrica,E_DP_Quadro elettrico,932865,1
Dispositivi allarme incendio,E_RI_Rivelatori,932866,1
Attrezzatura elettrica,E_TD_Rack Dati,932868,1
Apparecchi elettrici,E_TV_Prese incasso,932870,1
Dispositivi di sicurezza,E_TVCC_Postazione PC,932871,1
Dispositivi di sicurezza,E_TVCC_Telecamera Dome,932873,1
Dispositivi di comunicazione,SGS_EC_Erogatore ticket numeri progressivi,932874,1
Dispositivi di comunicazione,SGS_EC_Display eliminacode sportello,932875,1
Apparecchi elettrici,E_Asta di captazione,932876,1
Apparecchi elettrici,E_Punto di giunzione a Croce,932877,1
Attrezzatura elettrica,E_DS_Rack,932878,1
Dispositivi di sicurezza,E_AI_Centrale,932884,1
Dispositivi di sicurezza,E_CA_Centrale,932885,1
Dispositivi chiamata infermiera,E_CH_Pulsante,932886,1
Dispositivi di comunicazione,E_CIT_Videocitofono esterno,932887,1
Dispositivi di comunicazione,E_DS_Diffusore_da incasso,932888,1
Apparecchi elettrici,E_FM_Prese ad incasso,932890,1
Apparecchi elettrici,E_FM_Prese ad incasso,932891,1
Apparecchi elettrici,E_FM_Prese ad incasso,932892,1
Apparecchi elettrici,E_DP_Pozzetto con Picchetto di Terra,932893,1
Dispositivi chiamata infermiera,E_CI_Stazione interfonica,932894,1
Dispositivi di illuminazione,E_LU_Comandi ad incasso,932896,1
Apparecchi per illuminazione,E_LU_600x600 Darklight,932897,1
Apparecchi per illuminazione,E_LU_Lampada di emergenza,932899,1
Apparecchi elettrici,E_OR_Orologio Monofacciale - Bifacciale,932901,1
Attrezzatura elettrica,E_DP_Quadro elettrico,932903,1
Dispositivi allarme incendio,E_RI_Rivelatori,932904,1
Dispositivi dati,E_TD_Prese incasso,932906,1
Attrezzatura elettrica,E_TD_Rack Dati,932907,1
Apparecchi elettrici,E_TV_Prese incasso,932908,1
Dispositivi di sicurezza,E_TVCC_Telecamera Dome,932909,1
Dispositivi di comunicazione,SGS_EC_Display eliminacode sportello,932911,1
Apparecchi elettrici,E_Asta di captazione,932912,1
Dispositivi chiamata infermiera,E_CI_Modulo di chiamata-annullo-tirante,932913,1
Raccordi passerella,E_FM_Setto REI,932915,1
Attrezzatura elettrica,E_DS_Rack,932919,1
Apparecchi elettrici,E_FM_Centralino da parete_Sgancio VVF,932920,1
Apparecchi elettrici,E_FM_Centralino da parete_Sgancio VVF,932922,1
Apparecchi elettrici,E_FM_Prese ad incasso,933369,1
Apparecchi elettrici,E_FM_Prese ad incasso,933370,1
Apparecchi elettrici,E_FM_Prese ad incasso,933371,1
Apparecchi elettrici,E_FV_Sistema di accumulo da parete,933373,1
