Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
1,SGS_TF_Perforated_Bend_Vertical Outside:Standard,,IfcCableCarrierFitting,933470,Da compilare IDE_GEN_I_Wbs1,0
2,,,IfcDistributionPort,,Da compilare IDE_GEN_I_Wbs1,0
1,Cunicolo 1:Cunicolo 1,4788477,3,IfcBuildingElementProxy,Corretta,1
1,Cunicolo 2:Cunicolo 2,4788990,3,IfcBuildingElementProxy,Corretta,1
1,Cunicolo 3:Cunicolo 3,4917930,3,IfcBuildingElementProxy,Corretta,1
1,E_CA_Pulsante Apriporta:E_CA_Pulsante Apriporta,4498883,3,IfcActuator,Corretta,1
1,E_CA_Pulsante Apriporta:E_CA_Pulsante Apriporta,4498911,3,IfcActuator,Corretta,1
1,E_CA_Pulsante Apriporta:E_CA_Pulsante Apriporta,4498949,3,IfcActuator,Corretta,1
1,E_CA_Pulsante Apriporta:E_CA_Pulsante Apriporta,4498969,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499006,1,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499024,1,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499046,1,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499068,1,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499083,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499086,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499096,1,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499103,1,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499110,1,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499117,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499120,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499123,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499129,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499132,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499135,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499141,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499144,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499147,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499150,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499159,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499175,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499178,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499181,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4499184,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4508545,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4508570,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4514505,3,IfcActuator,Corretta,1
1,E_CA_Serratura elettrica:E_CA_Serratura elettrica,4733234,1,IfcActuator,Corretta,1
