Nome Materiale,ID Elemento,Verifica,Stato
<Per categoria>,548611,Numero campi errato,0
<Per categoria>,548612,Numero campi errato,0
<Per categoria>,548613,Numero campi errato,0
<Per categoria>,851971,Numero campi errato,0
<Per categoria>,851972,Numero campi errato,0
<Per categoria>,851973,Numero campi errato,0
<Per categoria>,854281,Numero campi errato,0
<Per categoria>,854409,Numero campi errato,0
<Per categoria>,854410,Numero campi errato,0
<Per categoria>,854411,Numero campi errato,0
<Per categoria>,854412,Numero campi errato,0
<Per categoria>,1965350,Numero campi errato,0
<Per categoria>,548615,Numero campi errato,0
<Per categoria>,548616,Numero campi errato,0
<Per categoria>,548617,Numero campi errato,0
<Per categoria>,548618,Numero campi errato,0
<Per categoria>,548619,Numero campi errato,0
<Per categoria>,548620,Numero campi errato,0
<Per categoria>,548621,Numero campi errato,0
<Per categoria>,548622,Numero campi errato,0
<Per categoria>,548623,Numero campi errato,0
<Per categoria>,549790,Numero campi errato,0
<Per categoria>,549900,Numero campi errato,0
<Per categoria>,851974,Numero campi errato,0
<Per categoria>,851975,Numero campi errato,0
<Per categoria>,851976,Numero campi errato,0
<Per categoria>,851977,Numero campi errato,0
<Per categoria>,851978,Numero campi errato,0
<Per categoria>,851979,Numero campi errato,0
<Per categoria>,851980,Numero campi errato,0
<Per categoria>,851981,Numero campi errato,0
<Per categoria>,851982,Numero campi errato,0
<Per categoria>,851990,Numero campi errato,0
<Per categoria>,852081,Numero campi errato,0
<Per categoria>,854293,Numero campi errato,0
<Per categoria>,854306,Numero campi errato,0
<Per categoria>,854309,Numero campi errato,0
