Categoria,Nome Elemento,ID Elemento,Verifica,Offset Rilevato,Stato
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,933470,Oggetto conforme.,0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4363815,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4363904,Oggetto conforme.,-0.0,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4369385,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4369409,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4369433,Oggetto conforme.,2.75,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4374153,Oggetto conforme.,0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4374317,Oggetto conforme.,-0.0,1
Raccordi passerella,Channel Horizontal Bend,4388820,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4388871,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4392578,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Tee,4392607,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4392750,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4392751,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4392876,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4392877,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4399427,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4399471,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4399478,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4399489,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Tee,4399512,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4399545,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4399552,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,Channel Horizontal Bend,4399559,Oggetto conforme.,3.0499999999999998,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,4401091,Oggetto conforme.,0.0,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,4404277,Oggetto conforme.,0.0,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,4404285,Oggetto conforme.,0.0,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,4404640,Oggetto conforme.,0.0,1
Attrezzatura elettrica,Gruppo Elettrogeno,4404728,Oggetto conforme.,0.0,1
Attrezzatura elettrica,Gruppo Elettrogeno,4404758,Oggetto conforme.,0.0,1
Attrezzatura elettrica,Gruppo Elettrogeno,4404786,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4404916,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4404963,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4404990,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4405092,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,Gruppo Elettrogeno,4405205,Oggetto conforme.,0.0,1
Attrezzatura elettrica,SGS_Data_Center,4418374,Oggetto conforme.,0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4423536,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4423570,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4423871,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4424416,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4424440,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4424476,Oggetto conforme.,-0.0,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4428392,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4428416,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4428508,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431420,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431428,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431570,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431576,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431684,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431690,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431924,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431949,Oggetto conforme.,2.75,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,4431973,Oggetto conforme.,2.75,1
Apparecchi elettrici,EL_EE_EF_PowerFactorCorrection,4477065,Oggetto conforme.,0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4480937,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_DP_Quadro elettrico,4484710,Oggetto conforme.,-0.0,1
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,4491296,Oggetto conforme.,3.25,1
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,4491322,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,4494112,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,4494137,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,4494151,Oggetto conforme.,3.0499999999999998,1
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,4494259,Oggetto conforme.,3.25,1
Dispositivi di sicurezza,E_CA_Centrale,4497555,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Centrale,4497626,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498177,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498233,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498267,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498291,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498369,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498396,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498440,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498476,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498514,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498640,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498680,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Centrale,4498711,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498756,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498777,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498788,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498789,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498818,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Centrale,4498849,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498867,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Pulsante Apriporta,4498883,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498910,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Pulsante Apriporta,4498911,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498948,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Pulsante Apriporta,4498949,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4498968,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Pulsante Apriporta,4498969,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Centrale,4498989,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499006,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499024,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499046,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499068,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499083,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499086,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499096,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499103,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499110,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499117,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499120,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499123,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499129,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499132,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499135,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499141,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499144,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499147,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499150,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499159,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499175,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499178,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499181,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4499184,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4499201,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4499231,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4499247,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Badge,4499256,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4499335,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507028,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507055,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507077,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507313,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507316,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507495,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507498,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4507625,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,SGS_EE_Electrical Panel_RecessedWall,4507714,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4508545,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Badge,4508546,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4508570,Oggetto conforme.,0.0,1
Attrezzatura elettrica,SGS_EE_Electrical Panel_RecessedWall,4508661,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Badge,4508735,Oggetto conforme.,0.0,1
Attrezzatura elettrica,SGS_EE_Electrical Panel_RecessedWall,4508744,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Modulo gestione varco,4508967,Oggetto conforme.,0.0,1
Attrezzatura elettrica,SGS_EE_Electrical Panel_RecessedWall,4508973,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,SGS_EE_Electrical Panel_RecessedWall,4508989,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Modulo gestione varco,4509000,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Centrale,4509037,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,SGS_EE_Electrical Panel_RecessedWall,4509129,Oggetto conforme.,0.0,1
Attrezzatura elettrica,E_RI_Centrali riv Fumi - Gas,4509235,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_RI_Centrali riv Fumi - Gas,4509247,Oggetto conforme.,0.0,1
Attrezzatura elettrica,E_RI_Centrali riv Fumi - Gas,4509288,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_RI_Centrali riv Fumi - Gas,4509312,Oggetto conforme.,-0.0,1
Attrezzatura elettrica,E_RI_Centrali riv Fumi - Gas,4509331,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Alimentatore,4509937,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4509945,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4514505,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4514507,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4545791,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4546052,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559151,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559155,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559159,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559163,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559167,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559330,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559338,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559358,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559418,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559442,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559462,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559622,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559766,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559842,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4559984,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4560072,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4560079,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4560083,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4560098,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4565346,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4565353,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Pulsante Manuale,4565390,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Alimentatore,4565547,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Alimentatore,4581636,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4581637,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Alimentatore,4581668,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4581669,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Alimentatore,4581686,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4581692,Oggetto conforme.,0.01,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4594061,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Alimentatore,4595816,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4595817,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Alimentatore,4626410,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4626411,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4636271,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4640381,Offset Negativo.,-0.01,0
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4641439,Offset Negativo.,-0.01,0
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4646809,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4649437,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4656285,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4661363,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4662179,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4662386,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4662559,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4669173,Oggetto conforme.,1.5,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4669614,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4670659,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4672985,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4672986,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4673230,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4675492,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4694896,Oggetto conforme.,0.01,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4696184,Oggetto conforme.,0.01,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4696626,Oggetto conforme.,0.01,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4702104,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4702723,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4703740,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4703747,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4703761,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4712708,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4713942,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4714320,Oggetto conforme.,0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4718331,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4718332,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4718333,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4722675,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4722712,Oggetto conforme.,-0.0,1
Dispositivi allarme incendio,E_RI_Centralina aspirazione,4722773,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4733180,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4733234,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4733250,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4733252,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4752921,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4752922,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Badge,4752983,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Badge,4752984,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4752985,Oggetto conforme.,0.0,1
Dispositivi di sicurezza,E_CA_Badge,4753001,Oggetto conforme.,-0.0,1
Dispositivi di sicurezza,E_CA_Serratura elettrica,4753002,Oggetto conforme.,-0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789307,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789355,Oggetto conforme.,-0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789389,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789409,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789429,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789449,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789469,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789503,Oggetto conforme.,-0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789523,Oggetto conforme.,-0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4789557,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870521,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870541,Oggetto conforme.,-0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870561,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870571,Oggetto conforme.,-0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870598,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870618,Oggetto conforme.,-0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870628,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870648,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870658,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870668,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870678,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870699,Oggetto conforme.,0.0,1
Apparecchi elettrici,SGS_EF_Sockets_RecessedBox503,4870719,Oggetto conforme.,0.0,1
