Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
E_CA_Modulo gestione varco-E_CA_Modulo gestione varco,IfcUnitaryControlElement,Non trovato,3UFy6nP_z1qRlISlHwl85q,Non trovato,4508967,Non presente in IFC,0
E_CA_Modulo gestione varco-E_CA_Modulo gestione varco,IfcUnitaryControlElement,Non trovato,3UFy6nP_z1qRlISlHwl84R,Non trovato,4509000,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmDK,Non trovato,4789307,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmC4,Non trovato,4789355,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmFY,Non trovato,4789389,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmFE,Non trovato,4789409,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmFQ,Non trovato,4789429,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmEc,Non trovato,4789449,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmEo,Non trovato,4789469,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYmEG,Non trovato,4789503,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYm9y,Non trovato,4789523,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,3obVS9ncH4QRbX74XiYm9Q,Non trovato,4789557,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,0KU9ow39LCtRBr5atC6SeV,Non trovato,4870521,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,0KU9ow39LCtRBr5atC6Shh,Non trovato,4870541,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,0KU9ow39LCtRBr5atC6Sh7,Non trovato,4870561,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,0KU9ow39LCtRBr5atC6ShD,Non trovato,4870571,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbov,Non trovato,4870598,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbob,Non trovato,4870618,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwboR,Non trovato,4870628,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbo7,Non trovato,4870648,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbzz,Non trovato,4870658,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbzp,Non trovato,4870668,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbzf,Non trovato,4870678,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbzK,Non trovato,4870699,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2BECt7wa9B09X_YGPdwbz0,Non trovato,4870719,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvRT,Non trovato,4870849,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvRN,Non trovato,4870859,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvR3,Non trovato,4870879,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvRl,Non trovato,4870899,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvTU,Non trovato,4870978,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvTG,Non trovato,4870988,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvUS,Non trovato,4871040,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvUM,Non trovato,4871050,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvU8,Non trovato,4871060,Non presente in IFC,0
SGS_EF_Sockets_RecessedBox503-d_RecessedBox503_1 Unel,IfcOutlet,Non trovato,2tMPGcd0rDEBRJKFt4AvU2,Non trovato,4871070,Non presente in IFC,0
