Nome Locale,ID Elemento,Verifica,Stato
Circolazione,5101551,Locale non racchiuso,0
Circolazione,5101552,Locale non racchiuso,0
Circolazione,5101555,Locale non racchiuso,0
Circolazione,5101556,Locale non racchiuso,0
Circolazione,5101559,Locale non racchiuso,0
Circolazione,5101560,Locale non racchiuso,0
L.T.,5101563,Locale non racchiuso,0
L.T.,5101564,Locale non racchiuso,0
Circolazione,5101565,Locale non racchiuso,0
L.T.-1,5101567,Locale non racchiuso,0
L.T.-1,5101568,Locale non racchiuso,0
Circolazione,5101569,Locale non racchiuso,0
Area a disp.-1,5101726,Locale non racchiuso,0
L.T.-1,5101730,Locale non racchiuso,0
WC dis,5101754,Locale non racchiuso,0
Circolazione-2,5101766,Locale non racchiuso,0
L.T.,5102219,Locale non racchiuso,0
Circolazione,5102221,Locale non racchiuso,0
L.T.,5102222,Locale non racchiuso,0
Circolazione,5102224,Locale non racchiuso,0
Circolazione-3,5102226,Locale non racchiuso,0
Circolazione,5102233,Locale non racchiuso,0
Circolazione,5102234,Locale non racchiuso,0
Circolazione-2,5102238,Locale non racchiuso,0
Circolazione,5102251,Locale non racchiuso,0
Circolazione,5102252,Locale non racchiuso,0
Circolazione-3,5102516,Locale non racchiuso,0
Servizi al passeggero-1,5102623,Locale non racchiuso,0
Servizi al passeggero-3,5102662,Locale non racchiuso,0
Servizi al passeggero-4,5102663,Locale non racchiuso,0
