Tipo Verifica,Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Vincoli Livelli,Passerelle,4388742,4388742,AR_LIV_PE_P00_+0.00m,-,3.0499999999999998,3.0499999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4388810,4388810,AR_LIV_PE_P00_+0.00m,-,3.0499999999999998,3.0499999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4388991,4388991,AR_LIV_PE_P00_+0.00m,-,3.0499999999999998,3.0499999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4388998,4388998,AR_LIV_PE_P00_+0.00m,-,3.0499999999999998,3.0499999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4389010,4389010,AR_LIV_PE_P00_+0.00m,-,3.0499999999999998,3.0499999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4389016,4389016,AR_LIV_PE_P00_+0.00m,-,3.0499999999999998,3.0499999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399417,4399417,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399457,4399457,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399465,4399465,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399472,4399472,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399479,4399479,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399506,4399506,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399533,4399533,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4399539,4399539,AR_LIV_PE_P00_+0.00m,-,3.2000000000000002,3.2000000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4434527,4434527,AR_LIV_PE_P00_+0.00m,-,0.33300000000000002,15.446999999999999,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4434652,4434652,AR_LIV_PE_P00_+0.00m,-,0.33300000000000002,15.141999999999999,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4490638,4490638,AR_LIV_PE_P00_+0.00m,-,0.25,3.0950000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4916570,4916570,AR_LIV_PE_P02_+10.40m,-,4.282,4.282,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4916669,4916669,AR_LIV_PE_P02_+10.40m,-,3.9220000000000002,3.9220000000000002,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4916903,4916903,AR_LIV_PE_P02_+10.40m,-,4.3300000000000001,4.3300000000000001,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4916904,4916904,AR_LIV_PE_P02_+10.40m,-,4.3300000000000001,4.3300000000000001,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4916908,4916908,AR_LIV_PE_P02_+10.40m,-,4.2750000000000004,4.2750000000000004,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4916953,4916953,AR_LIV_PE_P02_+10.40m,-,3.9249999999999998,3.9249999999999998,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4916954,4916954,AR_LIV_PE_P02_+10.40m,-,4.5750000000000002,4.5750000000000002,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4917035,4917035,AR_LIV_PE_P02_+10.40m,-,3.875,3.875,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4917079,4917079,AR_LIV_PE_P02_+10.40m,-,3.875,3.875,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4917083,4917083,AR_LIV_PE_P02_+10.40m,-,3.875,3.875,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4917121,4917121,AR_LIV_PE_P02_+10.40m,-,4.2949999999999999,4.2949999999999999,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4917122,4917122,AR_LIV_PE_P02_+10.40m,-,4.2949999999999999,4.2949999999999999,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4917123,4917123,AR_LIV_PE_P02_+10.40m,-,4.2949999999999999,4.2949999999999999,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4933838,4933838,AR_LIV_PE_P02_+10.40m,-,3.9249999999999998,3.9249999999999998,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4933839,4933839,AR_LIV_PE_P02_+10.40m,-,4.1239999999999997,4.4630000000000001,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4934168,4934168,AR_LIV_PE_P02_+10.40m,-,4.3300000000000001,4.3300000000000001,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4944616,4944616,AR_LIV_PE_P01_+5.20m,-,4.3319999999999999,4.3319999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4947571,4947571,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4947704,4947704,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4947761,4947761,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4947967,4947967,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4947977,4947977,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4947987,4947987,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4948137,4948137,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4948221,4948221,AR_LIV_PE_P00_+0.00m,-,15.872999999999999,15.872999999999999,Offset superiore all'interpiano.,0
Vincoli Livelli,Passerelle,4948777,4948777,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14399999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4948948,4948948,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4949099,4949099,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4949205,4949205,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4949316,4949316,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4949419,4949419,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Passerelle,4949514,4949514,AR_LIV_PE_PC2_+15.73m,-,0.14299999999999999,0.14299999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968043,4968043,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968047,4968047,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968051,4968051,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968061,4968061,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968063,4968063,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968075,4968075,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968077,4968077,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968081,4968081,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968085,4968085,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968091,4968091,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968095,4968095,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968115,4968115,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968119,4968119,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968177,4968177,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968181,4968181,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968209,4968209,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968213,4968213,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968217,4968217,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968225,4968225,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968229,4968229,AR_LIV_PE_P00_+0.00m,-,3.7999999999999998,3.7999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968264,4968264,AR_LIV_PE_P00_+0.00m,-,3.9940000000000002,3.9940000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968266,4968266,AR_LIV_PE_P00_+0.00m,-,3.9940000000000002,3.9940000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968268,4968268,AR_LIV_PE_P00_+0.00m,-,3.9940000000000002,3.9940000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968295,4968295,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968303,4968303,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968334,4968334,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968336,4968336,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968344,4968344,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968346,4968346,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968348,4968348,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968356,4968356,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968400,4968400,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968402,4968402,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968406,4968406,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968410,4968410,AR_LIV_PE_P00_+0.00m,-,4.0,4.0,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968440,4968440,AR_LIV_PE_P00_+0.00m,-,4.2999999999999998,4.2999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Condotto,4968446,4968446,AR_LIV_PE_P00_+0.00m,-,4.2999999999999998,4.2999999999999998,Elemento MEP correttamente posizionato su livello AR.,1
