Categoria,Nome Elemento,ID Elemento,Stato
Griglie,01,7825611,1
Griglie,02,7825612,1
Griglie,03,7825613,1
Griglie,04,7825614,1
Griglie,05,7825615,1
Griglie,06,7825616,1
Griglie,07,7825617,1
Griglie,08,7825618,1
Griglie,09,7825619,1
Griglie,10,7825620,1
Griglie,11,7825621,1
Griglie,12,7825622,1
Griglie,13,7825623,1
Griglie,14,7825624,1
Griglie,16,7825626,1
Griglie,17,7825627,1
Griglie,18,7825628,1
Griglie,19,7825629,1
Griglie,20,7825630,1
Griglie,21,7825631,1
Griglie,22,7825632,1
Griglie,23,7825633,1
Griglie,24,7825634,1
Griglie,25,7825635,1
Griglie,28,7825636,1
Griglie,A,7825637,1
Griglie,B,7825638,1
Griglie,C,7825639,1
Griglie,D,7825640,1
Griglie,E,7825641,1
Griglie,G,7825642,1
Griglie,H,7825643,1
Griglie,J,7825644,1
Griglie,K,7825645,1
Griglie,L,7825646,1
Griglie,M,7825647,1
Griglie,I,7825648,1
Griglie,F,7825649,1
Griglie,26,7825650,1
Griglie,27,7825651,1
Griglie,A',7825652,1
Griglie,B',7825653,1
Griglie,15'',7825654,1
Griglie,15',7825655,1
Griglie,21',7825656,1
Griglie,E',7825657,1
Griglie,12',7825658,1
Griglie,13',7825659,1
Griglie,D',7825660,1
Griglie,A'',7825661,1
Livelli,AR_LIV_PE_P00_+0.00m,4756448,1
Livelli,AR_LIV_PE_P01_+5.20m,4756449,1
Livelli,AR_LIV_PE_P02_+10.40m,4756450,1
Livelli,AR_LIV_PE_PC2_+15.73m,4756451,1
Livelli,AR_LIV_PE_PC1_+12.83m,4756452,1
Livelli,AR_LIV_PE_PC3_+20.17m,4756453,1
