Categoria,Nome Famiglia,Nome Tipo,ID Elemento,IFC Class,Stato
OST_CableTrayFitting,IE_TRA_RIG_Azc_Perforated_Bend_Vertical Outside,Standard,933470,IfcCableCarrierFitting,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_Trasformatore,2500 kVA,4367271,IfcTransformer,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_Trasformatore,2500 kVA,4367338,IfcTransformer,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_Trasformatore,2500 kVA,4367346,IfcTransformer,1
OST_ElectricalEquipment,IE_DIS_DDA_TDA_Rack Dati,RACK 47U - 800x800,4372013,IfcCommunicationsAppliance,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_UPS,UPS 250+50,4372132,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_UPS,UPS 2kVA,4375082,IfcElectricFlowStorageDevice,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388742,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388810,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4388820,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388991,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4388998,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4389010,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4389016,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4392750,IfcCableCarrierFitting,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4392751,IfcCableCarrierFitting,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4392876,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4399417,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4399457,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4399465,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4399471,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4399472,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4399479,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTM02_MeshWire_EGS_Cov,4399506,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_TEE_Azc_Channel Horizontal Tee,"12"" Radius",4399512,IfcCableCarrierFitting,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4399533,IfcCableCarrierSegment,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTP02_Perforated_SGS_Cov,4399539,IfcCableCarrierSegment,1
OST_CableTrayFitting,IE_TRA_RIG_Azc_Channel Horizontal Bend,Standard,4399545,IfcCableCarrierFitting,1
OST_ElectricalFixtures,IE_DIS_AEL_DPR_PowerFactorCorrection,EL_EE_RIF-F 30KVAR,4401091,IfcElectricFlowStorageDevice,1
OST_ElectricalFixtures,IE_DIS_AEL_DPR_PowerFactorCorrection,EL_EE_RIF-F 30KVAR,4404277,IfcElectricFlowStorageDevice,1
OST_ElectricalFixtures,IE_DIS_AEL_DPR_PowerFactorCorrection,EL_EE_RIF-F 30KVAR,4404285,IfcElectricFlowStorageDevice,1
OST_ElectricalFixtures,IE_DIS_AEL_DPR_PowerFactorCorrection,EL_EE_RIF-A 100KVAR,4404640,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_Gruppo Elettrogeno,Gruppo Elettrogeno  1800kVA,4404728,IfcElectricGenerator,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_Gruppo Elettrogeno,Gruppo Elettrogeno  600kVA,4404758,IfcElectricGenerator,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_Gruppo Elettrogeno,Gruppo Elettrogeno  1800kVA,4404786,IfcElectricGenerator,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_Gruppo Elettrogeno,Gruppo Elettrogeno  600kVA,4405205,IfcElectricGenerator,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_UPS,UPS 600kVA,4405569,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_UPS,UPS 600kVA,4405621,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405629,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405814,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405827,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405829,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405844,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405846,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405848,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_ATE_DPR_CabinetFuse,Batterie Dat,4405849,IfcElectricFlowStorageDevice,1
OST_ElectricalEquipment,IE_DIS_DDA_TDA_Data_Center,SGS_Data_Center,4418374,IfcCommunicationsAppliance,1
OST_CableTray,Passerella con raccordi,IE_PAS_Azc_CTM02_MeshWire_EGS_Cov,4434527,IfcCableCarrierSegment,1
OST_ElectricalFixtures,IE_DIS_AEL_DPR_PowerFactorCorrection,EL_EE_RIF-A 100KVAR,4477065,IfcElectricFlowStorageDevice,1
OST_SecurityDevices,IE_DIS_DSI_VID_Centrale Controllo Accessi,E_CA_Centrale AI,4498849,IfcUnitaryControlElement,1
OST_SecurityDevices,IE_DIS_DSI_VID_Modulo gestione varco Controllo Accessi,E_CA_Modulo gestione varco-XIO,4508967,IfcUnitaryControlElement,1
OST_SecurityDevices,IE_DIS_DSI_VID_Modulo gestione varco Controllo Accessi,E_CA_Modulo gestione varco-XIO,4509000,IfcUnitaryControlElement,1
OST_ElectricalEquipment,IE_DIS_DAN_RIV_Centrali riv Fumi - Gas,Centrale Riv Fumi,4509235,IfcUnitaryControlElement,1
OST_ElectricalEquipment,IE_DIS_DAN_RIV_Centrali riv Fumi - Gas,Centrale Riv Fumi,4509247,IfcUnitaryControlElement,1
OST_ElectricalEquipment,IE_DIS_DAN_RIV_Centrali riv Fumi - Gas,Centrale Riv Fumi,4509288,IfcUnitaryControlElement,1
OST_ElectricalEquipment,IE_DIS_DAN_RIV_Centrali riv Fumi - Gas,Centrale Riv Fumi,4509312,IfcUnitaryControlElement,1
OST_ElectricalEquipment,IE_DIS_DAN_RIV_Centrali riv Fumi - Gas,Centrale Riv Fumi,4509331,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Alimentatore,E_RI_Alimentatore,4509937,IfcElectricFlowStorageDevice,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4509945,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4545791,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4546052,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559151,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559155,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559159,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559163,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559167,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559330,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559358,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559418,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559442,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559462,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559622,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559766,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4559984,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4560072,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4560079,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4560083,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4560098,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4565346,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4565353,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Pulsante Manuale,Pulsante Manuale,4565390,IfcAlarm,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Alimentatore,E_RI_Alimentatore,4565547,IfcElectricFlowStorageDevice,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4581637,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Alimentatore,E_RI_Alimentatore,4581686,IfcElectricFlowStorageDevice,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4581692,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4594061,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Alimentatore,E_RI_Alimentatore,4595816,IfcElectricFlowStorageDevice,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4595817,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Alimentatore,E_RI_Alimentatore,4626410,IfcElectricFlowStorageDevice,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 4 canali,4636271,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 4 canali,4640381,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 4 canali,4641439,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 4 canali,4646809,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 4 canali,4649437,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4656285,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4661363,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4662179,IfcUnitaryControlElement,1
OST_FireAlarmDevices,IE_DIS_DAN_RIV_Centralina aspirazione,Centralina 2 canali,4662386,IfcUnitaryControlElement,1
