Qty.,Model,Type,Type Name,Tag
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_UPS:UPS,E_DP_UPS:UPS,4372095
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_UPS:UPS,E_DP_UPS:UPS,4372132
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_UPS:UPS,E_DP_UPS:UPS,4375082
1,9nnn _J.002_028_PE_IE_M3_01_01,Gruppo Elettrogeno:Gruppo Elettrogeno  1800kVA,Gruppo Elettrogeno:Gruppo Elettrogeno  1800kVA,4404728
1,9nnn _J.002_028_PE_IE_M3_01_01,Gruppo Elettrogeno:Gruppo Elettrogeno  560kVA,Gruppo Elettrogeno:Gruppo Elettrogeno  560kVA,4404758
1,9nnn _J.002_028_PE_IE_M3_01_01,Gruppo Elettrogeno:Gruppo Elettrogeno  1800kVA,Gruppo Elettrogeno:Gruppo Elettrogeno  1800kVA,4404786
1,9nnn _J.002_028_PE_IE_M3_01_01,Gruppo Elettrogeno:Gruppo Elettrogeno  560kVA,Gruppo Elettrogeno:Gruppo Elettrogeno  560kVA,4405205
1,9nnn _J.002_028_PE_IE_M3_01_01,Trasformatore:2500 kVA,Trasformatore:2500 kVA,4367271
1,9nnn _J.002_028_PE_IE_M3_01_01,Trasformatore:2500 kVA,Trasformatore:2500 kVA,4367338
1,9nnn _J.002_028_PE_IE_M3_01_01,Trasformatore:2500 kVA,Trasformatore:2500 kVA,4367346
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4363815
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4363904
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4367452
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4374153
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4374317
1,9nnn _J.002_028_PE_IE_M3_01_01,EL_EE_EF_PowerFactorCorrection:EL_EE_RIF-F 20KVAR,,4401091
1,9nnn _J.002_028_PE_IE_M3_01_01,EL_EE_EF_PowerFactorCorrection:EL_EE_RIF-F 20KVAR,,4404277
1,9nnn _J.002_028_PE_IE_M3_01_01,EL_EE_EF_PowerFactorCorrection:EL_EE_RIF-F 20KVAR,,4404285
1,9nnn _J.002_028_PE_IE_M3_01_01,EL_EE_EF_PowerFactorCorrection:EL_EE_RIF-A 50KVAR,,4404640
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4404916
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4404963
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4404990
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4405092
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4423536
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4423570
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4423871
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4424416
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4424440
1,9nnn _J.002_028_PE_IE_M3_01_01,E_DP_Quadro elettrico:Switchboard_base,,4424476
1,9nnn _J.002_028_PE_IE_M3_01_01,EL_EE_EF_PowerFactorCorrection:EL_EE_RIF-A 50KVAR,,4477012
1,9nnn _J.002_028_PE_IE_M3_01_01,EL_EE_EF_PowerFactorCorrection:EL_EE_RIF-A 50KVAR,,4477065
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Horizontal Tee:12"" Radius,Channel Horizontal Tee:12"" Radius,4392607
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Horizontal Tee:12"" Radius,Channel Horizontal Tee:12"" Radius,4399512
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Outside Bend:Standard,Channel Vertical Outside Bend:Standard,4399635
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Inside Bend:Standard,Channel Vertical Inside Bend:Standard,4399643
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Inside Bend:Standard,Channel Vertical Inside Bend:Standard,4399659
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Outside Bend:Standard,Channel Vertical Outside Bend:Standard,4399741
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Inside Bend:Standard,Channel Vertical Inside Bend:Standard,4446069
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Inside Bend:Standard,Channel Vertical Inside Bend:Standard,4446357
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Inside Bend:Standard,Channel Vertical Inside Bend:Standard,4447443
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Inside Bend:Standard,Channel Vertical Inside Bend:Standard,4448194
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Outside Bend:Standard,Channel Vertical Outside Bend:Standard,4449909
1,9nnn _J.002_028_PE_IE_M3_01_01,Channel Vertical Inside Bend:Standard,Channel Vertical Inside Bend:Standard,4450415
