GUID,ID,Famiglia e tipo,Livello,Workset,Stato
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e4362,934754,AT3: AT3,SGS_TMP_Level 1,Family  : Cable Tray Fittings : AT3,1
1be4a8dc-b036-4dc6-b542-76c1f3029399-000e435a,934746,BINRAK channel: BR 401 BINRAK,SGS_TMP_Level 1,Family  : Cable Tray Fittings : BINRAK channel,1
cac45f61-e4ba-47c7-ab26-d1537917f500-0042f7d4,4388820,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
751c9557-eb53-4f66-9e58-4a092bc411ca-0042f807,4388871,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
b72af454-dcba-443d-baf0-fe0a1d373dce-00430682,4392578,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
b72af454-dcba-443d-baf0-fe0a1d373dce-0043072e,4392750,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
b72af454-dcba-443d-baf0-fe0a1d373dce-0043072f,4392751,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
b72af454-dcba-443d-baf0-fe0a1d373dce-004307ac,4392876,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
b72af454-dcba-443d-baf0-fe0a1d373dce-004307ad,4392877,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
1e45a90c-494b-40e1-a065-3777fb8271fe-00432143,4399427,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
1e45a90c-494b-40e1-a065-3777fb8271fe-0043216f,4399471,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
1e45a90c-494b-40e1-a065-3777fb8271fe-00432176,4399478,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
1e45a90c-494b-40e1-a065-3777fb8271fe-00432181,4399489,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
1e45a90c-494b-40e1-a065-3777fb8271fe-004321b9,4399545,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
1e45a90c-494b-40e1-a065-3777fb8271fe-004321c0,4399552,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
1e45a90c-494b-40e1-a065-3777fb8271fe-004321c7,4399559,Channel Horizontal Bend: Standard,ELE_LIV_PE_P00_+0.00m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
43586cb3-6a83-484d-9162-bed80727a4c1-0043c367,4440935,Channel Horizontal Bend: Standard,ELE_LIV_PE_P01_+5.20m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
2411bfa4-c74b-4639-b012-73c1a20667ee-0043c6db,4441819,Channel Horizontal Bend: Standard,ELE_LIV_PE_P01_+5.20m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
2411bfa4-c74b-4639-b012-73c1a20667ee-0043c70d,4441869,Channel Horizontal Bend: Standard,ELE_LIV_PE_P01_+5.20m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
2411bfa4-c74b-4639-b012-73c1a20667ee-0043cb03,4442883,Channel Horizontal Bend: Standard,ELE_LIV_PE_P01_+5.20m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
2411bfa4-c74b-4639-b012-73c1a20667ee-0043cb0f,4442895,Channel Horizontal Bend: Standard,ELE_LIV_PE_P01_+5.20m,Family  : Cable Tray Fittings : Channel Horizontal Bend,1
