Categoria,Famiglia,Id Elemento,Stato
Raccordi condotto,P3 - Rectangular Curve,919496,1
Raccordi condotto,P3 - Rectangular Takeoff,919498,1
Raccordi condotto,P3 - Rectangular Connector,919504,1
Raccordi condotto,M_Gomito circolare,919510,1
Raccordi condotto,M_Raccordo a T circolare,919518,1
Raccordi condotto,M_Gomito circolare,919524,1
Raccordi condotto,M_Gomito ovale - Piega,919528,1
Raccordi condotto,M_Raccordo a T ovale - Dritto,919530,1
Raccordi condotto,P3 - Double Rectangular Curve,919534,1
Raccordi condotto,M_Gomito circolare,919538,1
Raccordi condotto,M_Gomito circolare,919542,1
Raccordi condotto,M_Gomito rettangolare - Raggio,919545,1
Raccordi condotto,M_Gomito rettangolare - Raggio,919547,1
Raccordi condotto,M_Gomito rettangolare - Raggio,919549,1
Raccordi condotto,M_Gomito rettangolare - Raggio,919551,1
Raccordi condotto,M_Gomito rettangolare - Raggio,919555,1
Raccordi condotto,M_Raccordo a T rettangolare,919557,1
Raccordi condotto,P3 - Reduction with Rectangular Curve,919560,1
Raccordi condotto,M_Calotta di chiusura ovale,919564,1
Raccordi condotto,M_Calotta di chiusura circolare,919565,1
Raccordi condotto,P3 - Rectangular Endcap,919567,1
Raccordi condotto,P3 - Dynamic Reduction with 2 Rectangular Curves,919571,1
Raccordi condotto,M_Croce rettangolare,919575,1
Raccordi condotto,M_Croce circolare,919582,1
Raccordi condotto,M_Croce ovale - Dritta,919586,1
Raccordi condotto,M_Transizione circolare - Angolo,919587,1
Raccordi condotto,M_Transizione rettangolare - Angolo,919589,1
Raccordi condotto,M_Giunto ovale - Dritto,919612,1
Raccordi condotto,M_Transizione ovale - Lunghezza,919613,1
Raccordi condotto,P3 - Rectangular deviation with 2 Depths,919614,1
Raccordi condotto,P3 - Rectangular deviation,919615,1
Raccordi condotto,P3 - Rectangular Curve,953111,1
Raccordi condotto,M_Gomito rettangolare - Raggio,953479,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,953484,1
Raccordi condotto,P3 - Rectangular deviation with 2 Depths,953541,1
Raccordi condotto,P3 - Rectangular Takeoff,953584,1
Raccordi tubazione,Saldare Gomito,967620,1
Raccordi tubazione,Saldare T,968921,1
Raccordi tubazione,Saldare Riduzione,968929,1
Raccordi tubazione,Saldare T,969856,1
Raccordi tubazione,Saldare Riduzione,970824,1
Raccordi tubazione,Saldare Riduzione,970826,1
Raccordi tubazione,Saldare Calotta,970835,1
Raccordi tubazione,Filettato Gomito FF,970916,1
Raccordi tubazione,Filettato Gomito FF,970924,1
Raccordi tubazione,Filettato T,970953,1
Raccordi tubazione,Filettato Riduzione MF,970963,1
Raccordi tubazione,Filettato Riduzione MF,970990,1
Raccordi tubazione,Filettato Riduzione MF,970992,1
Raccordi tubazione,SC_T,993046,1
Raccordi tubazione,Saldare Gomito,1044237,1
Raccordi tubazione,Saldare T,1044241,1
Raccordi tubazione,Saldare Riduzione,1044245,1
Raccordi tubazione,Saldare T,1044249,1
Raccordi tubazione,Saldare Riduzione,1044253,1
Raccordi tubazione,Saldare Riduzione,1044255,1
Raccordi tubazione,Saldare Calotta,1044257,1
Raccordi tubazione,SC_Curva,1044828,1
Raccordi tubazione,SC_T,1045121,1
Raccordi tubazione,SC_Riduzione,1045130,1
Raccordi tubazione,Scarichi HDPE Braga a squadra,1045186,1
Raccordi tubazione,Scarichi HDPE Braga miscelatrice,1045188,1
Raccordi tubazione,Scarichi HDPE Braga miscelatrice,1045190,1
Raccordi tubazione,Scarichi HDPE Curva,1045192,1
Raccordi tubazione,Scarichi HDPE Curva doppia,1045194,1
Raccordi tubazione,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1045195,1
Raccordi tubazione,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1045196,1
Raccordi tubazione,Scarichi HDPE Ispezione,1045200,1
Raccordi tubazione,Scarichi HDPE Ispezione 45,1045202,1
Raccordi tubazione,Scarichi HDPE Riduzione,1045204,1
Raccordi tubazione,Scarichi HDPE T standard,1045206,1
Raccordi tubazione,Scarichi HDPE Union Manicotto elettrosaldato,1045208,1
Raccordi tubazione,Scarichi PP Croce Y,1045214,1
Raccordi tubazione,Scarichi PP Croce Y,1045222,1
Raccordi tubazione,Scarichi PP Croce Y,1045228,1
Raccordi tubazione,Scarichi PP Croce Y,1045230,1
Raccordi tubazione,Scarichi PP Curva 32-160,1045238,1
Raccordi tubazione,Scarichi PP Curva 200-250,1045240,1
Raccordi tubazione,Scarichi PP Curva Doppia 32-160,1045242,1
Raccordi tubazione,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1045243,1
Raccordi tubazione,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1045244,1
Raccordi tubazione,Scarichi PP Curva Doppia 200-250,1045248,1
Raccordi tubazione,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1045249,1
Raccordi tubazione,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1045250,1
Raccordi tubazione,Scarichi PP Punto ispezione 32-160,1045254,1
Raccordi tubazione,Scarichi PP Punto ispezione 200-250,1045256,1
Raccordi tubazione,Scarichi PP Riduzione 32-160,1045258,1
Raccordi tubazione,Scarichi PP Riduzione 200-250,1045260,1
Raccordi tubazione,Scarichi PP Riduzione Eccentrica 32-160,1045262,1
Raccordi tubazione,Scarichi PP T innesto a 45 32-160,1045264,1
Raccordi tubazione,^DON'T_USE^Composite_Schedule_Family,1045265,1
Raccordi tubazione,^DON'T_USE^Composite_Schedule_Family,1045266,1
Raccordi tubazione,Scarichi PP T standard 32-160,1045270,1
Raccordi tubazione,Scarichi PP Union Bicchiere 32-160,1045274,1
Raccordi tubazione,Scarichi PP Union Bicchiere 200-250,1045276,1
Raccordi tubazione,Scarichi PP Union Manicotto 32-160,1045278,1
Raccordi tubazione,Scarichi PP Union Manicotto 200-250,1045280,1
Raccordi tubazione,SC_Riduzione,1103685,1
Raccordi tubazione,SC_Curva,1103707,1
Raccordi tubazione,SC_Curva,1103848,1
Raccordi tubazione,GEN_T,1118377,1
Raccordi tubazione,GEN_Croce,1136952,1
Raccordi tubazione,Saldare Calotta,1138920,1
Raccordi tubazione,Saldare Calotta,1138934,1
Raccordi tubazione,GEN_Manicotto,1144185,1
Raccordi condotto,M_Raccordo a T circolare,1215850,1
Raccordi condotto,M_Transizione circolare - Angolo,1215856,1
Raccordi tubazione,Saldare Riduzione,1218132,1
Raccordi tubazione,Scarichi PP T innesto a 45 32-160,1225391,1
Raccordi tubazione,^DON'T_USE^Composite_Schedule_Family,1225395,1
Raccordi tubazione,^DON'T_USE^Composite_Schedule_Family,1225397,1
Raccordi tubazione,Scarichi HDPE Curva,1226665,1
Raccordi tubazione,Scarichi PP Curva Doppia 200-250,1229573,1
Raccordi tubazione,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1229575,1
Raccordi tubazione,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1229577,1
Raccordi tubazione,Scarichi PP Curva Doppia 32-160,1230936,1
Raccordi tubazione,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1230938,1
Raccordi tubazione,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1230940,1
Raccordi tubazione,Scarichi HDPE Curva doppia,1231160,1
Raccordi tubazione,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1231162,1
Raccordi tubazione,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1231164,1
Raccordi tubazione,Scarichi HDPE T standard,1231340,1
Raccordi tubazione,Scarichi HDPE T standard,1235130,1
Raccordi tubazione,Scarichi HDPE T standard,1238929,1
Raccordi tubazione,GEN_Curva,1242988,1
Raccordi tubazione,GEN_Riduzione,1243034,1
Raccordi tubazione,GEN_T,1243102,1
Raccordi tubazione,GEN_T,1245950,1
Raccordi tubazione,GEN_Riduzione,1245961,1
Raccordi tubazione,GEN_Curva,1246170,1
Raccordi tubazione,GEN_Curva,1247834,1
Raccordi tubazione,GEN_Riduzione,1252278,1
Raccordi tubazione,GEN_Curva,1259041,1
Raccordi tubazione,GEN_Curva,1259128,1
Raccordi tubazione,GEN_Riduzione,1259594,1
Raccordi tubazione,GEN_Riduzione,1259596,1
Raccordi tubazione,GEN_Curva,1259674,1
Raccordi tubazione,Scarichi HDPE T standard,1261187,1
Raccordi tubazione,Scarichi HDPE T standard,1261299,1
Raccordi tubazione,GEN_Curva,1271540,1
Raccordi tubazione,GEN_T,1271542,1
Raccordi tubazione,GEN_Riduzione,1271546,1
Raccordi tubazione,GEN_Curva,1271573,1
Raccordi tubazione,GEN_T,1271576,1
Raccordi tubazione,GEN_Riduzione,1271581,1
Raccordi tubazione,GEN_Calotta,1276416,1
Raccordi tubazione,GEN_Calotta,1276432,1
Raccordi tubazione,GEN_Curva,1276504,1
Raccordi tubazione,GEN_T,1276549,1
Raccordi tubazione,GEN_Riduzione,1276557,1
Raccordi tubazione,GEN_Calotta,1276565,1
Raccordi tubazione,GEN_Croce,1276630,1
Raccordi tubazione,GEN_Croce,1276669,1
Raccordi tubazione,Saldare Croce,1276798,1
Raccordi tubazione,GEN_Curva,1276866,1
Raccordi tubazione,GEN_Curva,1276876,1
Raccordi tubazione,GEN_Curva,1278370,1
Raccordi tubazione,GEN_Riduzione,1278373,1
Raccordi tubazione,GEN_Croce,1278383,1
Raccordi tubazione,GEN_Riduzione,1278460,1
Raccordi tubazione,GEN_Croce,1278500,1
Raccordi tubazione,GEN_Croce,1278622,1
Raccordi tubazione,GEN_Curva,1278857,1
Raccordi tubazione,GEN_T,1278893,1
Raccordi tubazione,GEN_Riduzione,1278903,1
Raccordi tubazione,GEN_Riduzione,1279974,1
Raccordi tubazione,GEN_Riduzione,1281002,1
Raccordi tubazione,GEN_Riduzione,1281004,1
Raccordi tubazione,GEN_Giunto,1281017,1
Raccordi tubazione,GEN_Giunto,1281897,1
Raccordi tubazione,GEN_Curva,1282135,1
Raccordi tubazione,GEN_Curva,1282507,1
Raccordi condotto,M_Transizione circolare - Angolo,1284271,1
Raccordi condotto,M_Deviatore circolare - Asimmetrico,1284312,1
Raccordi condotto,M_Deviatore circolare - Asimmetrico,1284334,1
Raccordi condotto,M_Deviatore circolare,1284657,1
Raccordi condotto,M_Gomito circolare,1284659,1
Raccordi condotto,M_Deviatore circolare - Asimmetrico,1284762,1
Raccordi condotto,M_Deviatore circolare - Asimmetrico,1284829,1
Attrezzatura meccanica,AR_FT_UTA due sezioni,1295909,1
Attrezzatura meccanica,AR_FT_REC recuperatore,1300497,1
Apparecchi idraulici,SG_Tub_Punto di Utilizzo FT,1328234,1
Apparecchi idraulici,SG_Tub_Punto di Utilizzo,1330551,1
Attrezzatura meccanica,M_Batteria Postriscaldamento,1330792,1
Bocchettoni,SC_Very high induction linear diffusers (Wall) (2 inlet),1335360,1
Bocchettoni,SC_Very high induction linear diffusers (Wall) (2 inlet),1335361,1
Bocchettoni,SC_Very high induction linear diffusers (Wall) (2 inlet),1335362,1
Bocchettoni,SC_Very high induction linear diffusers (Wall) (2 inlet),1335363,1
Bocchettoni,SC_Very high induction linear diffusers (Wall) (2 inlet),1335364,1
Bocchettoni,SC_Very high induction linear diffusers (Wall) (2 inlet),1335365,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335366,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335367,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335368,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335369,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335370,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335371,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335372,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335373,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335374,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335375,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335376,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335377,1
Bocchettoni,SC_Linear diffuser with adjustable cylindrical deflectors (1 inlet),1335378,1
Bocchettoni,SC_Air Valve - Delivery,1335379,1
Bocchettoni,SC_Air Valve - Return,1335380,1
Bocchettoni,SC_Air Valve - Delivery,1335381,1
Bocchettoni,SC_Air Valve - Delivery,1335382,1
Bocchettoni,SC_Air Valve - Delivery,1335383,1
Bocchettoni,SC_Air Valve - Delivery,1335384,1
