Nome Locale,ID Elemento,Verifica,Stato
Vano,1445324,Locale non racchiuso,0
Vano,1445325,Locale non racchiuso,0
Vano,1445326,Locale non racchiuso,0
Vano,1445327,Locale non racchiuso,0
Vano,1445328,Locale non racchiuso,0
Vano,1445329,Locale non racchiuso,0
Vano,1445330,Locale non racchiuso,0
Vano,1445331,Locale non racchiuso,0
Vano,1445332,Locale non racchiuso,0
Vano,1445333,Locale non racchiuso,0
MONTACARICHI,1445334,Locale non racchiuso,0
Room,1445335,Locale non racchiuso,0
Vano,1445336,Locale non racchiuso,0
Room,1445337,Locale non racchiuso,0
Room,1445338,Locale non racchiuso,0
Room,1445339,Locale non racchiuso,0
Vano,1445340,Locale non racchiuso,0
Room,1445341,Locale non racchiuso,0
WC F,1445342,Locale non racchiuso,0
CHANGING F,1445343,Locale non racchiuso,0
WC M,1445344,Locale non racchiuso,0
CHANGING M,1445345,Locale non racchiuso,0
Room,1445346,Locale non racchiuso,0
DISIMP.,1445347,Locale non racchiuso,0
Room,1445348,Locale non racchiuso,0
OFFICE,1445349,Locale non racchiuso,0
Vano,1445350,Locale non racchiuso,0
Servizi al passeggero,1445351,Locale non racchiuso,0
Vano,1445352,Locale non racchiuso,0
Vano,1445353,Locale non racchiuso,0
Servizi igienici Disabile,1445354,Locale non racchiuso,0
Servizi igienici,1445355,Locale non racchiuso,0
Servizi igienici Disabile,1445356,Locale non racchiuso,0
Servizi igienici,1445357,Locale non racchiuso,0
Servizi igienici,1445358,Locale non racchiuso,0
Servizi igienici,1445359,Locale non racchiuso,0
Impianti,1445360,Locale non racchiuso,0
Impianti,1445361,Locale non racchiuso,0
Servizi igienici,1445362,Locale non racchiuso,0
Servizi igienici,1445363,Locale non racchiuso,0
Servizi igienici,1445364,Locale non racchiuso,0
Servizi igienici,1445365,Locale non racchiuso,0
Servizi igienici,1445366,Locale non racchiuso,0
Locale,1445367,Locale non racchiuso,0
Servizi al passeggero,1445368,Locale non racchiuso,0
Locale,1445369,Locale non racchiuso,0
Uffici,1445370,Locale non racchiuso,0
Gateroom,1445371,Locale non racchiuso,0
Gateroom,1445372,Locale non racchiuso,0
Gateroom,1445373,Locale non racchiuso,0
Servizi igienici Uomo,1445374,Locale non racchiuso,0
Servizi igienici Donna,1445375,Locale non racchiuso,0
Vano scala,1445376,Locale non racchiuso,0
Vano scala,1445377,Locale non racchiuso,0
Servizi al passeggero,1445378,Locale non racchiuso,0
Circolazione sala imbarchi,1445379,Locale non racchiuso,0
Circolazione sala imbarchi,1445380,Locale non racchiuso,0
TRANSF. MEP,1445381,Locale non racchiuso,0
TRANSF. MEP,1445382,Locale non racchiuso,0
TRANSF. MEP,1445383,Locale non racchiuso,0
Room,1445384,Locale non racchiuso,0
PMR CREW-STAFF CONTROL,1445385,Locale non racchiuso,0
Room,1445386,Locale non racchiuso,0
Room,1445387,Locale non racchiuso,0
DEPOSITO,1445388,Locale non racchiuso,0
OFFICE,1445389,Locale non racchiuso,0
WC,1445390,Locale non racchiuso,0
ANTI WC,1445391,Locale non racchiuso,0
OFFICE,1445392,Locale non racchiuso,0
OFFICE,1445393,Locale non racchiuso,0
Vano,1445394,Locale non racchiuso,0
DISIMP.,1445395,Locale non racchiuso,0
WC,1445396,Locale non racchiuso,0
DEP.,1445397,Locale non racchiuso,0
OFFICE,1445398,Locale non racchiuso,0
Vano,1445399,Locale non racchiuso,0
Room,1445400,Locale non racchiuso,0
REST.,1445401,Locale non racchiuso,0
REST.,1445402,Locale non racchiuso,0
REST.,1445403,Locale non racchiuso,0
REST.,1445404,Locale non racchiuso,0
OFFICE,1445405,Locale non racchiuso,0
CORRIDOIO,1445406,Locale non racchiuso,0
REST.,1445407,Locale non racchiuso,0
Room,1445408,Locale non racchiuso,0
Servizi al passeggero,1445409,Locale non racchiuso,0
Vano,1445410,Locale non racchiuso,0
Vano,1445411,Locale non racchiuso,0
CENTRALE AI,1445412,Locale non racchiuso,0
AREA DI ATTESA,1445413,Locale non racchiuso,0
Vano,1445414,Locale non racchiuso,0
WC DIS. F,1445415,Locale non racchiuso,0
WC DIS. M,1445416,Locale non racchiuso,0
Vano,1445417,Locale non racchiuso,0
Circolazione sala imbarchi-1,1445418,Locale non racchiuso,0
Circolazione sala imbarchi-2,1445419,Locale non racchiuso,0
TECHNICAL ROOM MEP,1445420,Locale non racchiuso,0
CORRIDODIO,1445421,Locale non racchiuso,0
Room,1445422,Locale non racchiuso,0
Vano,1445423,Locale non racchiuso,0
Vano,1445424,Locale non racchiuso,0
Vano,1445425,Locale non racchiuso,0
SCALA,1445426,Locale non racchiuso,0
OFFICE,1445427,Locale non racchiuso,0
Vano,1445428,Locale non racchiuso,0
PART. S CREW,1445429,Locale non racchiuso,0
Vano,1445430,Locale non racchiuso,0
CORR. STAFF POLIZIA,1445431,Locale non racchiuso,0
Vano,1445432,Locale non racchiuso,0
Vano,1445433,Locale non racchiuso,0
Vano,1445434,Locale non racchiuso,0
Vano,1445435,Locale non racchiuso,0
GEN. ELECT.,1445436,Locale non racchiuso,0
Vano,1445437,Locale non racchiuso,0
PASSPORT CONTROL,1445438,Locale non racchiuso,0
Vano,1445439,Locale non racchiuso,0
Vano,1445440,Locale non racchiuso,0
Vano,1445441,Locale non racchiuso,0
Vano,1445442,Locale non racchiuso,0
CORRIDODIO,1445443,Locale non racchiuso,0
Vano,1445444,Locale non racchiuso,0
Vano,1445445,Locale non racchiuso,0
