GUID,ID,Famiglia e tipo,Livello,Workset,Stato
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff301,1045249,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff302,1045250,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012c307,1229575,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012c309,1229577,*DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'T_USE*Plumbing-Bend-Valsir-Triplus-Positive-01-ForDouble45Bend,1
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff2cb,1045195,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff2cc,1045196,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012c93a,1231162,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012c93c,1231164,*DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : *DON'TT_USE*Plumbing-Bend-Valsir-HDPE-00_ForDouble45Bend,1
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff312,1045266,^DON'T_USE^Composite_Schedule_Family: SA_Bend_Circular_MEPcontent_Valsir� PP3 PP_1S,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Composite_Schedule_Family,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012b2b5,1225397,^DON'T_USE^Composite_Schedule_Family: SA_Bend_Circular_MEPcontent_Valsir� PP3 PP_1S,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Composite_Schedule_Family,1
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff311,1045265,^DON'T_USE^Composite_Schedule_Family: SA_Tee_Circular_MEPcontent_Valsir� PP3 PP_2S,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Composite_Schedule_Family,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012b2b3,1225395,^DON'T_USE^Composite_Schedule_Family: SA_Tee_Circular_MEPcontent_Valsir� PP3 PP_2S,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Composite_Schedule_Family,1
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff2fb,1045243,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1
8b9d56ed-8c02-40cc-8783-dcfb47ee82c5-000ff2fc,1045244,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012c85a,1230938,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1
c8b117d3-e6e2-417c-8909-a0437718384b-0012c85c,1230940,^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend: Standard,Piano terra,Famiglia  : Raccordi tubazione : ^DON'T_USE^Plumbing-Bend-Valsir-PP-Positive-02_ForDouble45Bend,1
f7bd4638-54cc-4b38-a4a8-87b2b41fea0f-0013d811,1300497,AR_FT_REC recuperatore: FME.ARIA recuperatore,Piano terra,Famiglia  : Attrezzatura meccanica : AR_FT_REC recuperatore,1
f7bd4638-54cc-4b38-a4a8-87b2b41fea0f-0013c625,1295909,AR_FT_UTA due sezioni: UTA UFFICI,Piano terra,Famiglia  : Attrezzatura meccanica : AR_FT_UTA due sezioni,1
d0f2d059-419d-4510-b63d-399acd913d32-0014609b,1335451,CAV Meccanico Circolare: RDR � 100, 50-100 cmh,Piano terra,Famiglia  : Accessori per condotti : CAV Meccanico Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-0014609c,1335452,CAV Meccanico Circolare: RDR � 125, 100-180 cmh,Piano terra,Famiglia  : Accessori per condotti : CAV Meccanico Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-0014609d,1335453,CAV Meccanico Circolare: RDR � 160, 50-100 cmh,Piano terra,Famiglia  : Accessori per condotti : CAV Meccanico Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-0014609e,1335454,CAV Meccanico Circolare: RDR � 200, 180-300 cmh,Piano terra,Famiglia  : Accessori per condotti : CAV Meccanico Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-0014609f,1335455,CAV Meccanico Circolare: RDR � 250, 300-500 cmh,Piano terra,Famiglia  : Accessori per condotti : CAV Meccanico Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a0,1335456,CAV Terminal Units Circolare: RSVC-K/MA 100,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a1,1335457,CAV Terminal Units Circolare: RSVC-K/MA 125,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a2,1335458,CAV Terminal Units Circolare: RSVC-K/MA 160,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a3,1335459,CAV Terminal Units Circolare: RSVC-K/MA 200,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a4,1335460,CAV Terminal Units Circolare: RSVC-K/MA 250,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a5,1335461,CAV Terminal Units Circolare: RSVC-K/MA 315,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a6,1335462,CAV Terminal Units Circolare: RSVC-K/MA 355,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d0f2d059-419d-4510-b63d-399acd913d32-001460a7,1335463,CAV Terminal Units Circolare: RSVC-K/MA 400,Piano terra,Famiglia  : Accessori per condotti : CAV Terminal Units Circolare,1
d69f4686-3d66-49c1-aa23-f9207a96777f-001399ac,1284524,Condotto circolare: SG_Circ zincato,,Condotto,1
d69f4686-3d66-49c1-aa23-f9207a96777f-00139a2d,1284653,Condotto circolare: SG_Circ zincato,,Condotto,1
d69f4686-3d66-49c1-aa23-f9207a96777f-00139a74,1284724,Condotto circolare: SG_Circ zincato,,Condotto,1
45317626-20b0-4534-8dde-15bb79139e55-00139ced,1285357,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07d2,919506,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07d4,919508,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07d8,919512,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07dc,919516,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07df,919519,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07e2,919522,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07f0,919536,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e07f4,919540,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e0818,919576,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e081a,919578,Condotto circolare: SG_Circ zincato,,Condotto,1
791e1c51-1749-41ea-9371-c3279c9ee3a9-000e081c,919580,Condotto circolare: SG_Circ zincato,,Condotto,1
067ed6e8-1c1f-4c28-9923-c390003dcc90-00128d6b,1215851,Condotto circolare: SG_Circ zincato,,Condotto,1
d69f4686-3d66-49c1-aa23-f9207a96777f-001398ac,1284268,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
d69f4686-3d66-49c1-aa23-f9207a96777f-001398d5,1284309,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
d69f4686-3d66-49c1-aa23-f9207a96777f-001398ea,1284330,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
d69f4686-3d66-49c1-aa23-f9207a96777f-0013993f,1284415,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
d69f4686-3d66-49c1-aa23-f9207a96777f-00139ac4,1284804,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
6f27047c-78bb-4c01-9b95-b60b34972cf4-0016fd24,1506596,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
6f27047c-78bb-4c01-9b95-b60b34972cf4-0016fd28,1506600,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
6f27047c-78bb-4c01-9b95-b60b34972cf4-0016fd51,1506641,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
6f27047c-78bb-4c01-9b95-b60b34972cf4-0016fd53,1506643,Condotto flessibile circolare: Flessibile - Circolare,,Condotto flessibile,1
