Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
19,[FCL_FCLV2_FCLVL]_[84-104-124]_4Pipes_+_FCLMC20:FCL_104_Max Speed,J.002,IfcBuildingElementProxy,,Corretta,1
4,[FCL_FCLV2_FCLVL]_[34-38-44-64]_4Pipes_+_FCLMC10:FCL_44_Med Speed,J.002,IfcBuildingElementProxy,,Corretta,1
46,Plumbing_Valves_IVAR_Fan-Coil-Unit-Kit:Plumbing_Valves_IVAR_Fan-Coil-Unit-Kit,J.002,IfcBuildingElementProxy,,Corretta,1
146,Rivestimento condotto:Pannello in fibra di vetro,J.002,IfcCovering,,Corretta,1
1532,Isolamento condotto:Pannello di fibra rigida,J.002,IfcCovering,,Corretta,1
1108,Isolamento condotto:Poliuretano espanso,J.002,IfcCovering,,Corretta,1
763,Isolamento tubazione:FT-Coppelle lana di vetro,J.002,IfcCovering,,Corretta,1
4,IM_DIS_AME_SGS_Unità_IN:SGS_Unità_IN,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_901_MedSpeed,J.002,IfcUnitaryEquipment,,Corretta,1
5,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_301_MedSpeed,J.002,IfcUnitaryEquipment,,Corretta,1
21,IM_DIS_AME_Ventilconvettore 4 tubi:GCS1.UWW.SE5,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA08,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA01,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA07,J.002,IfcUnitaryEquipment,,Corretta,1
38,IM_DIS_AME_Batteria di post riscaldamento:900x300,J.002,IfcUnitaryEquipment,,Corretta,1
5,IM_DIS_AME_Batteria di post riscaldamento:700x250,J.002,IfcUnitaryEquipment,,Corretta,1
2,IM_DIS_AME_Batteria di post riscaldamento:600x250,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA09,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA13,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA15,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA14,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA10,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA16,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA04,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA11,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA06,J.002,IfcUnitaryEquipment,,Corretta,1
1,IM_DIS_AME_UTA:UTA02,J.002,IfcUnitaryEquipment,,Corretta,1
