Categoria,Nome Famiglia,Nome Tipo,ID Elemento,IFC Class,Stato
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1486661,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1486704,IfcDuctSegment,1
OST_DuctFitting,P3 - Rectangular Connector,Default,1486750,IfcDuctFitting,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1486797,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1502737,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1502755,IfcDuctSegment,1
OST_DuctFitting,P3 - Rectangular Endcap,20 cm,1503307,IfcDuctFitting,1
OST_DuctFitting,P3 - Rectangular Endcap,20 cm,1503321,IfcDuctFitting,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1506596,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1506600,IfcDuctSegment,1
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1506633,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1506634,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1506638,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1506641,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1506643,IfcDuctSegment,1
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1506669,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1506670,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1506674,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1506677,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1506679,IfcDuctSegment,1
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1506683,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1506684,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1506693,IfcDuctSegment,1
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1508252,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508253,IfcDuctSegment,1
OST_DuctFitting,P3 - Rectangular Connector,Default,1508254,IfcDuctFitting,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508255,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508256,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508260,IfcDuctSegment,1
OST_DuctFitting,P3 - Rectangular Endcap,20 cm,1508263,IfcDuctFitting,1
OST_DuctFitting,P3 - Rectangular Endcap,20 cm,1508264,IfcDuctFitting,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1508271,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1508273,IfcDuctSegment,1
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1508277,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508278,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508282,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1508285,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1508287,IfcDuctSegment,1
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1508291,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508292,IfcDuctSegment,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508293,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1508294,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1508296,IfcDuctSegment,1
OST_DuctTerminal,Diffusore lineare,Lenght 2000mm,1508300,IfcAirTerminal,1
OST_DuctCurves,Condotto rettangolare,SG_Rett zincato,1508301,IfcDuctSegment,1
OST_FlexDuctCurves,Condotto flessibile circolare,Flessibile - Circolare,1508305,IfcDuctSegment,1
