Quantità,Modello,Nome della Famiglia,ID,Livello,Nome del Tipo,Stato
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_SGS_Unità_IN:SGS_Unità_IN,,1446798,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_SGS_Unità_IN:SGS_Unità_IN,,1446801,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_SGS_Unità_IN:SGS_Unità_IN,,1446804,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_SGS_Unità_IN:SGS_Unità_IN,,1446810,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_901_MedSpeed,,1621272,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_301_MedSpeed,,1649584,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_301_MedSpeed,,1649988,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_301_MedSpeed,,1650124,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_301_MedSpeed,,1650355,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Ventilconvettore canalizzato:FCZI P_301_MedSpeed,,1650401,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_UTA:UTA08,,1663004,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_UTA:UTA01,,1681870,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_UTA:UTA07,,1698961,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1835400,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1837980,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1839378,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1839705,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1839714,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:900x300,,1840370,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:700x250,,1842589,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:700x250,,1847012,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00,IM_DIS_AME_Batteria di post riscaldamento:600x250,,1860242,Corretta,1
