Nome Sistema MEP,Nome Materiale,Verifica,Stato
AR_Estrazioni speciali,SGS_AR_Aria espulsione,Codice Progetto non corretto,0
AR_Aria di mandata,SGS_AR_Aria mandata,Codice Progetto non corretto,0
AR_Aria espulsione,SGS_AR_Aria espulsione,Codice Progetto non corretto,0
AR_Aria di ripresa,SGS_AR_Aria ripresa,Codice Progetto non corretto,0
AR_Aria esterna,SGS_AR_Aria esterna,Codice Progetto non corretto,0
AR_Aria Pae,SGS_AR_Aria esterna,Codice Progetto non corretto,0
IM_CON_HVC_AWC_Estrazione bagni,SGS_AWC_Estrazione bagni,Codice Progetto non corretto,0
IM_CON_HVC_ARR_Aria di ripresa,SGS_ARR_Aria di ripresa,Codice Progetto non corretto,0
IM_CON_HVC_ARM_Aria mandata,SGS_ARM_Aria mandata,Codice Progetto non corretto,0
IM_CON_HVC_ARE_Aria esausta,SGS_ARE_Aria esausta,Codice Progetto non corretto,0
IM_CON_HVC_ARF_Aria esterna,SGS_ARF_Aria esterna,Codice Progetto non corretto,0
IM_CON_HVC_ESC_Estrazione cappe,SGS_ESC_Estrazione cappe,Codice Progetto non corretto,0
FT_Ref Circuito 1 rit,SGS_FT_Refrigerata MT,Codice Progetto non corretto,0
IM_TUB_HVC_PRR_Rete post riscaldamento ritorno,SGS_PRR_Rete post riscaldamento ritorno,Codice Progetto non corretto,0
IM_TUB_HVC_PRM_Rete post riscaldamento mandata,SGS_PRM_Rete post riscaldamento mandata,Codice Progetto non corretto,0
IM_TUB_HVC_CLM_Rete calda mandata,SGS_CLM_Rete calda mandata,Codice Progetto non corretto,0
IM_TUB_HVC_RRM_Rete refrigerata mandata,SGS_RRM_Rete refrigerata mandata,Codice Progetto non corretto,0
IM_TUB_HVC_RRR_Rete refrigerata ritorno,SGS_RRR_Rete refrigerata ritorno,Codice Progetto non corretto,0
IM_TUB_HVC_CLR_Rete calda ritorno,SGS_CLR_Rete calda ritorno,Codice Progetto non corretto,0
