Quantità,Modello,Type Name,ID,Livello,Verifica,Stato
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1835400,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1837980,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1839378,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1839705,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1839714,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1840370,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x250,1842589,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x250,1847012,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x250,1860242,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1869167,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-600x250,1869692,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1869955,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x250,1871079,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1871194,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1871758,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x250,1874043,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967471,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967715,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967723,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967733,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967747,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967759,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967769,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1967785,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1968099,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1968107,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,1968115,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2111156,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2111177,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2111198,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2111238,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2111439,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2111667,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-700x250,2124630,,Corretta,1
1,9nnn_J.002_028_PE_IM_M3_01_00_AER,IM_DIS_AME_Batteria di post riscaldamento:BP-900x300,2127675,,Corretta,1
