Categoria,Nome Elemento,ID Elemento,Stato
Griglie,01,4614211,1
Griglie,02,4614212,1
Griglie,03,4614213,1
Griglie,04,4614214,1
Griglie,05,4614215,1
Griglie,06,4614216,1
Griglie,07,4614217,1
Griglie,08,4614218,1
Griglie,09,4614219,1
Griglie,10,4614220,1
Griglie,11,4614221,1
Griglie,12,4614222,1
Griglie,13,4614223,1
Griglie,14,4614224,1
Griglie,15,4614225,1
Griglie,16,4614226,1
Griglie,17,4614227,1
Griglie,18,4614228,1
Griglie,19,4614229,1
Griglie,20,4614230,1
Griglie,21,4614231,1
Griglie,22,4614232,1
Griglie,23,4614233,1
Griglie,24,4614234,1
Griglie,25,4614235,1
Griglie,28,4614236,1
Griglie,A,4614237,1
Griglie,B,4614238,1
Griglie,C,4614239,1
Griglie,D,4614240,1
Griglie,E,4614241,1
Griglie,G,4614242,1
Griglie,H,4614243,1
Griglie,J,4614244,1
Griglie,K,4614245,1
Griglie,L,4614246,1
Griglie,M,4614247,1
Griglie,I,4614248,1
Griglie,F,4614249,1
Griglie,26,4614250,1
Griglie,27,4614251,1
Griglie,A',4614252,1
Griglie,B',4614253,1
Griglie,15'',4614254,1
Griglie,15',4614255,1
Griglie,21',4614256,1
Griglie,E',4614257,1
Griglie,12',4614258,1
Griglie,13',4614259,1
Griglie,D',4614260,1
Griglie,A'',4614261,1
Livelli,AR_LIV_PE_P00_+0.00m,1941232,1
Livelli,AR_LIV_PE_P01_+5.20m,1941233,1
Livelli,AR_LIV_PE_P02_+10.40m,1941234,1
Livelli,AR_LIV_PE_PC2_+15.73m,1941235,1
Livelli,AR_LIV_PE_PC1_+12.83m,1941236,1
Livelli,AR_LIV_PE_PC3_+20.17m,1941237,1
