Nome Materiale,ID Elemento,Verifica,Stato
Default,23,Codice non trovato nel database,0
Muro di default,24,Codice non trovato nel database,0
Fase - Demolizione,27,Codice non trovato nel database,0
Fase - Esistente,28,Codice non trovato nel database,0
Fase - Temporaneo,29,Codice non trovato nel database,0
"Mattone, Comune",414,Codice non trovato nel database,0
Muratura in blocchi di calcestruzzo,415,Codice non trovato nel database,0
Rivestimento pilastro in metallo,416,Codice non trovato nel database,0
"Compensato, rivestimento",417,Codice non trovato nel database,0
Aria,418,Codice non trovato nel database,0
Barriera alle infiltrazioni d'aria,419,Codice non trovato nel database,0
Resistente al vapore,421,Codice non trovato nel database,0
Pannello in gesso,423,Codice non trovato nel database,0
Terra,519,Codice non trovato nel database,0
"Calcestruzzo, gettato in opera",523,Codice non trovato nel database,0
Pavimento di default,758,Codice non trovato nel database,0
"Copertura, membrana EPDM",792,Codice non trovato nel database,0
"Bitume, Asfalto",865,Codice non trovato nel database,0
Pannello di controsoffittatura 600 x 600,7247,Codice non trovato nel database,0
Fase - Nuova,8798,Codice non trovato nel database,0
Poche,51455,Codice non trovato nel database,0
"Acciaio, 45-345",85087,Codice non trovato nel database,0
"Acciaio, Finitura verniciata, Avorio, Lucido",127667,Codice non trovato nel database,0
Pavimento massa di default,498507,Codice non trovato nel database,0
Apertura massa di default,498510,Codice non trovato nel database,0
Ombra massa di default,498511,Codice non trovato nel database,0
"Legno dolce, legname",498513,Codice non trovato nel database,0
"Vetro, vetrata trasparente",498514,Codice non trovato nel database,0
Isolamento - Ripiegatura condotto,550961,Codice non trovato nel database,0
Isolamento - Fibra di vetro,550962,Codice non trovato nel database,0
Isolamento - Fibra di vetro con rivestimento PVC,550963,Codice non trovato nel database,0
Isolamento - Pannello di fibra rigida,550964,Codice non trovato nel database,0
Rivestimento - Pannello fibra di vetro,550965,Codice non trovato nel database,0
Rivestimento - Tessile,550966,Codice non trovato nel database,0
"Acciaio, carbonio",557974,Codice non trovato nel database,0
Rame,557980,Codice non trovato nel database,0
"Ferro, duttile",557992,Codice non trovato nel database,0
Cloruro di polivinile - Rigido,560006,Codice non trovato nel database,0
Acciaio inossidabile,560012,Codice non trovato nel database,0
Sistemi-zone,908462,Codice non trovato nel database,0
P3 - Alluminio,920250,Codice non trovato nel database,0
P3 - Supply Air,920453,Codice non trovato nel database,0
SGS_GS_Ossigeno,941422,Numero campi errato,0
SGS_GS_Ossigeno,941422,Codice non trovato nel database,0
SGS_GS_Aria comp med 4bar,941423,Numero campi errato,0
SGS_GS_Aria comp med 4bar,941423,Codice non trovato nel database,0
SGS_GS_Anidride Carbonica,941424,Numero campi errato,0
SGS_GS_Anidride Carbonica,941424,Codice non trovato nel database,0
SGS_GS_Aria comp str 8bar,941425,Numero campi errato,0
SGS_GS_Aria comp str 8bar,941425,Codice non trovato nel database,0
SGS_GS_Azoto,941431,Numero campi errato,0
SGS_GS_Azoto,941431,Codice non trovato nel database,0
SGS_GS_Evaquazione Gas Anestetici,941432,Numero campi errato,0
SGS_GS_Evaquazione Gas Anestetici,941432,Codice non trovato nel database,0
SGS_GS_Aria comp,941433,Numero campi errato,0
SGS_GS_Aria comp,941433,Codice non trovato nel database,0
SGS_GS_Protossido d'Azoto,941434,Numero campi errato,0
SGS_GS_Protossido d'Azoto,941434,Codice non trovato nel database,0
SGS_GS_Vuoto,941470,Numero campi errato,0
SGS_GS_Vuoto,941470,Codice non trovato nel database,0
SGS_AR_Aria mandata,941471,Numero campi errato,0
SGS_AR_Aria mandata,941471,Codice non trovato nel database,0
SGS_AR_Aria ripresa,941472,Numero campi errato,0
SGS_AR_Aria ripresa,941472,Codice non trovato nel database,0
SGS_AR_Aria espulsione,941473,Numero campi errato,0
