Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
IM_TUB_ARF_VEN_Ventilazione scarico,IfcDistributionSystem,Non trovato,2RGybR2LH23f_O69uDOqrr,Non trovato,1443777,Non presente in IFC,0
IM_TUB_ARF_VEN_Ventilazione scarico,IfcDistributionSystem,Non trovato,1cD6Hb3Nj0k8sY0Qz4uWNW,Non trovato,1448430,Non presente in IFC,0
IM_TUB_ARF_VEN_Ventilazione scarico,IfcDistributionSystem,Non trovato,1cD6Hb3Nj0k8sY0Qz4uWO9,Non trovato,1448455,Non presente in IFC,0
IM_PAF_RIG_Pvc_Curva doppia-Curva doppia,IfcPipeFitting,Non trovato,33_hbKZ152zPA_HPYD1vlL,Non trovato,1449300,Non presente in IFC,0
Curva doppia,IfcPipeFitting,Non trovato,33_hbKZ152zPA_HPYD1vlL,Non trovato,1449301,Non presente in IFC,0
IM_TUB_ARF_VEN_Ventilazione scarico,IfcDistributionSystem,Non trovato,0_tlSgIsPBWPIAIjQznmJ_,Non trovato,1454294,Non presente in IFC,0
IM_TUB_ARF_VEN_Ventilazione scarico,IfcDistributionSystem,Non trovato,3uKetgye1E3eBo5aefS$UL,Non trovato,1456162,Non presente in IFC,0
IM_PAF_RIG_Pvc_Curva doppia-Curva doppia,IfcPipeFitting,Non trovato,3BApeZpEX7IAA_ELmI3zlR,Non trovato,1456243,Non presente in IFC,0
Curva doppia,IfcPipeFitting,Non trovato,3BApeZpEX7IAA_ELmI3zlR,Non trovato,1456244,Non presente in IFC,0
IM_TUB_ARF_VEN_Ventilazione scarico,IfcDistributionSystem,Non trovato,0jhYNVtRjC5O2nDmvhZQyj,Non trovato,1456368,Non presente in IFC,0
IM_PAF_RIG_Pvc_Curva doppia-Curva doppia,IfcPipeFitting,Non trovato,0jhYNVtRjC5O2nDmvhZQya,Non trovato,1456377,Non presente in IFC,0
Curva doppia,IfcPipeFitting,Non trovato,0jhYNVtRjC5O2nDmvhZQya,Non trovato,1456378,Non presente in IFC,0
IM_TUB_ARF_VEN_Ventilazione scarico,IfcDistributionSystem,Non trovato,0jhYNVtRjC5O2nDmvhZQxq,Non trovato,1456425,Non presente in IFC,0
