Categoria,Nome Elemento,ID Elemento,Verifica,Offset Rilevato,Stato
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1449300,Oggetto conforme.,2.9700000000000002,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1449302,Oggetto conforme.,2.9700000000000002,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1449304,Oggetto conforme.,3.0899999999999999,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva,1449702,Oggetto conforme.,3.7400000000000002,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva,1449797,Oggetto conforme.,4.0700000000000003,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva,1455106,Oggetto conforme.,4.1299999999999999,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1456243,Offset Negativo.,-1.1599999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1456257,Offset Negativo.,-0.46999999999999997,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1456259,Offset Negativo.,-0.58999999999999997,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1456377,Offset Negativo.,-0.90000000000000002,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva,1456602,Oggetto conforme.,4.1699999999999999,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1456610,Offset Negativo.,-0.73999999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1456612,Offset Negativo.,-0.46000000000000002,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1456614,Offset Negativo.,-0.33000000000000002,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1473276,Offset Negativo.,-5.5800000000000001,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1473350,Offset Negativo.,-5.1699999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1473352,Offset Negativo.,-5.29,0
Raccordi tubazione,IM_PAF_TEE_Pvc_T standard,1477513,Offset Negativo.,-0.88,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva,1481382,Offset Negativo.,-0.42999999999999999,0
Raccordi tubazione,IM_PAF_TEE_Pvc_T standard,1481544,Offset Negativo.,-0.42999999999999999,0
Raccordi tubazione,IM_PAF_TEE_Pvc_T standard,1482216,Oggetto conforme.,2.71,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1484650,Oggetto conforme.,3.25,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1484652,Oggetto conforme.,3.8900000000000001,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1484654,Oggetto conforme.,3.8900000000000001,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1484664,Oggetto conforme.,3.25,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1484666,Oggetto conforme.,3.8999999999999999,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1484668,Oggetto sopra l'interpiano.,5.54,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1484979,Oggetto conforme.,3.1699999999999999,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1484981,Oggetto conforme.,3.9300000000000002,1
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva 45 per gomito,1484983,Oggetto sopra l'interpiano.,5.3399999999999999,0
Raccordi tubazione,IM_PAF_RIG_Pvc_Curva doppia,1492360,Offset Negativo.,-5.5899999999999999,0
