Categoria,Nome Famiglia,Nome Tipo,ID Elemento,IFC Class,Stato
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1434996,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1442074,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1442658,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1443666,IfcPipeSegment,1
OST_PipingSystem,Sistema di tubazioni,IM_TUB_ARF_VEN_Ventilazione scarico,1443777,IfcDistributionSystem,1
OST_PipingSystem,Sistema di tubazioni,IM_TUB_ARF_VEN_Ventilazione scarico,1448430,IfcDistributionSystem,1
OST_PipingSystem,Sistema di tubazioni,IM_TUB_ARF_VEN_Ventilazione scarico,1448455,IfcDistributionSystem,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1449011,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1449143,IfcPipeSegment,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva doppia,Curva doppia,1449300,IfcPipeFitting,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva 45 per gomito,Standard,1449302,IfcPipeFitting,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva 45 per gomito,Standard,1449304,IfcPipeFitting,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1449648,IfcPipeSegment,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva,Curva,1449702,IfcPipeFitting,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva,Curva,1449797,IfcPipeFitting,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1453649,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1453843,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1454292,IfcPipeSegment,1
OST_PipingSystem,Sistema di tubazioni,IM_TUB_ARF_VEN_Ventilazione scarico,1454294,IfcDistributionSystem,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1454370,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1454378,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1454835,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1454841,IfcPipeSegment,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva,Curva,1455106,IfcPipeFitting,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1455395,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1455744,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1455746,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1456140,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1456148,IfcPipeSegment,1
OST_PipingSystem,Sistema di tubazioni,IM_TUB_ARF_VEN_Ventilazione scarico,1456162,IfcDistributionSystem,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1456241,IfcPipeSegment,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva doppia,Curva doppia,1456243,IfcPipeFitting,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva 45 per gomito,Standard,1456257,IfcPipeFitting,1
OST_PipeFitting,IM_PAF_RIG_Pvc_Curva 45 per gomito,Standard,1456259,IfcPipeFitting,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_SILENZIATO,1456314,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1456342,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1456346,IfcPipeSegment,1
OST_PipeCurves,Tubazione,IM_TUB_Pvc_NON SILENZIATO,1456354,IfcPipeSegment,1
