Tipo Verifica,Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Vincoli Livelli,Tubazioni,1434996,1434996,AR_LIV_PE_P01_+5.20m,-,4.2190000000000003,11.013,Offset superiore all'interpiano.,0
Vincoli Livelli,Tubazioni,1442074,1442074,AR_LIV_PE_P01_+5.20m,-,-0.94499999999999995,-0.92800000000000005,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1443666,1443666,AR_LIV_PE_P01_+5.20m,-,4.1529999999999996,10.868,Offset superiore all'interpiano.,0
Vincoli Livelli,Tubazioni,1449011,1449011,AR_LIV_PE_P01_+5.20m,-,3.1760000000000002,3.6509999999999998,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1449143,1449143,AR_LIV_PE_P01_+5.20m,-,2.9630000000000001,2.9689999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1449648,1449648,AR_LIV_PE_P01_+5.20m,-,3.8109999999999999,3.9929999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1453649,1453649,AR_LIV_PE_P01_+5.20m,-,4.048,8.7750000000000004,Offset superiore all'interpiano.,0
Vincoli Livelli,Tubazioni,1453843,1453843,AR_LIV_PE_P01_+5.20m,-,-0.82199999999999995,-0.81999999999999995,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1454292,1454292,AR_LIV_PE_P01_+5.20m,-,4.2110000000000003,10.826000000000001,Offset superiore all'interpiano.,0
Vincoli Livelli,Tubazioni,1454370,1454370,AR_LIV_PE_P01_+5.20m,-,3.6589999999999998,4.0490000000000004,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1454378,1454378,AR_LIV_PE_P01_+5.20m,-,3.1850000000000001,3.4969999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1454835,1454835,AR_LIV_PE_P01_+5.20m,-,2.9729999999999999,2.9780000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1454841,1454841,AR_LIV_PE_P01_+5.20m,-,0.27300000000000002,2.766,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1455395,1455395,AR_LIV_PE_P01_+5.20m,-,-0.66400000000000003,-0.65100000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1455744,1455744,AR_LIV_PE_P01_+5.20m,-,-0.0089999999999999993,2.742,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1455746,1455746,AR_LIV_PE_P01_+5.20m,-,-1.157,-1.1140000000000001,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456140,1456140,AR_LIV_PE_P01_+5.20m,-,3.1880000000000002,3.77,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456148,1456148,AR_LIV_PE_P01_+5.20m,-,2.9750000000000001,2.9809999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456241,1456241,AR_LIV_PE_P01_+5.20m,-,-5.375,-1.3640000000000001,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456314,1456314,AR_LIV_PE_P01_+5.20m,-,-0.435,-0.40200000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456342,1456342,AR_LIV_PE_P01_+5.20m,-,4.0590000000000002,8.7690000000000001,Offset superiore all'interpiano.,0
Vincoli Livelli,Tubazioni,1456346,1456346,AR_LIV_PE_P01_+5.20m,-,3.0640000000000001,3.641,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456354,1456354,AR_LIV_PE_P01_+5.20m,-,2.972,2.9780000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456373,1456373,AR_LIV_PE_P01_+5.20m,-,-0.91900000000000004,-0.91400000000000003,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456387,1456387,AR_LIV_PE_P01_+5.20m,-,3.1709999999999998,3.77,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456395,1456395,AR_LIV_PE_P01_+5.20m,-,2.9660000000000002,2.9660000000000002,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456409,1456409,AR_LIV_PE_P01_+5.20m,-,-5.3810000000000002,-1.1259999999999999,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456554,1456554,AR_LIV_PE_P01_+5.20m,-,-0.97799999999999998,-0.96499999999999997,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456556,1456556,AR_LIV_PE_P01_+5.20m,-,-5.4009999999999998,-1.1830000000000001,Elemento MEP correttamente posizionato su livello AR.,1
Vincoli Livelli,Tubazioni,1456578,1456578,AR_LIV_PE_P01_+5.20m,-,4.2510000000000003,8.7690000000000001,Offset superiore all'interpiano.,0
Vincoli Livelli,Tubazioni,1456580,1456580,AR_LIV_PE_P01_+5.20m,-,3.6989999999999998,4.0890000000000004,Elemento MEP correttamente posizionato su livello AR.,1
