Nome Parametro,GUID Parametro,Stato
XXX_TBS_I_ProgressivoTipo,e2d2601f-ce7e-44ce-ac23-68205d59d7e6,1
XXX_TBS_I_ApprovedBy03,0e70b637-9f49-44b9-bdb9-14040b040652,1
XXX_TBS_I_SistemaArgomento,126b7b3d-90ae-4894-a7d0-d7948369dc10,1
XXX_TBS_I_Zona,7dbd4545-5c25-4b27-b323-6e34ca1535de,1
XXX_TBS_I_Progressivo,85d34c7d-1f10-4282-b7af-df18d0ace306,1
XXX_TBS_I_CheckedBy03,30bdb28e-2d3c-4b09-97f8-ca3df2825cb3,1
XXX_TBS_I_ApprovedBy01,1cc0c69c-0bdb-4178-b6c2-7d8b0a24ba60,1
XXX_TBS_I_ApprovedBy02,6dd614ac-8bac-4f44-b267-6eb9049660ef,1
XXX_TBS_I_CheckedBy01,392e3eca-bff0-4de4-b9c5-92e7e926eecc,1
XXX_TBS_I_CodiceEnac,78811dce-3f39-4568-ac21-4668472bb993,1
XXX_TBS_I_DrawnBy03,3383aace-33b1-46fb-bc25-2a9a805655f5,1
XXX_TBS_I_Tipo,b0fde7d3-7116-48e1-b6d6-8545797a7d98,1
XXX_TBS_I_CheckedBy02,531c16e1-6c80-450c-8ff2-59e48e0fd2f7,1
XXX_TBS_I_Fase,740585e8-ed9f-4306-8972-9e0bfcb8edd8,1
XXX_TBS_I_DrawnBy01,b362b3eb-dbcb-44cc-8540-9ea88602886e,1
XXX_TBS_I_DrawnBy02,d3b9e4f6-031f-4cab-ac1d-296e883769c2,1
Browser Organization Level 02,8b527f45-50a5-4e65-a901-c3cdb93d38b8,1
Browser Organization Level 01,af407b79-8266-4951-b3cd-1bb0f67a37ad,1
IfcName,06a8b8aa-a6bd-40d9-ad74-158600dd5e27,1
IfcDescription,a5d57ace-5d40-4f93-93ae-090e47997cfa,1
IfcObjectType,94ff86d3-bebc-4dac-a5c9-67e80de0f83f,1
SiteDescription,f62eaae5-1da7-47c4-a54d-854b3a8ed245,1
SiteName,c80accfb-a252-477e-8ac5-77e8e9348e31,1
GEO_GEN_T_Dettaglio,6db9f715-525b-4a3c-a178-f395f28b541b,1
GEO_GEN_T_Posizione,691f0524-1e2a-47b7-b504-b8c7f21f4300,1
GEO_GEN_T_Dimensionalità,d85289be-6622-472d-90d2-22bd67ac7337,1
IDE_GEN_I_Wbs3,1dcd2308-0d78-4990-a96e-81f5b7b1873c,1
IDE_GEN_I_Wbs5,087c9819-1292-4c11-8159-cf54e8ecfc28,1
IDE_GEN_I_Wbs4,3a91b93b-5327-44e9-972f-2977473c636f,1
IDE_GEN_I_Wbs0,34cf2c85-b5aa-4ca2-a345-799d32d71a0e,1
IDE_GEN_T_Sottoclasse,0b88458a-5e3b-41f0-a990-ac65db098cef,1
IDE_GEN_I_Wbs6,fc61bd91-07a5-4f2d-abb4-4fd646383d51,1
IDE_GEN_I_Wbs2,9582489d-8535-4411-86d7-bcdc9cc76c59,1
IDE_GEN_T_Classe,19b046e4-448b-4cbf-8c1c-5fc9ac2bccc6,1
IDE_GEN_I_Wbs1,6c6290e7-94e0-4815-b163-c03e4ac32f0e,1
SPE_STR_T_Classe di acciaio,5e128830-e247-4a37-985c-fb2804339579,0
SPE_STR_T_Classe di esposizione,66d1d433-3faa-4381-bc83-eb541a9c0297,0
SPE_STR_T_NumeroPali,91198e39-0bb9-4cf0-bbc6-ce40105934e1,0
SPE_STR_T_Classe di resistenza,e7934941-0a5d-4878-828c-3fba21ffbbcb,0
SPE_STR_I_Piolatura,04cd8b43-0001-4439-9d26-bbfc1482873c,0
SPE_STR_T_IncidenzaArmatura,ee2bfb99-be1b-4ab6-baea-7da4809e7d58,0
SPE_STR_I_CopriferroNetto,4e582bb7-25c0-4524-b260-6cdf18c36920,0
SPE_STR_I_TipoTrattamento,18e9e2cf-1019-4f79-9925-9b30a9e37341,0
SPE_POR_I_PstrikeMagnetico,bdd8271e-691b-44f4-9dfc-b38ea082bdd9,0
SPE_POR_T_TipoApertura,5d6d732d-1816-4956-ad50-ef4981072e1a,0
SPE_POR_I_ManigliaInterna,57c78238-f2fc-41d3-b514-b17c986cb90c,0
SPE_POR_I_PresenzaBadge,b5fb3441-e075-4641-91c2-459901e97765,0
SPE_POR_I_ManiglioneASpinta,c6215548-577e-464e-87c8-2f5babf90ccc,0
SPE_POR_T_AperturaMotorizzata,468a715b-3695-4b2c-a3e8-1716130d2008,0
SPE_POR_I_FermaportaElettromagnetico,c1b94c6e-6229-4c69-9023-f53853b24b66,0
SPE_POR_I_ManigliaEsterna,0c50f3aa-48aa-4b36-bb55-b0922446f8b5,0
SPE_POR_I_CilindroElettronico,7c8908ad-6017-49fd-96a3-92963595244c,0
SPE_POR_I_SerraturaElettrica,7afd03df-da3a-44d2-9737-72ac802f1c8b,0
SPE_POR_I_ManiglioneAntipanico,04286fe9-8bff-492e-9b16-576d30eb1a16,0
SPE_POR_I_UscitaDiEmergenza,7f80d0f5-9fc0-4287-94be-bdfc99860e6a,0
SPE_MUR_I_AltezzaFinituraMuro,cbeae45f-0a94-4ea4-88cc-d154c369412d,0
SPE_MUR_I_DescrizioneFinitura,dad75680-35aa-4fd9-b62a-5529a7946f33,0
SPE_IMM_I_PrevalenzaNettaMandata,33280f0d-b1cb-4fa8-98fc-d03c5173831e,0
SPE_IMM_I_TipoValvola,92a43440-bad4-47f6-a387-40f3c3588c49,0
SPE_IMM_I_PortataMandata,98776543-0ced-4917-9679-2fe6c5a4d723,0
SPE_IMM_T_TemperaturaFluidoRefrigerato,d6730246-c9c2-4a07-a7ee-608b4453b3d0,0
SPE_IMM_T_TemperaturaFluidoRiscaldato,005e5f49-f557-4aa4-a413-a77d35875b60,0
SPE_IMM_I_DeltaTemperaturaAcquaCalda,b97aeb66-c7be-4952-a510-603cf9493374,0
SPE_IMM_T_PotenzaTermicaRaffrescamento,8171fc66-b25c-44f1-aa7f-83da2a76296d,0
SPE_IMM_I_PotenzaFrigoriferaBatteria,28260f70-210a-430d-bebc-46f3fb441d45,0
