Nome Materiale,ID Elemento,Verifica,Stato
Blocchi calcestruzzo pieni,195458,Codice non trovato nel database,0
Blocchi laterizio,195459,Codice non trovato nel database,0
Griglia metallica,195470,Codice non trovato nel database,0
Legno lamellare,195488,Codice non trovato nel database,0
Magrone,195492,Codice non trovato nel database,0
Glass,251257,Codice non trovato nel database,0
Acciaio,251271,Codice non trovato nel database,0
Lamiera mandorlata,300242,Codice non trovato nel database,0
Lamiera bugnata,461064,Codice non trovato nel database,0
Malta espansiva,467242,Codice non trovato nel database,0
Earth,545377,Codice non trovato nel database,0
Blocchi calcestruzzo forati,555504,Codice non trovato nel database,0
Calcestruzzo armato,725500,Codice non trovato nel database,0
Solaio misto grecato collaborante,725503,Codice non trovato nel database,0
Default,844399,Codice non trovato nel database,0
Fase - Temporaneo,844400,Codice non trovato nel database,0
Default - Arredi,844401,Codice non trovato nel database,0
Default - Controsoffitto,844402,Codice non trovato nel database,0
Default - Finestre,844403,Codice non trovato nel database,0
Default - Calcestruzzo,844404,Codice non trovato nel database,0
Default - Vetro,844405,Codice non trovato nel database,0
Default - Tetto,844406,Codice non trovato nel database,0
Default - Topografia,844407,Codice non trovato nel database,0
Forma di default,844408,Codice non trovato nel database,0
Muro di default,844409,Codice non trovato nel database,0
Poche,844410,Codice non trovato nel database,0
Sistemi-zone,844411,Codice non trovato nel database,0
Vani analitici,844412,Codice non trovato nel database,0
Muri esterni,844413,Codice non trovato nel database,0
Tetti,844414,Codice non trovato nel database,0
Solai di fondazione,844415,Codice non trovato nel database,0
Muri interni,844416,Codice non trovato nel database,0
Pavimenti interni,844417,Codice non trovato nel database,0
Controsoffitti,844418,Codice non trovato nel database,0
Superfici d'aria,844419,Codice non trovato nel database,0
Muri interrati,844420,Codice non trovato nel database,0
Finestre apribili,844421,Codice non trovato nel database,0
Lucernari apribili,844422,Codice non trovato nel database,0
Porte scorrevoli,844423,Codice non trovato nel database,0
Aperture di aerazione,844424,Codice non trovato nel database,0
Ombre,844425,Codice non trovato nel database,0
Pannelli analitici,844426,Codice non trovato nel database,0
Carichi analitici elettrici,844427,Codice non trovato nel database,0
Tetto di default,844428,Codice non trovato nel database,0
Sorgente d'illuminazione di default,844429,Codice non trovato nel database,0
Superficie pavimento analitico,844430,Codice non trovato nel database,0
Superficie solaio analitico,844431,Codice non trovato nel database,0
Superficie muro analitico,844432,Codice non trovato nel database,0
Fase-Demo,844433,Codice non trovato nel database,0
Fase-Esistente,844434,Codice non trovato nel database,0
Fase-Temporaneo,844435,Codice non trovato nel database,0
Vetro,844436,Codice non trovato nel database,0
Superficie analitica - Muri esterni,844437,Codice non trovato nel database,0
Superficie analitica - Tetti,844438,Codice non trovato nel database,0
Superficie analitica - Solaio di fondazione,844439,Codice non trovato nel database,0
Superficie analitica - Muri interni,844440,Codice non trovato nel database,0
Superficie analitica - Pavimenti interni,844441,Codice non trovato nel database,0
Superficie analitica - Controsoffitti,844442,Codice non trovato nel database,0
Superficie analitica - Superfici d'aria,844443,Codice non trovato nel database,0
Superficie analitica - Muri interrati,844444,Codice non trovato nel database,0
Superficie analitica - Finestre apribili,844445,Codice non trovato nel database,0
Superficie analitica - Lucernari apribili,844446,Codice non trovato nel database,0
Superficie analitica - Porte scorrevoli,844447,Codice non trovato nel database,0
Superficie analitica - Aperture di aerazione,844448,Codice non trovato nel database,0
Superficie analitica - Avvolgibili,844449,Codice non trovato nel database,0
Metallo - Acciaio - 345 MPa,847353,Codice non trovato nel database,0
_Emaco,847355,Numero campi errato,0
_Emaco,847355,Codice non trovato nel database,0
_Magrone/sabbia stabilizzata,849126,Numero campi errato,0
_Magrone/sabbia stabilizzata,849126,Codice non trovato nel database,0
Dynamo,850659,Codice non trovato nel database,0
DynamoError,850660,Codice non trovato nel database,0
Fase - Demolizione,853411,Codice non trovato nel database,0
Fase - Esistente,853412,Codice non trovato nel database,0
