Categoria,Id Elemento,Livello Base,Livello Superiore,Verifica,Stato
Pilastri strutturali,681944,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682354,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682409,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682419,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682520,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682521,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682522,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682523,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682534,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682535,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682536,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682537,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682550,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682551,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682552,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682553,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682564,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682565,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682566,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682567,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682578,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682579,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682580,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682581,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682594,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682595,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682596,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682597,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682608,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682609,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682610,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682611,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682650,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682651,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682652,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682653,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682668,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682669,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682670,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,682671,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,682684,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682685,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682686,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,682687,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,718209,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,724732,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC1_+12.50m,1.1399999999999999,Elemento vincolato correttamente tra livelli.,1
