Categoria,ID Elemento,Verifica,Offset Rilevato,Stato
Pilastri strutturali,681944,Oggetto conforme.,0.0,1
Pilastri strutturali,682354,Oggetto conforme.,0.0,1
Pilastri strutturali,682409,Oggetto conforme.,0.0,1
Pilastri strutturali,682419,Oggetto conforme.,0.0,1
Pilastri strutturali,682520,Oggetto conforme.,0.0,1
Pilastri strutturali,682521,Oggetto conforme.,0.0,1
Pilastri strutturali,682522,Oggetto conforme.,0.0,1
Pilastri strutturali,682523,Oggetto conforme.,0.0,1
Pilastri strutturali,682534,Oggetto conforme.,0.0,1
Pilastri strutturali,682535,Oggetto conforme.,0.0,1
Pilastri strutturali,682536,Oggetto conforme.,0.0,1
Pilastri strutturali,682537,Oggetto conforme.,0.0,1
Pilastri strutturali,682550,Oggetto conforme.,0.0,1
Pilastri strutturali,682551,Oggetto conforme.,0.0,1
Pilastri strutturali,682552,Oggetto conforme.,0.0,1
Pilastri strutturali,682553,Oggetto conforme.,0.0,1
Pilastri strutturali,682564,Oggetto conforme.,0.0,1
Pilastri strutturali,682565,Oggetto conforme.,0.0,1
Pilastri strutturali,682566,Oggetto conforme.,0.0,1
Pilastri strutturali,682567,Oggetto conforme.,0.0,1
Pilastri strutturali,682578,Oggetto conforme.,0.0,1
Pilastri strutturali,682579,Oggetto conforme.,0.0,1
Pilastri strutturali,682580,Oggetto conforme.,0.0,1
Pilastri strutturali,682581,Oggetto conforme.,0.0,1
Pilastri strutturali,682594,Oggetto conforme.,0.0,1
Pilastri strutturali,682595,Oggetto conforme.,0.0,1
Pilastri strutturali,682596,Oggetto conforme.,0.0,1
Pilastri strutturali,682597,Oggetto conforme.,0.0,1
Pilastri strutturali,682608,Oggetto conforme.,0.0,1
Pilastri strutturali,682609,Oggetto conforme.,0.0,1
Pilastri strutturali,682610,Oggetto conforme.,0.0,1
Pilastri strutturali,682611,Oggetto conforme.,0.0,1
Pilastri strutturali,682650,Oggetto conforme.,0.0,1
Pilastri strutturali,682651,Oggetto conforme.,0.0,1
Pilastri strutturali,682652,Oggetto conforme.,0.0,1
Pilastri strutturali,682653,Oggetto conforme.,0.0,1
Pilastri strutturali,682668,Oggetto conforme.,0.0,1
Pilastri strutturali,682669,Oggetto conforme.,0.0,1
Pilastri strutturali,682670,Oggetto conforme.,0.0,1
Pilastri strutturali,682671,Oggetto conforme.,0.0,1
Pilastri strutturali,682684,Oggetto conforme.,0.0,1
Pilastri strutturali,682685,Oggetto conforme.,0.0,1
Pilastri strutturali,682686,Oggetto conforme.,0.0,1
Pilastri strutturali,682687,Oggetto conforme.,0.0,1
Pilastri strutturali,718209,Oggetto conforme.,0.0,1
Pilastri strutturali,724732,Oggetto conforme.,0.0,1
