Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
ST_PAV_MST_130mm_MistoGrecato,IfcSlab,Non trovato,0$rAP93zHA4v6v0z$AkyuC,Non trovato,692372,Non presente in IFC,0
INC_TelST_TS.CA_MensolaInclinata - CA-550x(520/200),IfcBeam,3YrX2ypZ55hglrO1xwQ9Y5,3YrX2ypZ55hglrO1xwQ9Y5,721041,721041,Corretto,1
INC_TelST_TS.CA_MensolaInclinata - CA-550x(520/200),IfcBeam,3YrX2ypZ55hglrO1xwQ9fc,3YrX2ypZ55hglrO1xwQ9fc,721522,721522,Corretto,1
INC_TelST_TS.CA_MensolaInclinata - CA-550x(520/200),IfcBeam,3YrX2ypZ55hglrO1xwQ9hk,3YrX2ypZ55hglrO1xwQ9hk,721658,721658,Corretto,1
INC_TelST_TS.CA_MensolaInclinata - CA-550x(520/200),IfcBeam,28ENyKvvX7SfSgbRHBLIwP,28ENyKvvX7SfSgbRHBLIwP,722385,722385,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFARtz,1Fu$HxwHr1TgMzF3kFARtz,700597,700597,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFARt_,1Fu$HxwHr1TgMzF3kFARt_,700598,700598,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFARt$,1Fu$HxwHr1TgMzF3kFARt$,700599,700599,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFARtm,1Fu$HxwHr1TgMzF3kFARtm,700600,700600,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_0,1Fu$HxwHr1TgMzF3kFAS_0,705224,705224,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_1,1Fu$HxwHr1TgMzF3kFAS_1,705225,705225,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_2,1Fu$HxwHr1TgMzF3kFAS_2,705226,705226,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_3,1Fu$HxwHr1TgMzF3kFAS_3,705227,705227,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_S,1Fu$HxwHr1TgMzF3kFAS_S,705236,705236,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_T,1Fu$HxwHr1TgMzF3kFAS_T,705237,705237,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_U,1Fu$HxwHr1TgMzF3kFAS_U,705238,705238,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_V,1Fu$HxwHr1TgMzF3kFAS_V,705239,705239,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_e,1Fu$HxwHr1TgMzF3kFAS_e,705248,705248,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_f,1Fu$HxwHr1TgMzF3kFAS_f,705249,705249,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_g,1Fu$HxwHr1TgMzF3kFAS_g,705250,705250,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_h,1Fu$HxwHr1TgMzF3kFAS_h,705251,705251,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_a,1Fu$HxwHr1TgMzF3kFAS_a,705260,705260,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_b,1Fu$HxwHr1TgMzF3kFAS_b,705261,705261,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_c,1Fu$HxwHr1TgMzF3kFAS_c,705262,705262,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_d,1Fu$HxwHr1TgMzF3kFAS_d,705263,705263,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_o,1Fu$HxwHr1TgMzF3kFAS_o,705274,705274,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_p,1Fu$HxwHr1TgMzF3kFAS_p,705275,705275,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_q,1Fu$HxwHr1TgMzF3kFAS_q,705276,705276,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFAS_r,1Fu$HxwHr1TgMzF3kFAS_r,705277,705277,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASv0,1Fu$HxwHr1TgMzF3kFASv0,705288,705288,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASv1,1Fu$HxwHr1TgMzF3kFASv1,705289,705289,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASv2,1Fu$HxwHr1TgMzF3kFASv2,705290,705290,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASv3,1Fu$HxwHr1TgMzF3kFASv3,705291,705291,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvS,1Fu$HxwHr1TgMzF3kFASvS,705300,705300,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvT,1Fu$HxwHr1TgMzF3kFASvT,705301,705301,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvU,1Fu$HxwHr1TgMzF3kFASvU,705302,705302,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvV,1Fu$HxwHr1TgMzF3kFASvV,705303,705303,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASve,1Fu$HxwHr1TgMzF3kFASve,705312,705312,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvf,1Fu$HxwHr1TgMzF3kFASvf,705313,705313,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvg,1Fu$HxwHr1TgMzF3kFASvg,705314,705314,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvh,1Fu$HxwHr1TgMzF3kFASvh,705315,705315,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvm,1Fu$HxwHr1TgMzF3kFASvm,705336,705336,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvn,1Fu$HxwHr1TgMzF3kFASvn,705337,705337,Corretto,1
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,1Fu$HxwHr1TgMzF3kFASvo,1Fu$HxwHr1TgMzF3kFASvo,705338,705338,Corretto,1
