Categoria,ID Elemento,Verifica,Offset Rilevato,Stato
Fondazioni strutturali,699381,Oggetto conforme.,0.0,1
Fondazioni strutturali,700597,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,700598,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,700599,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,700600,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705223,Oggetto conforme.,0.0,1
Fondazioni strutturali,705224,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705225,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705226,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705227,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705235,Oggetto conforme.,0.0,1
Fondazioni strutturali,705236,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705237,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705238,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705239,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705247,Oggetto conforme.,0.0,1
Fondazioni strutturali,705248,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705249,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705250,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705251,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705259,Oggetto conforme.,0.0,1
Fondazioni strutturali,705260,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705261,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705262,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705263,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705273,Oggetto conforme.,0.0,1
Fondazioni strutturali,705274,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705275,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705276,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705277,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705287,Oggetto conforme.,0.0,1
Fondazioni strutturali,705288,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705289,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705290,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705291,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705299,Oggetto conforme.,0.0,1
Fondazioni strutturali,705300,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705301,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705302,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705303,Offset Negativo.,-1.6000000000000001,0
Fondazioni strutturali,705311,Oggetto conforme.,0.0,1
