Quantità,Nome della famiglia e del Tipo,IFC Element,ID,Valori Parametri,Verifica,Stato
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,721041,"0,73",Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_39x55x(65/30),IfcBeam,806373,"0,63",Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,808666,"0,73",Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_39x55x(65/30),IfcBeam,815214,"0,63",Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1031817,"0,73",Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1032429,"0,73",Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1032596,"0,73",Corretta,1
1,ST_TRA_MEN_Car:ST_TRA_MEN_Car_50x55x(65/30),IfcBeam,1032793,"0,73",Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,684459,"29,26",Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,684956,"32,40",Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,685012,"27,17",Corretta,1
1,Muro di base:ST_MUR_POR_Car_300,IfcWall,685106,"18,10",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,706227,"92,06",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,706228,"23,80",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,706229,"33,96",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,706230,"88,42",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,706714,"25,45",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707171,"29,80",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707268,"23,80",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707524,"81,03",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707525,"95,06",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707526,"35,47",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707699,"81,23",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707895,"29,80",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,707932,"20,77",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,708832,"27,41",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,708833,"21,06",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,708834,"106,27",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,708835,"51,60",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,708998,"22,85",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,709088,"24,24",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,710287,"25,90",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,710289,"106,27",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,710290,"51,60",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,710291,"25,88",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,710292,"21,21",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,719643,"18,80",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,722652,"18,81",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,722690,"10,34",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,722729,"8,15",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,731604,"105,50",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,731710,"27,51",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,732026,"103,99",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,732043,"51,60",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,732730,"6,28",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,732785,"105,22",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,732947,"25,46",Corretta,1
1,Muro di base:ST_MUR_POR_Car_Esterno_300,IfcWall,733176,"10,28",Corretta,1
