Categoria,Id Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Pilastri strutturali,710244,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710258,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710276,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710286,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710296,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710306,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710336,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710346,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710356,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710366,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710390,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710400,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710410,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710480,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,-0.11,0.0,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710490,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710500,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710510,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710534,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710544,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710554,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710564,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,-0.11,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710574,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710761,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710771,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710781,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710791,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710811,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710821,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710833,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710845,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710855,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710865,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710875,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710885,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710895,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710905,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710915,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710933,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710943,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,710955,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710979,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,710989,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711001,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,711009,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711021,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711031,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,711041,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711051,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711065,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711077,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711087,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711097,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711105,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711127,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711137,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P02_+10.28m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711151,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711161,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+15.48m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711171,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711181,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711191,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_PC2_+16.25m,0.0,0.0,Elemento non vincolato correttamente tra livelli.,0
Pilastri strutturali,711203,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
Pilastri strutturali,711213,ST_LIV_PE_P00_-0.48m,ST_LIV_PE_P01_+5.08m,0.0,-0.13,Elemento vincolato correttamente tra livelli.,1
