Qty.,Model,Type Name,Tag,Stato
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1017142,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1017312,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1017475,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1017651,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1034483,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1034628,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1034755,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1034870,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041378,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041394,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041409,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041425,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041463,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041473,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041483,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_Grigliato,1041493,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,1057998,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,1058178,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,1071091,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,1071100,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,1246434,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,1246443,1
1,9nnn_J.002_028_PE_ST_M3_03_00,Pianerottolo non monolitico:ST_PIA_RET_Acc_LamieraPressopiegata,1246705,1
