Nome Materiale,ID Elemento,Verifica,Stato
Glass,251257,Codice non trovato nel database,0
Acciaio,251271,Codice non trovato nel database,0
Earth,545377,Codice non trovato nel database,0
Blocchi calcestruzzo forati,1076911,Codice non trovato nel database,0
Blocchi calcestruzzo pieni,1076912,Codice non trovato nel database,0
Blocchi laterizio,1076913,Codice non trovato nel database,0
Griglia metallica,1076914,Codice non trovato nel database,0
Lamiera bugnata,1076915,Codice non trovato nel database,0
Lamiera mandorlata,1076916,Codice non trovato nel database,0
Legno lamellare,1076917,Codice non trovato nel database,0
Magrone,1076918,Codice non trovato nel database,0
Malta espansiva,1076919,Codice non trovato nel database,0
Solaio misto grecato collaborante,1076920,Codice non trovato nel database,0
FaseCantiere_1,1201149,Numero campi errato,0
FaseCantiere_1,1201149,Codice non trovato nel database,0
FaseCantiere_3,1202556,Numero campi errato,0
FaseCantiere_3,1202556,Codice non trovato nel database,0
Materiale per il rendering 255-255-255,1223645,Codice non trovato nel database,0
Materiale per il rendering 127-0-255,1223648,Codice non trovato nel database,0
Materiale per il rendering 255-0-0,1223651,Codice non trovato nel database,0
Materiale per il rendering 0-255-255,1223656,Codice non trovato nel database,0
Materiale per il rendering 0-127-255,1223662,Codice non trovato nel database,0
FaseCantiere_1Proposta,1231995,Numero campi errato,0
FaseCantiere_1Proposta,1231995,Codice non trovato nel database,0
Default,1237988,Codice non trovato nel database,0
Fase - Temporaneo,1237989,Codice non trovato nel database,0
Default - Arredi,1237990,Codice non trovato nel database,0
Default - Controsoffitto,1237991,Codice non trovato nel database,0
Default - Finestre,1237992,Codice non trovato nel database,0
Default - Calcestruzzo,1237993,Codice non trovato nel database,0
Default - Vetro,1237994,Codice non trovato nel database,0
Default - Tetto,1237995,Codice non trovato nel database,0
Default - Topografia,1237996,Codice non trovato nel database,0
Forma di default,1237997,Codice non trovato nel database,0
Tetto di default,1237998,Codice non trovato nel database,0
Muro di default,1237999,Codice non trovato nel database,0
Poche,1238000,Codice non trovato nel database,0
Sorgente d'illuminazione di default,1238001,Codice non trovato nel database,0
Superficie pavimento analitico,1238002,Codice non trovato nel database,0
Superficie solaio analitico,1238003,Codice non trovato nel database,0
Superficie muro analitico,1238004,Codice non trovato nel database,0
Fase-Demo,1238005,Codice non trovato nel database,0
Fase-Esistente,1238006,Codice non trovato nel database,0
Fase-Temporaneo,1238007,Codice non trovato nel database,0
Vetro,1238008,Codice non trovato nel database,0
Sistemi-zone,1238009,Codice non trovato nel database,0
Vani analitici,1238010,Codice non trovato nel database,0
Muri esterni,1238011,Codice non trovato nel database,0
Tetti,1238012,Codice non trovato nel database,0
Solai di fondazione,1238013,Codice non trovato nel database,0
Muri interni,1238014,Codice non trovato nel database,0
Pavimenti interni,1238015,Codice non trovato nel database,0
Controsoffitti,1238016,Codice non trovato nel database,0
Superfici d'aria,1238017,Codice non trovato nel database,0
Muri interrati,1238018,Codice non trovato nel database,0
Finestre apribili,1238019,Codice non trovato nel database,0
Lucernari apribili,1238020,Codice non trovato nel database,0
Porte scorrevoli,1238021,Codice non trovato nel database,0
Aperture di aerazione,1238022,Codice non trovato nel database,0
Ombre,1238023,Codice non trovato nel database,0
Superficie analitica - Muri esterni,1238024,Codice non trovato nel database,0
Superficie analitica - Tetti,1238025,Codice non trovato nel database,0
Superficie analitica - Solaio di fondazione,1238026,Codice non trovato nel database,0
Superficie analitica - Muri interni,1238027,Codice non trovato nel database,0
Superficie analitica - Pavimenti interni,1238028,Codice non trovato nel database,0
Superficie analitica - Controsoffitti,1238029,Codice non trovato nel database,0
Superficie analitica - Superfici d'aria,1238030,Codice non trovato nel database,0
Superficie analitica - Muri interrati,1238031,Codice non trovato nel database,0
Superficie analitica - Finestre apribili,1238032,Codice non trovato nel database,0
Superficie analitica - Lucernari apribili,1238033,Codice non trovato nel database,0
Superficie analitica - Porte scorrevoli,1238034,Codice non trovato nel database,0
Superficie analitica - Aperture di aerazione,1238035,Codice non trovato nel database,0
Superficie analitica - Avvolgibili,1238036,Codice non trovato nel database,0
Pannelli analitici,1238037,Codice non trovato nel database,0
Carichi analitici elettrici,1238038,Codice non trovato nel database,0
Poche,1238039,Codice non trovato nel database,0
Vetro,1238040,Codice non trovato nel database,0
Sorgente d'illuminazione di default,1238041,Codice non trovato nel database,0
Default,1238043,Codice non trovato nel database,0
Default,1238044,Codice non trovato nel database,0
Default,1238045,Codice non trovato nel database,0
Poche,1238046,Codice non trovato nel database,0
Poche,1238047,Codice non trovato nel database,0
Poche,1238048,Codice non trovato nel database,0
Poche,1238050,Codice non trovato nel database,0
Poche,1238052,Codice non trovato nel database,0
Dynamo,1241884,Codice non trovato nel database,0
DynamoError,1241885,Codice non trovato nel database,0
Materiale per il rendering 255-0-191,1256959,Codice non trovato nel database,0
Materiale per il rendering 255-127-0,1256966,Codice non trovato nel database,0
Materiale per il rendering 0-255-0,1256969,Codice non trovato nel database,0
Materiale per il rendering 255-255-0,1256972,Codice non trovato nel database,0
