Tipo Verifica,Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,694999,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695060,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695177,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695552,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695553,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695554,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,-0.67000000000000004,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695555,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_400mm_CalcestruzzoArmato,695598,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,-0.67000000000000004,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695824,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695896,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,695976,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,-0.67000000000000004,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_200mm_CalcestruzzoArmato,696055,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,-0.67000000000000004,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696228,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696312,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696376,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696424,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,0.0,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696511,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.34999999999999998,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696512,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.34999999999999998,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696565,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.34999999999999998,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,696756,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.34999999999999998,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,697031,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,-0.67000000000000004,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,697760,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,697762,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,697763,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_PC2_+15.48m,0.0,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,697902,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,697948,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.29999999999999999,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,698114,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.40000000000000002,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,698115,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.40000000000000002,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,698116,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.40000000000000002,Correttamente vincolato tra livelli.,1
Vincoli Livelli,Muri,ST_MUR_POR_300mm_CalcestruzzoArmato,698117,ST_LIV_PE_P00_-0.80m,Fino al livello: ST_LIV_PE_P02_+10.28m,0.0,-0.40000000000000002,Correttamente vincolato tra livelli.,1
