Nome Elemento,Ifc Class,GUID IFC,GUID Nativo,Tag IFC,Element Id Nativo,Verifica,Stato
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExSPw,Non trovato,751155,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExST5,Non trovato,751372,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExSTv,Non trovato,751408,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1580x2310 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExShG,Non trovato,752281,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1580x2310 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExShq,Non trovato,752317,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1580x2310 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExSnG,Non trovato,752665,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1580x2310 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExSnJ,Non trovato,752666,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_2780x2260 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExSmP,Non trovato,752720,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_2780x2260 ,IfcOpeningElement,Non trovato,0iVNJXmt5FTegnin0ExSr4,Non trovato,752909,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,17hkSirsDCaQ7VtawmimSg,Non trovato,753086,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,17hkSirsDCaQ7VtawmimT6,Non trovato,753106,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,17hkSirsDCaQ7VtawmimMp,Non trovato,753447,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,17hkSirsDCaQ7VtawmimMy,Non trovato,753448,Non presente in IFC,0
ST_POR_PRT_Xxx-ST_POR_PRT_Xxx_1280x2320 ,IfcOpeningElement,Non trovato,17hkSirsDCaQ7VtawmimKS,Non trovato,753544,Non presente in IFC,0
